PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-25,16:04:06.31,1,1,"Palumbo, Liv",100000004345,Right,IOW_STA_SB,"Rita, Frankie",100000001659,Right,DRA_UNI_SB,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.9875,3.718623,-0.377777,1317.46577,9.372848,6:15,1.58832,0.52457,5.66598,-30.83006,-2.20016,-0.47402,1.3536,0.24825,61.61979,-4.639625,-0.503644,0.385107,,,,,,,,,,,,0.40799,-3.08288,-0.60457,50,0.49685,0.58931,-98.67745,10.72111,0.39921,16.81427,-35.1907,IOW_STA_SB,DRA_UNI_SB,CycloneSC,D1,B12,20260325-CycloneSC-1,29702b00-288e-11f1-baec-07510027a69b,97.87523,,,4.36771,,,,,,,823f5aaa-c633-4949-b315-9bd531fa7d71,2026-03-25,21:04:06.31,2026-03-25T16:04:06.3108608-05:00,2026-03-25T21:04:06.3108608Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,ef7156fd-f0db-4e70-8ce6-b28711d50fa8,37.33159,-96.49466,8.40714,1.59211,6.15273,-17.59535,-0.5247,0.64114,0.19961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-25,16:04:23.02,1,2,"Palumbo, Liv",100000004345,Right,IOW_STA_SB,"Rita, Frankie",100000001659,Right,DRA_UNI_SB,Undefined,1,Top,0,1,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.8268,3.954962,-0.196275,1172.904399,312.514872,4:30,1.66296,0.82111,5.69132,-31.40206,-1.28858,2.34138,1.5276,0.89327,59.57693,-4.611458,0.425848,0.394959,,,,,,,,,,,,-2.6191,-2.24898,-0.8805,50,0.5207,0.61723,-97.29872,10.93938,-2.43556,19.52435,-34.26542,IOW_STA_SB,DRA_UNI_SB,CycloneSC,D1,B12,20260325-CycloneSC-1,33630330-288e-11f1-baec-07510027a69b,95.43382,,,5.24987,,,,,,,823f5aaa-c633-4949-b315-9bd531fa7d71,2026-03-25,21:04:23.02,2026-03-25T16:04:23.0222336-05:00,2026-03-25T21:04:23.0222336Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,b5999f45-d98a-4e79-9ccc-cea6297d4f1f,37.30446,-94.71693,9.76217,1.66768,6.40831,-17.13271,-0.82018,0.29517,-1.21778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-25,16:04:47.17,1,3,"Palumbo, Liv",100000004345,Right,IOW_STA_SB,"Rita, Frankie",100000001659,Right,DRA_UNI_SB,Undefined,1,Top,0,1,1,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,55.46755,2.023697,1.128853,1055.72275,38.94854,7:15,1.63268,0.62508,5.61822,-41.74892,-0.39949,-1.31815,-0.57532,1.22391,51.34552,-9.30722,0.778577,0.462814,,,,,,,,,,,,1.92642,-0.98138,-0.36604,50,0.82331,-1.79304,-83.56052,7.81482,1.30952,15.29922,-32.84117,IOW_STA_SB,DRA_UNI_SB,CycloneSC,D1,B12,20260325-CycloneSC-1,41ca7390-288e-11f1-baec-07510027a69b,81.4419,,,4.12204,,,,,,,823f5aaa-c633-4949-b315-9bd531fa7d71,2026-03-25,21:04:47.17,2026-03-25T16:04:47.1779840-05:00,2026-03-25T21:04:47.1779840Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,8c2b72de-7759-4fdc-886e-4fddbec369ab,37.37996,-81.21704,7.64961,1.63508,2.78431,-16.42058,-0.62532,-1.59245,0.65476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-25,16:05:05.05,1,4,"Palumbo, Liv",100000004345,Right,IOW_STA_SB,"Rita, Frankie",100000001659,Right,DRA_UNI_SB,Undefined,1,Top,0,2,1,Fastball,,InPlay,Undefined,GroundBall,Out,1,0,,65.96668,5.53168,-0.559736,1267.00039,344.177651,5:30,1.612,0.52794,5.3918,-30.93891,-1.7452,0.68547,2.53898,0.23149,61.40961,-2.785472,-0.37939,0.38888,46.72484,-28.865857,-7.556967,,,,,6.15767,6.03988,-7.8243,0.074877,-0.91323,-3.18197,-0.65398,50,0.15328,1.04731,-98.30408,13.71796,-0.88916,16.31293,-35.27216,IOW_STA_SB,DRA_UNI_SB,CycloneSC,D1,B12,20260325-CycloneSC-1,4c694330-288e-11f1-baec-07510027a69b,96.92552,2.49752,,4.55707,,,,1.60907,2.49752,-0.24245,823f5aaa-c633-4949-b315-9bd531fa7d71,2026-03-25,21:05:05.05,2026-03-25T16:05:05.0515968-05:00,2026-03-25T21:05:05.0515968Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,b615287f-ca0a-4193-8687-c464cb4eaa58,37.60625,-96.22544,8.15646,1.61491,9.22348,-17.63608,-0.52775,0.93401,-0.44458,180,1.60318,59.98243,,,,,,,,2.50079,-33.35516,,,,,,,,-0.24167,-7.95752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-03-25,16:05:31.72,2,1,"Palumbo, Liv",100000004345,Right,IOW_STA_SB,"Kindelspire, Kiley",1000000002185,Right,DRA_UNI_SB,Undefined,1,Top,1,0,0,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,65.60066,5.607747,-0.468522,1323.357365,356.23999,5:45,1.63291,0.45655,5.66128,-31.60234,-2.45374,0.20681,2.5266,0.18003,60.94232,-2.952077,-0.413706,0.38858,59.93339,47.639096,-54.6561,4374.094506,47.2158,41.35597,-99.35121,151.33594,65.78793,-66.51975,3.373413,-0.37118,-4.05327,-0.56166,50,0.11191,0.8272,-97.86652,14.00815,-0.35682,16.71317,-36.07058,IOW_STA_SB,DRA_UNI_SB,CycloneSC,D1,B12,20260325-CycloneSC-1,5c575390-288e-11f1-baec-07510027a69b,97.00052,50.79462,,4.65834,,,,1.57583,2.31391,0.05506,823f5aaa-c633-4949-b315-9bd531fa7d71,2026-03-25,21:05:31.72,2026-03-25T16:05:31.7227520-05:00,2026-03-25T21:05:31.7227520Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,60ba200f-6acd-4497-88ec-4059a5c95118,37.33675,-95.67951,8.35659,1.63613,9.28813,-18.03529,-0.45648,0.78051,-0.17841,136.583079,1.57399,34.3287,-12.84087,5.38313,-2.5327,1.25128,-0.43093,0.08074,-0.00612,2.31469,64.92936,-24.69759,2.20992,-0.12718,-0.04231,-0.00746,0.00818,-0.00118,0.05537,-48.32506,3.87291,-0.93915,0.4131,-0.26591,0.10964,-0.0231,0.00191,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2026-03-25,16:05:53.38,2,2,"Palumbo, Liv",100000004345,Right,IOW_STA_SB,"Kindelspire, Kiley",1000000002185,Right,DRA_UNI_SB,Undefined,1,Top,1,0,1,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,66.30627,6.21718,-0.374749,1562.349077,21.453218,6:45,1.54381,0.7082,5.61633,-30.08655,-1.52221,-0.85201,2.95487,0.40195,61.70873,-1.912069,-0.600203,0.384666,59.71482,60.872524,-128.838683,3739.820829,,,,,23.79018,,,0.83827,-3.18055,-0.78407,50,-0.09699,0.53256,-98.70555,14.99922,0.82408,16.2254,-35.30086,IOW_STA_SB,DRA_UNI_SB,CycloneSC,D1,B12,20260325-CycloneSC-1,693823f0-288e-11f1-baec-07510027a69b,97.98753,38.26136,,4.59754,,,,1.66643,3.05782,-0.40337,823f5aaa-c633-4949-b315-9bd531fa7d71,2026-03-25,21:05:53.38,2026-03-25T16:05:53.3869056-05:00,2026-03-25T21:05:53.3869056Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,311418be-5bfd-46d0-8db7-c0a941b30bc2,37.38192,-96.6091,8.1127,1.54635,10.43807,-17.65043,-0.70838,0.63904,0.41204,21.393487,1.66643,-26.735,-4.72706,3.04026,-0.94984,0.2524,-0.06281,0.01513,-0.00234,3.05782,76.50593,-30.57268,4.22692,-0.81528,0.13128,-0.01865,-0.00062,0.00134,-0.40337,-33.2057,5.10254,-0.74409,0.07401,0.00719,-0.00454,0.00166,-0.00018,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2026-03-25,16:06:15.18,2,3,"Palumbo, Liv",100000004345,Right,IOW_STA_SB,"Kindelspire, Kiley",1000000002185,Right,DRA_UNI_SB,Undefined,1,Top,1,0,2,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.48059,6.133224,-0.566788,1452.43422,87.764906,9:00,1.64931,0.70169,5.73211,-27.76372,0.70784,-0.21374,3.18828,0.32922,61.34885,-1.427023,-0.62353,0.38404,,,,,,,,,,,,0.05126,-0.67957,-0.82614,50,0.03642,0.95382,-99.16217,14.571,0.05027,18.07961,-32.84053,IOW_STA_SB,DRA_UNI_SB,CycloneSC,D1,B12,20260325-CycloneSC-1,76383c20-288e-11f1-baec-07510027a69b,98.14704,,,5.13175,,,,,,,823f5aaa-c633-4949-b315-9bd531fa7d71,2026-03-25,21:06:15.18,2026-03-25T16:06:15.1825920-05:00,2026-03-25T21:06:15.1825920Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,acb671a2-5e7b-426b-a4dd-ff4033f9b347,37.26387,-96.81222,9.0398,1.65292,10.30247,-16.42027,-0.70174,0.96035,0.02513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-25,16:06:31.79,2,4,"Palumbo, Liv",100000004345,Right,IOW_STA_SB,"Kindelspire, Kiley",1000000002185,Right,DRA_UNI_SB,Undefined,1,Top,1,1,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.9,6.815982,1.060864,1526.683118,127.701107,10:15,1.59149,0.52951,5.86116,-26.96824,1.96508,-1.57193,3.61459,1.06001,60.54792,-0.560614,0.642304,0.387142,,,,,,,,,,,,2.07417,0.45677,-0.28029,50,-0.1905,-2.01686,-98.22857,15.56838,1.98829,18.30178,-31.7362,IOW_STA_SB,DRA_UNI_SB,CycloneSC,D1,B12,20260325-CycloneSC-1,802b3b60-288e-11f1-baec-07510027a69b,97.3607,,,5.35207,,,,,,,823f5aaa-c633-4949-b315-9bd531fa7d71,2026-03-25,21:06:31.79,2026-03-25T16:06:31.7955584-05:00,2026-03-25T21:06:31.7955584Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,a5c31958-8953-417f-a230-fba6d8b22c7f,37.13398,-95.80141,9.15089,1.59508,11.35955,-15.8681,-0.53028,-1.75318,0.99414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-25,16:06:49.56,2,5,"Palumbo, Liv",100000004345,Right,IOW_STA_SB,"Kindelspire, Kiley",1000000002185,Right,DRA_UNI_SB,Undefined,1,Top,1,2,2,Fastball,,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,65.64999,5.956579,-1.470411,1377.876706,12.122448,6:30,1.62223,0.54147,5.54194,-30.90309,-1.54087,-0.48118,2.80871,-0.42378,60.9131,-2.38671,-1.597419,0.390001,,,,,,,,,,,,0.0789,-2.9589,-0.8601,50,0.05322,2.45067,-97.7884,14.40009,0.07579,16.57978,-35.01611,IOW_STA_SB,DRA_UNI_SB,CycloneSC,D1,B12,20260325-CycloneSC-1,8abbb320-288e-11f1-baec-07510027a69b,96.64701,,,4.73689,,,,,,,823f5aaa-c633-4949-b315-9bd531fa7d71,2026-03-25,21:06:49.56,2026-03-25T16:06:49.5690000-05:00,2026-03-25T21:06:49.5690000Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,f6991631-e020-4dc8-811b-42721321273c,37.455,-95.63777,8.28989,1.62652,9.85803,-17.50806,-0.54157,2.4605,0.03789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.50466,2.250325,1.369856,0.880469,-1.98808,2.64157,0.51908,-2.51073,5.18462,0.8767,51.27407,3.82533,-31.08812,-2.49349,64.73598,-4.20469,5.19688,10.46527,-13.68508,0.86027,-39.59337,3.79245,High,High,High,,,High,High,High
10,2026-03-25,16:07:16.78,3,1,"Palumbo, Liv",100000004345,Right,IOW_STA_SB,"Hall, Pearson",1000000002186,Right,DRA_UNI_SB,Undefined,1,Top,2,0,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,56.12951,2.820672,1.833065,1151.54686,82.935504,8:45,1.5702,0.71661,5.25599,-40.00242,0.9661,-1.30236,0.02743,1.7707,52.12894,-7.931869,1.491064,0.460677,,,,,,,,,,,,2.05315,0.62091,-0.31561,50,0.64745,-2.82803,-84.16489,8.62204,1.43575,14.09649,-31.73987,IOW_STA_SB,DRA_UNI_SB,CycloneSC,D1,B12,20260325-CycloneSC-1,9af683f0-288e-11f1-baec-07510027a69b,81.81968,,,4.00056,,,,,,,823f5aaa-c633-4949-b315-9bd531fa7d71,2026-03-25,21:07:16.78,2026-03-25T16:07:16.7833088-05:00,2026-03-25T21:07:16.7833088Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,1081edad-762c-46cc-9938-8d96152c1fb4,37.74092,-82.08599,7.04824,1.57385,3.94114,-15.86993,-0.71707,-2.61629,0.71788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
