PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-26,18:10:54.01,1,1,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Limbaugh, Presley",100000003218,Left,UNI_KAN_SB,Undefined,1,Top,0,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.6201,4.960599,2.061304,1119.837947,38.682313,7:15,1.47624,-0.27425,6.16673,-30.28848,-2.05484,-2.16898,2.02821,0.81972,61.15755,-3.356834,1.478391,0.382432,,,,,,,,,,,,3.05851,-3.32579,0.76611,50,0.03857,-3.82416,-97.97202,13.00771,2.95343,16.41659,-35.38555,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260326-GailMillerField-1,6c242f30-2971-11f1-8f32-e5c11287e57a,98.55974,,,4.46255,,,,,,,57a5a2b4-3926-470a-affc-ad07c7d1ec43,2026-03-27,00:10:54.01,2026-03-26T18:10:54.0148224-06:00,2026-03-27T00:10:54.0148224Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,6747355b-7c3e-4be3-a69d-2940e0498b0e,36.83095,-95.73993,8.20829,1.48009,8.19651,-17.69278,0.27345,-3.4226,1.47672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-26,18:11:10.22,1,2,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Limbaugh, Presley",100000003218,Left,UNI_KAN_SB,Undefined,1,Top,0,0,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.60309,2.276133,0.128837,1022.088579,343.783893,5:30,1.52177,-0.0484,5.96004,-28.5382,-1.11539,0.49732,0.5595,0.07315,62.70121,-5.513752,0.262155,0.376901,,,,,,,,,,,,-0.52331,-1.4963,0.07342,50,0.73636,-0.15474,-99.64661,8.20968,-0.52598,16.06172,-33.67801,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260326-GailMillerField-1,75b5d490-2971-11f1-8f32-e5c11287e57a,100.00613,,,3.90189,,,,,,,57a5a2b4-3926-470a-affc-ad07c7d1ec43,2026-03-27,00:11:10.22,2026-03-26T18:11:10.2242816-06:00,2026-03-27T00:11:10.2242816Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,b998fa27-83cb-4f77-a7c0-0f347df41eb5,37.03797,-97.53492,8.03086,1.52465,3.78193,-16.839,0.04853,-0.22389,-0.26299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-26,18:11:28.00,1,3,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Limbaugh, Presley",100000003218,Left,UNI_KAN_SB,Undefined,1,Top,0,1,1,Dropball,,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,65.86904,5.372202,1.26128,1139.806136,339.832157,5:15,1.42711,-0.01957,5.77215,-30.38478,-1.69835,0.86933,2.2635,0.84134,61.30081,-2.884169,1.492405,0.385487,,,,,,,,,,,,-0.59287,-3.14169,0.29389,50,-0.04955,-2.04774,-98.27003,13.57112,-0.57564,16.60605,-35.2244,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260326-GailMillerField-1,805abeb0-2971-11f1-8f32-e5c11287e57a,97.77883,,,4.56823,,,,,,,57a5a2b4-3926-470a-affc-ad07c7d1ec43,2026-03-27,00:11:28.00,2026-03-26T18:11:28.0091136-06:00,2026-03-27T00:11:28.0091136Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,88aa337b-2a0f-4615-b95b-b41ffd4fa4fd,37.22594,-96.08718,8.30303,1.43004,8.94089,-17.6122,0.01974,-2.12341,-0.28782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-26,18:11:51.14,1,4,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Limbaugh, Presley",100000003218,Left,UNI_KAN_SB,Undefined,1,Top,0,1,2,Dropball,,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,66.7193,4.585764,1.42084,1143.786598,303.174443,4:00,1.49855,0.056,5.88902,-29.82195,-2.13823,4.23461,1.87726,1.29423,62.30434,-3.541457,2.550646,0.37869,,,,,,,,,,,,-4.29315,-3.2841,0.2306,50,0.19134,-1.89996,-99.63563,12.33976,-4.29218,16.82152,-35.4574,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260326-GailMillerField-1,8e161090-2971-11f1-8f32-e5c11287e57a,99.53384,,,4.41496,,,,,,,57a5a2b4-3926-470a-affc-ad07c7d1ec43,2026-03-27,00:11:51.14,2026-03-26T18:11:51.1439360-06:00,2026-03-27T00:11:51.1439360Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,684543c5-11f9-4ef2-86da-10aee47837a2,37.10879,-97.4349,8.41076,1.50228,7.70093,-17.7287,-0.0547,-2.46151,-2.14609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-26,18:12:26.67,2,1,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,Undefined,1,Top,1,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.68955,8.426646,1.904149,1659.309389,183.867182,12:15,1.54996,-0.16084,6.14179,-22.9023,5.64406,0.34067,4.89476,1.04583,60.93779,2.146053,1.995458,0.384545,,,,,,,,,,,,0.15315,4.49201,0.59521,50,-0.63083,-3.18608,-97.17133,17.86832,0.14641,15.24029,-27.87954,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260326-GailMillerField-1,a349c4c0-2971-11f1-8f32-e5c11287e57a,98.01839,,,4.75176,,,,,,,57a5a2b4-3926-470a-affc-ad07c7d1ec43,2026-03-27,00:12:26.67,2026-03-26T18:12:26.6722816-06:00,2026-03-27T00:12:26.6722816Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,d0b147b6-6186-484b-8047-4e4ff12639b6,36.85245,-95.08692,7.62014,1.55226,14.05524,-13.93977,0.16082,-3.16606,0.07321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-26,18:12:48.96,2,2,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,Undefined,1,Top,1,1,0,Screwball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.77899,3.073978,-2.109037,1403.903726,180.185157,12:00,1.44725,-0.10782,6.15097,-24.35218,3.09244,0.00854,1.32201,-1.41196,62.73505,-3.594822,-2.106743,0.377051,,,,,,,,,,,,-0.4511,3.20744,-0.37656,50,0.48695,3.60363,-97.82082,9.05849,-0.44776,11.89497,-28.99027,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260326-GailMillerField-1,b08ab680-2971-11f1-8f32-e5c11287e57a,99.96644,,,3.04393,,,,,,,57a5a2b4-3926-470a-affc-ad07c7d1ec43,2026-03-27,00:12:48.96,2026-03-26T18:12:48.9643008-06:00,2026-03-27T00:12:48.9643008Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,1ad3f309-7d10-4118-9cfa-9b66c71fd482,36.84726,-96.20816,5.94749,1.44862,5.12814,-14.49513,0.10789,3.54293,-0.22388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-26,18:13:09.32,2,3,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,Undefined,1,Top,1,2,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.52497,4.745081,1.0387,1437.874763,191.582628,12:30,1.43736,-0.34032,6.05623,-25.45482,2.46713,0.4098,2.26562,0.33796,62.21819,-2.207339,1.148578,0.380316,,,,,,,,,,,,-0.24409,2.10839,0.57338,50,0.09488,-1.70577,-97.32001,11.97044,-0.23941,12.0196,-30.10605,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260326-GailMillerField-1,bcab4420-2971-11f1-8f32-e5c11287e57a,99.10824,,,3.30678,,,,,,,57a5a2b4-3926-470a-affc-ad07c7d1ec43,2026-03-27,00:13:09.32,2026-03-26T18:13:09.3200896-06:00,2026-03-27T00:13:09.3200896Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,0f100fcf-c6b7-414a-b73b-be50e9d1b68c,36.94196,-95.69367,6.0098,1.43897,7.89688,-15.05303,0.34039,-1.73817,-0.1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-26,18:13:31.29,2,4,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,Undefined,1,Top,1,2,1,Riseball,,InPlay,Undefined,Popup,Out,1,0,,66.05317,5.914813,0.802892,1493.581962,231.265946,1:45,1.43768,-0.04703,5.96649,-25.14682,3.11788,3.08362,3.03244,0.70907,61.38346,-0.98014,1.627008,0.382643,67.46601,62.959979,-16.571068,,,,,,44.8984,,,-3.2324,2.10284,0.20332,50,-0.14928,-0.95762,-98.47224,13.93336,-3.15162,16.66119,-30.12377,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260326-GailMillerField-1,c9c76fd0-2971-11f1-8f32-e5c11287e57a,98.50549,84.98556,,4.66971,,,,1.78447,3.40424,-0.71203,57a5a2b4-3926-470a-affc-ad07c7d1ec43,2026-03-27,00:13:31.29,2026-03-26T18:13:31.2939008-06:00,2026-03-27T00:13:31.2939008Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,bf626578-ffd5-40db-afd9-aaa23b5ed8d5,37.03083,-96.25289,8.33059,1.43946,9.92073,-15.06189,0.0478,-1.37743,-1.57581,177.198959,1.78447,43.11559,-14.91116,4.81165,-1.18056,0.26686,-0.05636,0.00948,-0.0009,3.40424,88.13368,-23.74973,2.0514,-0.18738,-0.02153,0.0134,-0.00341,0.00042,-0.71203,-12.82961,3.32054,-0.97823,0.22433,-0.04802,0.00974,-0.0016,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
9,2026-03-26,18:14:21.47,3,1,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Cripe, Hailey",100000003224,Right,UNI_KAN_SB,Undefined,1,Top,2,0,0,Screwball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.48793,4.943327,-2.152589,1531.101593,252.066711,2:30,1.42736,-0.22403,6.29196,-25.62797,2.25658,5.25335,2.34628,-1.11277,61.55126,-2.12133,-0.735665,0.380061,,,,,,,,,,,,-6.54733,1.72634,-0.32223,50,0.0098,4.41546,-97.49441,12.4078,-6.35258,14.17054,-30.49907,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260326-GailMillerField-1,e7af61b0-2971-11f1-8f32-e5c11287e57a,99.17477,,,3.93667,,,,,,,57a5a2b4-3926-470a-affc-ad07c7d1ec43,2026-03-27,00:14:21.47,2026-03-26T18:14:21.4703104-06:00,2026-03-27T00:14:21.4703104Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,ba2dfac7-52e1-40f4-9589-b3ad176d4bcd,36.70565,-95.54257,7.08527,1.42952,8.2069,-15.24953,0.22569,3.54046,-3.17629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-26,18:14:42.80,3,2,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Cripe, Hailey",100000003224,Right,UNI_KAN_SB,Undefined,1,Top,2,0,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.41402,7.387564,-0.096223,1645.946109,206.94134,1:00,1.51841,-0.2995,6.16195,-21.79718,6.24181,2.81851,4.29462,-0.12412,61.05461,1.354088,0.66106,0.381112,,,,,,,,,,,,-3.16933,5.06961,0.2559,50,-0.40887,0.54027,-98.89898,16.14387,-3.08403,18.34882,-27.24088,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260326-GailMillerField-1,f4715f70-2971-11f1-8f32-e5c11287e57a,98.90119,,,5.35941,,,,,,,57a5a2b4-3926-470a-affc-ad07c7d1ec43,2026-03-27,00:14:42.80,2026-03-26T18:14:42.8051456-06:00,2026-03-27T00:14:42.8051456Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,c040290d-defb-43e2-854b-a1931bb7619c,36.83264,-96.42509,9.17441,1.52014,12.4711,-13.62044,0.30071,0.12446,-1.54201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
