PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-26,13:06:11.09,1,1,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Jones, Kaylynn",100000002044,Left,ORE_DUC_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.60306,4.429711,1.017024,1658.543962,129.376687,10:15,1.88113,1.52696,5.14303,-23.26446,6.57052,-7.18406,2.76581,1.57518,61.15959,-1.835225,-0.861789,0.393128,,,,,,,,,,,,8.16493,6.10634,-1.2587,50,0.74628,-2.64282,-97.86364,10.7027,7.88001,16.14259,-26.28078,NOR_WIL_SB,ORE_DUC_SB,ParkwayBankSportsComplex,D1,B10,20260326-ParkwayBankSportsComplex-1,78c2cea0-293e-11f1-9716-ff1cd6be21db,95.8782,,,4.44346,,,,,,,8083ef25-1b78-4ca3-8a9b-33aac60f085f,2026-03-26,18:06:11.09,2026-03-26T13:06:11.0920000-05:00,2026-03-26T18:06:11.0920000Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,7ae7709e-c7f2-4512-aa4e-ef7cbc789e09,37.85513,-95.8394,8.0713,1.88174,7.40717,-13.14039,-1.52815,-1.65469,3.94001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-26,13:06:26.78,1,2,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Jones, Kaylynn",100000002044,Left,ORE_DUC_SB,Undefined,1,Top,0,1,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.3896,4.866415,-0.78651,2331.747843,120.004252,10:00,1.78055,1.60172,4.70406,-25.76781,5.19658,-7.70745,2.77343,0.45316,60.65468,-1.989462,-2.77675,0.4005,,,,,,,,,,,,7.78347,4.40583,-1.7187,50,0.59591,0.49257,-97.45516,11.47228,7.41081,16.74265,-27.97915,NOR_WIL_SB,ORE_DUC_SB,ParkwayBankSportsComplex,D1,B10,20260326-ParkwayBankSportsComplex-1,822e0040-293e-11f1-9716-ff1cd6be21db,94.11346,,,4.73493,,,,,,,8083ef25-1b78-4ca3-8a9b-33aac60f085f,2026-03-26,18:06:26.78,2026-03-26T13:06:26.7830000-05:00,2026-03-26T18:06:26.7830000Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,13cfc6a8-4d3d-414a-8871-919609d00b05,38.29192,-95.42253,8.37133,1.7825,8.07549,-13.98957,-1.60429,1.39227,3.70541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-26,13:06:42.33,1,3,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Jones, Kaylynn",100000002044,Left,ORE_DUC_SB,Undefined,1,Top,0,1,1,Changeup,,InPlay,Undefined,Popup,Out,1,0,,55.70486,6.149056,-1.719216,1791.999743,12.377314,6:30,1.85073,1.35739,5.39243,-48.50762,-7.28937,-1.82087,1.70923,0.11937,51.86826,-6.852452,-2.197727,0.462079,,,,,,,,,,,,1.46354,-9.55812,-1.71591,50,0.11371,2.29688,-83.04898,14.46332,1.00972,12.38391,-38.76836,NOR_WIL_SB,ORE_DUC_SB,ParkwayBankSportsComplex,D1,B10,20260326-ParkwayBankSportsComplex-1,8b6d3fe0-293e-11f1-9716-ff1cd6be21db,81.57141,,,3.8366,,,,,,,8083ef25-1b78-4ca3-8a9b-33aac60f085f,2026-03-26,18:06:42.33,2026-03-26T13:06:42.3350000-05:00,2026-03-26T18:06:42.3350000Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,e45efb86-f833-4685-af12-8f037399ae25,37.60721,-81.17998,6.19196,1.85501,8.61236,-19.38418,-1.35776,2.44927,0.50486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-26,13:07:12.96,2,1,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Butler, Elon",100000002475,Right,ORE_DUC_SB,Undefined,1,Top,1,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.40807,3.286218,0.858148,1681.922173,161.749535,11:30,1.76199,1.4466,5.01822,-22.6473,6.84268,-2.00862,1.97447,1.82692,61.51112,-2.817697,0.33433,0.390848,,,,,,,,,,,,2.39091,6.69737,-1.25464,50,0.89296,-1.7182,-99.2731,8.67387,2.35144,18.0391,-25.58725,NOR_WIL_SB,ORE_DUC_SB,ParkwayBankSportsComplex,D1,B10,20260326-ParkwayBankSportsComplex-1,9dc46100-293e-11f1-9716-ff1cd6be21db,96.43749,,,4.89695,,,,,,,8083ef25-1b78-4ca3-8a9b-33aac60f085f,2026-03-26,18:07:12.96,2026-03-26T13:07:12.9690000-05:00,2026-03-26T18:07:12.9690000Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,6b5e4032-4860-4728-b743-83975aa019d1,37.97659,-97.06371,9.01955,1.7634,5.54001,-12.79363,-1.44744,-1.4302,1.17572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-26,13:07:29.85,2,2,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Butler, Elon",100000002475,Right,ORE_DUC_SB,Undefined,1,Top,1,1,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.1511,5.704162,-0.55313,2232.519796,158.995076,11:15,1.8133,1.51323,5.0475,-25.29919,5.10481,-1.71232,3.35465,1.01781,60.8467,-1.060331,-0.999366,0.39686,,,,,,,,,,,,1.67272,4.34122,-1.61855,50,0.40672,0.7338,-96.80287,12.96737,1.59228,14.66012,-28.04157,NOR_WIL_SB,ORE_DUC_SB,ParkwayBankSportsComplex,D1,B10,20260326-ParkwayBankSportsComplex-1,a7beda50-293e-11f1-9716-ff1cd6be21db,94.97676,,,4.3044,,,,,,,8083ef25-1b78-4ca3-8a9b-33aac60f085f,2026-03-26,18:07:29.85,2026-03-26T13:07:29.8500000-05:00,2026-03-26T18:07:29.8500000Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,b9fd89f7-6d89-4c96-a5be-d6d4563af29e,37.94878,-94.96026,7.33006,1.81508,9.44286,-14.02078,-1.51375,0.93393,0.79614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-26,13:07:45.15,2,3,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Butler, Elon",100000002475,Right,ORE_DUC_SB,Undefined,1,Top,1,2,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.16644,2.181822,0.96165,1129.497237,148.05703,11:00,1.64531,1.23647,2.34972,-28.19757,5.68386,-3.05146,0.79047,1.64074,61.94216,-4.85545,0.219379,0.41894,,,,,,,,,,,,3.17929,4.97784,-1.06844,50,1.17022,-1.90827,-98.38257,6.27608,3.11598,15.61101,-27.29531,NOR_WIL_SB,ORE_DUC_SB,ParkwayBankSportsComplex,D1,B10,20260326-ParkwayBankSportsComplex-1,b0df6e60-293e-11f1-9716-ff1cd6be21db,89.9709,,,4.22428,,,,,,,8083ef25-1b78-4ca3-8a9b-33aac60f085f,2026-03-26,18:07:45.15,2026-03-26T13:07:45.1540000-05:00,2026-03-26T18:07:45.1540000Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,c8ce3781-7691-45df-a1d0-9db49703a01d,40.6485,-96.88734,7.8055,1.64615,3.66173,-13.64765,-1.23692,-1.60983,1.55799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-26,13:08:00.73,2,4,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Butler, Elon",100000002475,Right,ORE_DUC_SB,Undefined,1,Top,1,3,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.06069,3.058988,-0.168895,1410.302101,183.881663,12:15,1.81619,1.27573,5.5105,-22.94852,6.61894,0.40469,1.83157,1.20312,60.93811,-3.180832,-0.06189,0.391362,,,,,,,,,,,,-0.50091,6.72764,-1.31588,50,0.93985,0.34035,-97.24347,8.41797,-0.47829,15.65379,-25.75033,NOR_WIL_SB,ORE_DUC_SB,ParkwayBankSportsComplex,D1,B10,20260326-ParkwayBankSportsComplex-1,ba264f20-293e-11f1-9716-ff1cd6be21db,96.31099,,,4.12259,,,,,,,8083ef25-1b78-4ca3-8a9b-33aac60f085f,2026-03-26,18:08:00.73,2026-03-26T13:08:00.7360000-05:00,2026-03-26T18:08:00.7360000Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,df90f3f6-1d9b-42b4-b728-fc53cbaa1018,37.48762,-95.20799,7.82689,1.81675,5.06962,-12.87516,-1.27566,0.27816,-0.23915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-26,13:08:32.48,2,5,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Butler, Elon",100000002475,Right,ORE_DUC_SB,Undefined,1,Top,1,3,1,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOR_WIL_SB,ORE_DUC_SB,ParkwayBankSportsComplex,D1,B10,20260326-ParkwayBankSportsComplex-1,ca59f400-293e-11f1-9716-ff1cd6be21db,,,,,,,,,,,8083ef25-1b78-4ca3-8a9b-33aac60f085f,2026-03-26,18:08:32.48,2026-03-26T13:08:32.4800000-05:00,2026-03-26T18:08:32.4800000Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,79c0c837-096b-4f3b-b4d9-c3b481ef4484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-26,13:08:33.48,2,6,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Butler, Elon",100000002475,Right,ORE_DUC_SB,Undefined,1,Top,1,3,2,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,55.59788,6.765356,-1.660273,987.450595,16.127047,6:30,1.92032,1.39732,5.5669,-49.88605,-8.52264,-2.78421,2.03757,0.12135,51.32732,-6.684418,-2.394865,0.462892,,,,,,,,,,,,2.48228,-11.15343,-1.74157,50,0.01393,2.11031,-82.98999,15.52106,1.69154,13.47667,-39.77454,NOR_WIL_SB,ORE_DUC_SB,ParkwayBankSportsComplex,D1,B10,20260326-ParkwayBankSportsComplex-1,cdae7630-293e-11f1-9716-ff1cd6be21db,81.42817,,,4.27056,,,,,,,8083ef25-1b78-4ca3-8a9b-33aac60f085f,2026-03-26,18:08:33.48,2026-03-26T13:08:33.4800000-05:00,2026-03-26T18:08:33.4800000Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,b02095f1-3d00-4106-85c4-333757134856,37.43257,-80.92345,6.73834,1.92634,9.42194,-19.88727,-1.39808,2.36969,0.84577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-26,13:08:54.39,2,7,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Butler, Elon",100000002475,Right,ORE_DUC_SB,Undefined,1,Top,1,3,2,Curveball,,InPlay,Undefined,Popup,Out,1,0,,66.21545,4.396008,-0.137732,1192.260567,142.218123,10:45,1.75449,1.32075,5.39964,-23.03863,5.86776,-4.03319,2.61626,0.89767,61.66254,-1.852002,-1.200097,0.386962,60.0168,50.24768,-37.402064,,,,,,32.00459,,,4.36721,5.46992,-1.32133,50,0.60067,-0.27578,-98.83813,10.80463,4.29233,16.69789,-26.7979,NOR_WIL_SB,ORE_DUC_SB,ParkwayBankSportsComplex,D1,B10,20260326-ParkwayBankSportsComplex-1,da21dec0-293e-11f1-9716-ff1cd6be21db,97.40608,38.92153,,4.55291,,,,1.8522,2.6406,-0.90302,8083ef25-1b78-4ca3-8a9b-33aac60f085f,2026-03-26,18:08:54.39,2026-03-26T13:08:54.3940000-05:00,2026-03-26T18:08:54.3940000Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,4d5f6a73-380b-4a98-8683-825753808277,37.59728,-96.7201,8.34894,1.75559,7.40547,-13.39895,-1.32177,0.26868,2.14617,176.911795,1.8522,44.71513,-13.9309,2.89952,0.83931,-5.02957,9.24766,-8.22636,2.8681,2.6406,67.67488,-17.39257,1.1726,-0.9259,2.79244,-5.01351,4.47664,-1.5702,-0.90302,-34.19033,8.53123,-1.34817,0.60574,-1.39119,2.45825,-2.19076,0.76824,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
