PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,18:02:11.49,1,1,"Maness, Sierra",1000000000649,Right,CLE_TIG_SB,"Torres, Isa",1000000000158,Right,FLO_STA_SB,Undefined,1,Top,0,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.99824,4.408861,3.106025,1402.105678,12.3637,6:30,1.79304,-0.08307,7.45792,-31.04935,-6.00052,-1.43642,1.84059,1.649,62.77559,-4.401213,2.705788,0.360218,,,,,,,,,,,,2.64264,-8.04737,0.88328,50,0.29058,-5.67985,-100.26306,13.26988,2.67675,16.95852,-40.32533,CLE_TIG_SB,FLO_STA_SB,McWhorterStadium,D1,ACC,20260327-McWhorterStadium-1,9b796a40-2a28-11f1-ba53-2f845bef268d,104.63792,,,4.22265,,,,,,,66fc9a38-af41-4de2-8e8b-cfcef93d09fe,2026-03-27,22:02:11.49,2026-03-27T18:02:11.4999808-04:00,2026-03-27T22:02:11.4999808Z,,V3 - Softball,,,,"Hicks, Corri",100000002008,Right,CLE_TIG_SB,5a4e5b8d-b2fb-4178-baf2-0e48073e0672,35.54087,-97.78686,8.47926,1.7983,7.38178,-20.16266,0.08247,-5.289,1.33838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-27,18:02:28.00,1,2,"Maness, Sierra",1000000000649,Right,CLE_TIG_SB,"Torres, Isa",1000000000158,Right,FLO_STA_SB,Undefined,1,Top,0,1,0,Dropball,,InPlay,Undefined,LineDrive,Single,0,0,,66.7043,4.845314,0.516448,1362.780375,358.342942,6:00,1.6808,-0.149,6.92824,-32.94084,-6.77071,0.21398,1.87353,0.18121,62.1166,-4.379952,0.575292,0.368192,68.8062,12.238019,-28.065479,2402.57431,89.99966,7.89732,-63.24562,141.5654,140.68348,-37.14049,1.775461,-0.08953,-9.06906,0.27244,50,0.13271,-0.86798,-99.97738,13.91409,-0.08948,18.01928,-41.2373,CLE_TIG_SB,FLO_STA_SB,McWhorterStadium,D1,ACC,20260327-McWhorterStadium-1,a54d6fd0-2a28-11f1-ba53-2f845bef268d,102.37168,10.75609,,4.5877,,,,0.00253,1.90897,-0.24037,66fc9a38-af41-4de2-8e8b-cfcef93d09fe,2026-03-27,22:02:28.00,2026-03-27T18:02:28.0061440-04:00,2026-03-27T22:02:28.0061440Z,,V3 - Softball,,,,"Hicks, Corri",100000002008,Right,CLE_TIG_SB,aed525cb-1931-469c-9c6a-a5158afd8d12,36.07057,-97.43448,9.00964,1.68565,8.09466,-20.61865,0.14906,-0.8806,-0.04474,122.256316,0.00253,87.02548,-17.89894,3.58021,-0.6911,0.11527,-0.01816,0.00258,-0.0002,1.90897,21.39127,-13.0554,0.07887,0.12348,-0.03636,0.00998,-0.00149,0.0001,-0.24037,-46.39972,-2.20596,1.22153,-0.40445,0.10299,-0.02229,0.00346,-0.00028,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-03-27,18:02:55.28,2,1,"Maness, Sierra",1000000000649,Right,CLE_TIG_SB,"Beachum, Jaysoni",1000000000172,Right,FLO_STA_SB,Undefined,1,Top,0,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.9,3.974795,0.316787,1410.063326,2.128403,6:00,1.78442,-0.10913,7.29651,-30.45817,-5.97516,-0.24154,1.62869,0.06031,63.79634,-4.635825,0.249598,0.356126,,,,,,,,,,,,0.38035,-7.88,0.19078,50,0.42085,-0.60294,-101.7302,12.49359,0.39772,17.03406,-40.41357,CLE_TIG_SB,FLO_STA_SB,McWhorterStadium,D1,ACC,20260327-McWhorterStadium-1,b5a8e800-2a28-11f1-ba53-2f845bef268d,105.84019,,,4.10366,,,,,,,66fc9a38-af41-4de2-8e8b-cfcef93d09fe,2026-03-27,22:02:55.28,2026-03-27T18:02:55.2842240-04:00,2026-03-27T22:02:55.2842240Z,,V3 - Softball,,,,"Hicks, Corri",100000002008,Right,CLE_TIG_SB,7a80c968-9b0f-403f-a430-a84cb11b1d2f,35.70245,-99.30732,8.51703,1.78909,6.74526,-20.20679,0.10905,-0.54637,0.19886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-27,18:03:10.60,2,2,"Maness, Sierra",1000000000649,Right,CLE_TIG_SB,"Beachum, Jaysoni",1000000000172,Right,FLO_STA_SB,Undefined,1,Top,0,1,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.76683,5.945459,-1.987509,1365.067054,10.546281,6:15,1.70095,-0.36912,7.1498,-32.81258,-6.29815,-1.27988,2.55471,-1.67071,61.50675,-3.275245,-2.340933,0.370606,,,,,,,,,,,,0.95291,-8.66693,-0.10887,50,-0.15757,3.20589,-98.15867,15.74003,0.92772,15.85139,-40.61171,CLE_TIG_SB,FLO_STA_SB,McWhorterStadium,D1,ACC,20260327-McWhorterStadium-1,bec117a0-2a28-11f1-ba53-2f845bef268d,101.7049,,,4.26008,,,,,,,66fc9a38-af41-4de2-8e8b-cfcef93d09fe,2026-03-27,22:03:10.60,2026-03-27T18:03:10.6010624-04:00,2026-03-27T22:03:10.6010624Z,,V3 - Softball,,,,"Hicks, Corri",100000002008,Right,CLE_TIG_SB,cf7e6aa0-977a-4921-81f8-2b9da9582618,35.84919,-95.84626,7.9257,1.70647,9.81556,-20.30586,0.36868,3.34122,0.46386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-27,18:03:26.34,2,3,"Maness, Sierra",1000000000649,Right,CLE_TIG_SB,"Beachum, Jaysoni",1000000000172,Right,FLO_STA_SB,Undefined,1,Top,0,2,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,68.25865,4.6877,0.079943,1442.01695,15.010687,6:30,1.70976,-0.01203,7.08355,-30.53506,-6.19398,-1.78134,1.99412,-0.11234,64.61712,-3.867474,-0.412199,0.355092,,,,,,,,,,,,2.14807,-8.16867,0.0508,50,0.19101,-0.44071,-101.81852,13.75301,2.2841,14.69422,-40.86002,CLE_TIG_SB,FLO_STA_SB,McWhorterStadium,D1,ACC,20260327-McWhorterStadium-1,c817afd0-2a28-11f1-ba53-2f845bef268d,106.14823,,,3.64153,,,,,,,66fc9a38-af41-4de2-8e8b-cfcef93d09fe,2026-03-27,22:03:26.34,2026-03-27T18:03:26.3420928-04:00,2026-03-27T22:03:26.3420928Z,,V3 - Softball,,,,"Hicks, Corri",100000002008,Right,CLE_TIG_SB,80061851-8b9f-46d1-9233-fad086ed44cf,35.91618,-99.76527,7.34711,1.71385,8.04357,-20.43001,0.01151,-0.12155,1.14205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-27,18:03:41.26,2,4,"Maness, Sierra",1000000000649,Right,CLE_TIG_SB,"Beachum, Jaysoni",1000000000172,Right,FLO_STA_SB,Undefined,1,Top,0,2,1,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,67.20025,3.86417,0.297351,1374.715489,2.73173,6:00,1.65657,-0.28719,6.99191,-31.24565,-5.9237,-0.30677,1.38927,-0.13323,63.44827,-4.881768,0.212738,0.362176,52.91258,-63.595499,-86.513785,,,,,0.6878,0.58903,-46.561163,0.017701,0.44484,-7.76308,0.36309,50,0.3449,-0.5719,-100.49386,12.16905,0.45729,15.49338,-40.15405,CLE_TIG_SB,FLO_STA_SB,McWhorterStadium,D1,ACC,20260327-McWhorterStadium-1,d100e030-2a28-11f1-ba53-2f845bef268d,104.07204,1.23436,,3.75199,,,,0.43565,1.23436,0.11231,66fc9a38-af41-4de2-8e8b-cfcef93d09fe,2026-03-27,22:03:41.26,2026-03-27T18:03:41.2699648-04:00,2026-03-27T22:03:41.2699648Z,,V3 - Softball,,,,"Hicks, Corri",100000002008,Right,CLE_TIG_SB,ac12b15a-85a4-46a3-8c0c-52be83b9f5bf,36.00757,-98.31295,7.74669,1.66005,6.5168,-20.07702,0.28712,-0.50753,0.22865,,0.43563,2.10534,,,,,,,,1.23499,-69.73299,,,,,,,,0.11262,-34.55852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2026-03-27,18:04:01.18,2,5,"Maness, Sierra",1000000000649,Right,CLE_TIG_SB,"Beachum, Jaysoni",1000000000172,Right,FLO_STA_SB,Undefined,1,Top,0,2,2,Changeup,,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,59.23868,7.40389,-0.162326,1055.87393,5.718415,6:15,1.66283,-0.27242,6.62253,-43.78518,-9.15796,-1.01906,2.55713,-0.45639,54.05738,-4.768971,-0.439395,0.423526,,,,,,,,,,,,1.08307,-12.22072,0.24164,50,-0.5293,0.12912,-88.7201,17.37444,0.83323,16.80242,-41.57571,CLE_TIG_SB,FLO_STA_SB,McWhorterStadium,D1,ACC,20260327-McWhorterStadium-1,dcdd5ff0-2a28-11f1-ba53-2f845bef268d,88.99669,,,5.1813,,,,,,,66fc9a38-af41-4de2-8e8b-cfcef93d09fe,2026-03-27,22:04:01.18,2026-03-27T18:04:01.1800000-04:00,2026-03-27T22:04:01.1800000Z,,V3 - Softball,,,,"Hicks, Corri",100000002008,Right,CLE_TIG_SB,94c71a63-6206-4389-9c9b-e6f12146861f,36.3755,-86.10115,8.40121,1.67378,10.89413,-20.78785,0.27189,0.25899,0.41661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.44275,1.86811,0.72663,1.141479,-3.47449,2.07027,0.49554,-4.20186,4.58437,1.26451,84.8501,-0.87125,0.01711,-4.12922,86.96834,-8.00817,4.60985,9.76908,-12.809,1.22394,-4.75753,3.3012,High,High,High,,,High,Medium,Medium
8,2026-03-27,18:04:28.13,3,1,"Maness, Sierra",1000000000649,Right,CLE_TIG_SB,"Danley, Ashtyn",1000000000163,Right,FLO_STA_SB,Undefined,1,Top,1,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,68.60146,4.002032,-1.313152,1347.885212,344.438325,5:30,1.65335,-0.18122,6.93577,-30.43407,-5.87095,1.78669,1.54185,-0.82655,64.28542,-4.516511,-0.821511,0.356708,,,,,,,,,,,,-2.48311,-7.62563,-0.15582,50,0.33695,2.64099,-102.73627,12.38928,-2.64138,17.76909,-40.28577,CLE_TIG_SB,FLO_STA_SB,McWhorterStadium,D1,ACC,20260327-McWhorterStadium-1,ecf51860-2a28-11f1-ba53-2f845bef268d,105.6674,,,4.31604,,,,,,,66fc9a38-af41-4de2-8e8b-cfcef93d09fe,2026-03-27,22:04:28.13,2026-03-27T18:04:28.1308160-04:00,2026-03-27T22:04:28.1308160Z,,V3 - Softball,,,,"Hicks, Corri",100000002008,Right,CLE_TIG_SB,740ae641-c128-47df-b353-e41bb3bcb642,36.06293,-100.29677,8.88455,1.6582,6.8585,-20.14289,0.18186,2.27836,-1.32069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-27,18:04:45.85,3,2,"Maness, Sierra",1000000000649,Right,CLE_TIG_SB,"Danley, Ashtyn",1000000000163,Right,FLO_STA_SB,Undefined,1,Top,1,1,0,Dropball,,InPlay,Undefined,GroundBall,Out,1,0,,69.77139,5.287606,0.575677,1331.550345,73.006253,8:30,1.62566,-0.22474,6.92732,-25.32198,-1.21441,-5.99725,2.72304,-0.3763,64.41565,-1.841877,-1.072751,0.353385,53.2151,-3.435245,-18.75084,6446.33578,,,,21.41369,19.79391,-19.190565,0.284328,7.24772,-2.81618,0.42287,50,0.05071,-2.01325,-104.63744,14.0699,7.86649,21.12003,-35.23066,CLE_TIG_SB,FLO_STA_SB,McWhorterStadium,D1,ACC,20260327-McWhorterStadium-1,f774a030-2a28-11f1-ba53-2f845bef268d,106.66111,2.75798,,5.35574,,,,0.04011,2.75798,0.37462,66fc9a38-af41-4de2-8e8b-cfcef93d09fe,2026-03-27,22:04:45.85,2026-03-27T18:04:45.8537984-04:00,2026-03-27T22:04:45.8537984Z,,V3 - Softball,,,,"Hicks, Corri",100000002008,Right,CLE_TIG_SB,190d2de4-1003-4281-93c5-fb8690971b31,36.06996,-101.78697,10.56002,1.62879,9.31499,-17.61533,0.2228,-0.95156,3.93324,70.075292,0.04072,73.7454,-9.71575,,,,,,,2.75948,-4.74642,-17.46152,,,,,,,0.37569,-25.09405,-3.47219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-03-27,18:05:14.75,4,1,"Maness, Sierra",1000000000649,Right,CLE_TIG_SB,"Ruggiero, Isabella",1000000000173,Right,FLO_STA_SB,Undefined,1,Top,2,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,68.25621,4.577469,2.12188,1451.988807,346.043341,5:30,1.74886,-0.13656,7.52327,-29.13415,-5.03823,1.38929,2.04982,1.24117,63.72417,-3.721499,2.510093,0.3533,,,,,,,,,,,,-1.03417,-7.06496,0.65925,50,0.21766,-3.55307,-102.31288,13.52488,-1.08531,18.44921,-39.58825,CLE_TIG_SB,FLO_STA_SB,McWhorterStadium,D1,ACC,20260327-McWhorterStadium-1,08ae9180-2a29-11f1-ba53-2f845bef268d,106.68689,,,4.53204,,,,,,,66fc9a38-af41-4de2-8e8b-cfcef93d09fe,2026-03-27,22:05:14.75,2026-03-27T18:05:14.7508224-04:00,2026-03-27T22:05:14.7508224Z,,V3 - Softball,,,,"Hicks, Corri",100000002008,Right,CLE_TIG_SB,4dd45235-3a4b-44f8-b37c-9270324ffa58,35.47501,-99.6593,9.2246,1.75347,7.83083,-19.79412,0.13698,-3.70918,-0.54265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
