PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,18:04:09.03,1,1,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"Burdick, Kaycie",100000003260,Left,WAS_HUS_SB,Undefined,1,Top,0,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,62.48744,5.885234,-0.57115,1194.72094,249.551496,2:15,1.82907,-0.41587,4.50314,-32.12514,1.95839,3.26315,2.97438,-0.51359,58.33255,-2.554573,0.266423,0.420188,,,,,,,,,,,,-3.51197,0.96433,0.28352,50,0.42248,1.2587,-92.74152,13.22283,-3.06906,13.43084,-31.33135,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260327-BobPearlField-1,434e11f0-2a31-11f1-af19-a583d579adbc,89.70375,,,4.15488,,,,,,,2a2a1198-ffde-45cf-b9c5-1a01d1f4cd60,2026-03-27,23:04:09.03,2026-03-27T18:04:09.0320000-05:00,2026-03-27T23:04:09.0320000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,5a03ad61-b4f0-45f6-8d8d-25bee9c1aae5,38.49337,-91.05988,6.71542,1.83249,9.29991,-15.66568,0.41707,0.87443,-1.53453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-27,18:04:25.12,1,2,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"Burdick, Kaycie",100000003260,Left,WAS_HUS_SB,Undefined,1,Top,0,0,1,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,59.13264,4.635135,2.466575,1657.930624,222.464814,1:30,2.15096,-1.18312,4.38889,-31.01218,7.56709,6.07441,2.58496,0.92528,54.94744,-3.545171,4.018492,0.447042,,,,,,,,,,,,-5.54359,6.84867,1.63945,50,1.01259,-3.19941,-88.05246,10.47471,-4.30552,13.7561,-26.85492,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260327-BobPearlField-1,4cddbb80-2a31-11f1-af19-a583d579adbc,84.31521,,,4.18519,,,,,,,2a2a1198-ffde-45cf-b9c5-1a01d1f4cd60,2026-03-27,23:04:25.12,2026-03-27T18:04:25.1200000-05:00,2026-03-27T23:04:25.1200000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,3c3238aa-e66e-4984-8032-7f9c7ba9f20f,38.60764,-86.25432,6.87805,2.15237,6.96433,-13.42746,1.18445,-3.76221,-2.15276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-27,18:04:59.43,1,3,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"Burdick, Kaycie",100000003260,Left,WAS_HUS_SB,Undefined,1,Top,0,0,2,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,59.79677,3.911904,3.211346,1579.166967,217.622182,1:15,2.08254,-0.67522,4.14442,-30.13639,8.01937,5.48213,2.13534,1.88222,55.71931,-3.979606,4.60171,0.444581,,,,,,,,,,,,-4.58855,7.53721,1.27357,50,1.12365,-4.48365,-88.94317,9.24673,-3.64961,13.60251,-26.17914,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260327-BobPearlField-1,615d3ae0-2a31-11f1-af19-a583d579adbc,84.78186,,,4.07746,,,,,,,2a2a1198-ffde-45cf-b9c5-1a01d1f4cd60,2026-03-27,23:04:59.43,2026-03-27T18:04:59.4330000-05:00,2026-03-27T23:04:59.4330000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,a78378bd-cdf6-4976-8a4c-689c98f06daa,38.85064,-87.22138,6.80125,2.08436,5.933,-13.08957,0.67679,-4.94561,-1.82481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-27,18:05:17.33,1,4,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"Burdick, Kaycie",100000003260,Left,WAS_HUS_SB,Undefined,1,Top,0,1,2,Curveball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,60.06329,4.300476,3.103531,1543.210297,209.835686,1:00,2.04539,-0.50713,4.40664,-28.9134,8.523,4.35642,2.43569,1.87162,55.70834,-3.342902,4.216273,0.440371,,,,,,,,,,,,-3.4826,7.99095,1.10326,50,0.98679,-4.43264,-89.4091,9.88388,-2.78541,14.32815,-25.78284,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260327-BobPearlField-1,6c04e420-2a31-11f1-af19-a583d579adbc,85.59252,,,4.35495,,,,,,,2a2a1198-ffde-45cf-b9c5-1a01d1f4cd60,2026-03-27,23:05:17.33,2026-03-27T18:05:17.3300000-05:00,2026-03-27T23:05:17.3300000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,9f08434c-71aa-4f32-a5e8-d09e2c1d9b47,38.58787,-87.56117,7.16407,2.0471,6.55861,-12.89142,0.50841,-4.79188,-1.39271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.87727,,1.05431,,-1.52359,2.24634,-2.09064,-1.77669,4.13795,-0.99748,,,,-1.76377,64.57871,-5.80372,4.14777,5.34686,-13.73785,-1.0115,-36.22148,5.35152,High,High,High,,,High,High,Medium
5,2026-03-27,18:05:40.58,2,1,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"DeBoer, Alexis",100000002035,Right,WAS_HUS_SB,Undefined,1,Top,1,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.64934,5.77439,1.920475,1352.832088,261.078153,2:45,1.83325,-0.5449,4.59022,-31.69348,1.33717,3.33327,2.93515,0.97329,58.90627,-2.590669,2.777076,0.413647,,,,,,,,,,,,-2.8437,0.14213,0.91568,50,0.4431,-2.82937,-94.67335,13.24662,-2.55343,15.89181,-32.04645,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260327-BobPearlField-1,79de9370-2a31-11f1-af19-a583d579adbc,91.12223,,,4.74307,,,,,,,2a2a1198-ffde-45cf-b9c5-1a01d1f4cd60,2026-03-27,23:05:40.58,2026-03-27T18:05:40.5870000-05:00,2026-03-27T23:05:40.5870000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,b35175d4-79c9-48d8-b4a8-dd515e5bed2f,38.4058,-92.70673,7.94591,1.83699,9.28085,-16.02322,0.54599,-3.14536,-1.27672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-27,18:05:55.56,2,2,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"DeBoer, Alexis",100000002035,Right,WAS_HUS_SB,Undefined,1,Top,1,0,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.9868,4.836777,2.299102,1215.238468,214.875878,1:15,1.84537,-0.45049,4.41832,-29.49537,3.19382,1.7124,2.53482,1.18433,59.70398,-2.910242,2.737285,0.411504,,,,,,,,,,,,-1.11583,2.4161,0.89971,50,0.67834,-3.64009,-95.10478,11.4648,-1.02125,14.68174,-29.96272,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260327-BobPearlField-1,82c9bfa0-2a31-11f1-af19-a583d579adbc,91.59687,,,4.28282,,,,,,,2a2a1198-ffde-45cf-b9c5-1a01d1f4cd60,2026-03-27,23:05:55.56,2026-03-27T18:05:55.5680000-05:00,2026-03-27T23:05:55.5680000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,05c92b2c-3c14-4c23-a210-e4e91dfe4c7d,38.57794,-93.32485,7.34087,1.84807,7.83229,-14.98136,0.4509,-3.76389,-0.51062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-27,18:06:11.96,2,3,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"DeBoer, Alexis",100000002035,Right,WAS_HUS_SB,Undefined,1,Top,1,1,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,60.04431,3.047765,0.241342,1402.101618,190.735094,12:15,1.58031,-0.36009,4.55681,-27.33769,10.59028,1.76665,1.27362,-0.05691,54.35304,-4.319417,0.696319,0.443253,,,,,,,,,,,,-1.68843,10.32674,0.40079,50,0.7745,-0.22069,-90.13866,7.77259,-1.32355,18.85017,-24.07897,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260327-BobPearlField-1,8c98e330-2a31-11f1-af19-a583d579adbc,85.03603,,,5.69128,,,,,,,2a2a1198-ffde-45cf-b9c5-1a01d1f4cd60,2026-03-27,23:06:11.96,2026-03-27T18:06:11.9600000-05:00,2026-03-27T23:06:11.9600000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,68c8a460-99b7-4470-a419-432f3a516a07,38.4342,-87.68662,9.42509,1.58185,4.64038,-12.03949,0.36089,-0.39285,-0.66177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-27,18:06:28.13,2,4,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"DeBoer, Alexis",100000002035,Right,WAS_HUS_SB,Undefined,1,Top,1,2,1,Fastball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,64.14523,5.706992,0.882727,1326.11751,254.581593,2:30,1.8926,-0.79364,4.67014,-30.5271,1.93181,3.97248,3.03809,0.10615,59.14994,-2.385882,1.906905,0.410051,,,,,,,,,,,,-3.80158,0.75811,0.95277,50,0.51489,-1.06144,-95.53875,13.12864,-3.45969,16.82935,-31.48413,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260327-BobPearlField-1,9637a7f0-2a31-11f1-af19-a583d579adbc,91.92127,,,4.99529,,,,,,,2a2a1198-ffde-45cf-b9c5-1a01d1f4cd60,2026-03-27,23:06:28.13,2026-03-27T18:06:28.1340000-05:00,2026-03-27T23:06:28.1340000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,568e5275-a40a-4d66-8b69-b1a271f6b677,38.32501,-93.45955,8.41467,1.8966,9.2389,-15.74206,0.79523,-1.48887,-1.72985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-27,18:06:44.36,2,5,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"DeBoer, Alexis",100000002035,Right,WAS_HUS_SB,Undefined,1,Top,1,2,2,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,60.65663,5.714937,1.706023,1471.587611,185.122824,12:15,1.64249,-0.60936,4.84281,-27.88112,8.36548,0.66032,2.99757,0.53996,55.53119,-1.77647,1.876963,0.433316,56.72412,40.900972,168.525637,2182.57768,-107.31483,30.16475,24.15602,156.06258,48.30846,167.376217,2.771604,-0.08874,7.28583,0.9582,50,0.24519,-2.62769,-90.51023,12.29827,-0.07166,16.46312,-26.28992,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260327-BobPearlField-1,9fecb3d0-2a31-11f1-af19-a583d579adbc,86.98596,36.83809,,5.12544,,,,2.59603,3.00211,-0.5203,2a2a1198-ffde-45cf-b9c5-1a01d1f4cd60,2026-03-27,23:06:44.36,2026-03-27T18:06:44.3680000-05:00,2026-03-27T23:06:44.3680000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,9b8d6582-c38a-485c-b1c8-b4671c230a78,38.15243,-88.32896,8.23156,1.64388,8.81501,-13.14496,0.60942,-2.63718,-0.03583,10.900178,2.59596,-61.6222,3.23183,-0.52653,-0.07939,0.14593,-0.07671,0.01965,-0.00196,3.00212,54.47186,-24.58964,2.65169,-0.50097,0.04848,0.00727,-0.00397,0.00051,-0.52026,12.50808,0.9238,-0.63818,0.17888,-0.02967,0.00018,0.00089,-0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2026-03-27,18:07:05.96,2,6,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"DeBoer, Alexis",100000002035,Right,WAS_HUS_SB,Undefined,1,Top,1,2,2,Riseball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,63.87369,6.40973,0.364956,1259.879875,217.673922,1:15,1.75654,-0.58106,4.5092,-29.06423,3.64618,2.26327,3.49951,-0.1563,59.47382,-1.235346,0.945864,0.411637,,,,,,,,,,,,-2.22473,2.53209,0.64234,50,0.26166,-0.36845,-94.70956,14.0401,-2.02514,14.16678,-29.8691,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260327-BobPearlField-1,acc23990-2a31-11f1-af19-a583d579adbc,91.56717,,,4.39987,,,,,,,2a2a1198-ffde-45cf-b9c5-1a01d1f4cd60,2026-03-27,23:07:05.96,2026-03-27T18:07:05.9640000-05:00,2026-03-27T23:07:05.9640000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,69816487-ba99-432a-bb44-c839eafefe4b,38.48656,-92.97141,7.08339,1.75945,10.37541,-14.93455,0.58189,-0.61692,-1.01257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.23154,1.979371,1.156813,0.822559,-2.89414,3.37031,0.08261,-4.08157,5.33644,2.982,42.96228,4.7317,39.39243,-4.05854,63.07457,-7.27654,5.35087,11.28257,-14.69319,2.98712,46.39008,-2.61163,High,High,High,,,High,High,High
