PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,15:04:42.65,1,1,"Colleran, Kelly",100000004728,Right,BOS_COL_SB,"Foster, Addison",100000004360,Left,VIR_TEC_SB,Undefined,1,Top,0,0,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.77771,3.998141,-0.124981,1100.245825,138.578677,10:30,1.62231,0.0302,5.90506,-21.65253,9.21831,-7.07827,2.31164,-0.63748,57.43717,-2.119462,-2.015902,0.399895,,,,,,,,,,,,7.49339,8.75166,-0.01853,50,0.52097,-0.57004,-97.9482,9.84484,6.73392,26.20584,-24.30937,BOS_COL_SB,VIR_TEC_SB,BrightonSBStadium,D1,BEAST,20260327-BrightonSBStadium-1,d04f9af0-2a0f-11f1-ab27-7b4909b6dfd8,94.25591,,,7.34053,,,,,,,0e4f81ea-9f12-422f-a5e7-5bb14e358709,2026-03-27,19:04:42.65,2026-03-27T15:04:42.6569728-04:00,2026-03-27T19:04:42.6569728Z,,V3 - Softball,,,,"Ptak, Abby",100000004731,Right,BOS_COL_SB,6c113961-302b-44d7-b6c7-0a9e6611e564,37.08367,-94.42925,13.10292,1.62378,6.58054,-12.15469,-0.03437,0.3342,3.36696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-27,15:05:02.00,1,2,"Colleran, Kelly",100000004728,Right,BOS_COL_SB,"Foster, Addison",100000004360,Left,VIR_TEC_SB,Undefined,1,Top,0,0,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.75888,5.391847,-1.274903,1082.166495,145.671119,10:45,1.58557,0.1701,5.91643,-20.50761,10.19453,-6.22615,3.24385,-1.14251,57.86076,-0.386629,-2.936527,0.398801,,,,,,,,,,,,6.06756,9.29981,-0.42148,50,0.16994,1.46851,-97.46079,12.10582,5.47602,24.07845,-23.78092,BOS_COL_SB,VIR_TEC_SB,BrightonSBStadium,D1,BEAST,20260327-BrightonSBStadium-1,dbccbca0-2a0f-11f1-ab27-7b4909b6dfd8,94.51451,,,6.89812,,,,,,,0e4f81ea-9f12-422f-a5e7-5bb14e358709,2026-03-27,19:05:02.00,2026-03-27T15:05:02.0096512-04:00,2026-03-27T19:05:02.0096512Z,,V3 - Softball,,,,"Ptak, Abby",100000004731,Right,BOS_COL_SB,25a80f5c-ab13-46a0-88c4-fbcc4893db03,37.07275,-94.21289,12.03923,1.58652,8.89805,-11.89046,-0.17358,2.20716,2.73801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-27,15:05:21.15,1,3,"Colleran, Kelly",100000004728,Right,BOS_COL_SB,"Foster, Addison",100000004360,Left,VIR_TEC_SB,Undefined,1,Top,0,1,1,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,52.21683,8.561049,-1.224814,928.387119,30.847658,7:00,1.75764,0.41187,4.8269,-54.17948,-4.4761,-3.55669,2.7773,-0.67039,47.51058,-5.803196,-2.142209,0.507416,,,,,,,,,,,,3.18748,-6.72752,-0.64742,50,-0.3863,1.36922,-77.57643,16.73864,1.88005,12.60665,-36.1421,BOS_COL_SB,VIR_TEC_SB,BrightonSBStadium,D1,BEAST,20260327-BrightonSBStadium-1,e7479460-2a0f-11f1-ab27-7b4909b6dfd8,74.28308,,,4.70625,,,,,,,0e4f81ea-9f12-422f-a5e7-5bb14e358709,2026-03-27,19:05:21.15,2026-03-27T15:05:21.1583488-04:00,2026-03-27T19:05:21.1583488Z,,V3 - Softball,,,,"Ptak, Abby",100000004731,Right,BOS_COL_SB,665ebaed-e4f2-435e-8ae2-8c01760403b0,38.16977,-75.62951,6.30332,1.76774,11.15701,-18.07105,-0.41354,1.65956,0.94003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-27,15:05:42.28,1,4,"Colleran, Kelly",100000004728,Right,BOS_COL_SB,"Foster, Addison",100000004360,Left,VIR_TEC_SB,Undefined,1,Top,0,2,1,Dropball,,InPlay,Undefined,GroundBall,Out,1,0,,63.29285,6.21022,0.038306,907.03035,357.868973,6:00,1.8301,0.36107,5.42721,-38.71089,-6.3026,0.27098,2.53855,0.40782,57.67245,-4.234641,0.10964,0.409732,63.06303,-30.579341,36.674869,,,,,5.38546,4.94701,25.632564,0.055508,-0.27673,-8.59367,-0.35449,50,0.17779,-0.03261,-94.7597,15.11377,-0.24256,19.32724,-39.70683,BOS_COL_SB,VIR_TEC_SB,BrightonSBStadium,D1,BEAST,20260327-BrightonSBStadium-1,f3cc3b00-2a0f-11f1-ab27-7b4909b6dfd8,91.993,2.62416,,5.62041,,,,1.29372,2.62416,-0.32267,0e4f81ea-9f12-422f-a5e7-5bb14e358709,2026-03-27,19:05:42.28,2026-03-27T15:05:42.2833152-04:00,2026-03-27T19:05:42.2833152Z,,V3 - Softball,,,,"Ptak, Abby",100000004731,Right,BOS_COL_SB,ec2f7785-4de4-4c6e-bc37-66456196d173,37.56998,-92.18961,9.66362,1.83651,9.83366,-19.85342,-0.36097,-0.06487,-0.12128,180,1.29103,64.1663,,,,,,,,2.62614,-47.27536,,,,,,,,-0.32467,47.78432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-03-27,15:06:13.83,2,1,"Colleran, Kelly",100000004728,Right,BOS_COL_SB,"Lynch, Jordan",1000000000429,Left,VIR_TEC_SB,Undefined,1,Top,1,0,0,Riseball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,64.9148,5.765877,1.964013,1130.947599,191.075601,12:15,1.50512,0.0787,5.73438,-23.87682,5.96193,1.0241,3.13736,1.39338,59.99,-0.770672,2.235713,0.393153,,,,,,,,,,,,-0.49622,5.23142,0.35069,50,-0.00152,-3.19144,-96.78233,13.14243,-0.46427,17.02085,-27.27956,BOS_COL_SB,VIR_TEC_SB,BrightonSBStadium,D1,BEAST,20260327-BrightonSBStadium-1,069f42e0-2a10-11f1-ab27-7b4909b6dfd8,95.87215,,,4.9248,,,,,,,0e4f81ea-9f12-422f-a5e7-5bb14e358709,2026-03-27,19:06:13.83,2026-03-27T15:06:13.8356224-04:00,2026-03-27T19:06:13.8356224Z,,V3 - Softball,,,,"Ptak, Abby",100000004731,Right,BOS_COL_SB,851a7654-8b14-4958-b353-1edc3cc411be,37.26071,-94.51535,8.51042,1.50694,9.50911,-13.63978,-0.07849,-3.25327,-0.23214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-27,15:06:34.63,2,2,"Colleran, Kelly",100000004728,Right,BOS_COL_SB,"Lynch, Jordan",1000000000429,Left,VIR_TEC_SB,Undefined,1,Top,1,0,1,Riseball,,InPlay,Undefined,Popup,Out,1,0,,64.74755,5.756744,-0.056617,1088.846931,126.848715,10:15,1.47059,0.14,6.16489,-22.42749,7.37831,-8.64418,3.17231,-0.61534,58.74724,-0.525345,-2.380685,0.392936,46.5416,67.410975,41.920237,,,,,67.52719,31.69354,47.113601,3.498494,9.65792,6.46394,-0.08683,50,-0.08014,-1.01769,-97.24133,13.09142,8.84967,21.34738,-26.25107,BOS_COL_SB,VIR_TEC_SB,BrightonSBStadium,D1,BEAST,20260327-BrightonSBStadium-1,12ff7190-2a10-11f1-ab27-7b4909b6dfd8,95.92511,52.97357,,6.00031,,,,1.94421,2.94719,0.57397,0e4f81ea-9f12-422f-a5e7-5bb14e358709,2026-03-27,19:06:34.63,2026-03-27T15:06:34.6355712-04:00,2026-03-27T19:06:34.6355712Z,,V3 - Softball,,,,"Ptak, Abby",100000004731,Right,BOS_COL_SB,fac81a5c-c052-4f37-b828-3a9691ddc016,36.82999,-94.30581,10.67369,1.47189,9.48159,-13.12554,-0.1431,0.19924,4.42483,191.541216,1.94285,19.55184,-6.27773,2.86697,-1.16607,0.46306,-0.12819,0.01894,-0.0011,2.94384,63.13566,-23.15033,3.69901,-2.25199,1.24414,-0.4145,0.07075,-0.00479,0.574,17.5142,-2.70794,0.82038,-0.03687,-0.09374,0.04813,-0.01053,0.00087,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-03-27,15:07:02.79,3,1,"Colleran, Kelly",100000004728,Right,BOS_COL_SB,"Abromavage, Nora",1000000000424,Right,VIR_TEC_SB,Undefined,1,Top,2,0,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,51.97236,7.54853,-3.332717,997.053758,11.41509,6:30,1.95375,0.46026,5.19251,-55.23227,-5.58551,-1.46224,2.18155,-1.78073,46.98976,-7.269975,-3.713242,0.507127,,,,,,,,,,,,0.09543,-7.74178,-1.16298,50,-0.05111,4.39724,-77.58343,15.56889,0.05533,14.12148,-36.66166,BOS_COL_SB,VIR_TEC_SB,BrightonSBStadium,D1,BEAST,20260327-BrightonSBStadium-1,23dcc3f0-2a10-11f1-ab27-7b4909b6dfd8,74.32542,,,4.9826,,,,,,,0e4f81ea-9f12-422f-a5e7-5bb14e358709,2026-03-27,19:07:02.79,2026-03-27T15:07:02.7950592-04:00,2026-03-27T19:07:02.7950592Z,,V3 - Softball,,,,"Ptak, Abby",100000004731,Right,BOS_COL_SB,de832d95-078b-475b-9ff6-dbe2d0df9f3a,37.8032,-75.3307,7.06074,1.96603,9.72045,-18.33083,-0.46081,4.40607,0.02766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-27,15:07:21.17,3,2,"Colleran, Kelly",100000004728,Right,BOS_COL_SB,"Abromavage, Nora",1000000000424,Right,VIR_TEC_SB,Undefined,1,Top,2,1,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,61.54837,5.105958,-2.899093,914.798382,353.284728,5:45,1.94793,0.39259,5.24956,-42.01782,-7.25681,0.98504,1.69713,-1.36534,56.02225,-6.178959,-2.64127,0.424343,,,,,,,,,,,,-2.21284,-8.8915,-1.01837,50,0.5527,4.7743,-92.27377,13.0886,-1.82609,19.20204,-39.51151,BOS_COL_SB,VIR_TEC_SB,BrightonSBStadium,D1,BEAST,20260327-BrightonSBStadium-1,2ec7b7c0-2a10-11f1-ab27-7b4909b6dfd8,88.82532,,,5.52612,,,,,,,0e4f81ea-9f12-422f-a5e7-5bb14e358709,2026-03-27,19:07:21.17,2026-03-27T15:07:21.1713536-04:00,2026-03-27T19:07:21.1713536Z,,V3 - Softball,,,,"Ptak, Abby",100000004731,Right,BOS_COL_SB,71237796-5336-46e4-82c6-38e9f0c4c23e,37.74678,-89.68765,9.60102,1.95712,7.76722,-19.75576,-0.39193,4.52837,-0.91304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-27,15:07:40.45,3,3,"Colleran, Kelly",100000004728,Right,BOS_COL_SB,"Abromavage, Nora",1000000000424,Right,VIR_TEC_SB,Undefined,1,Top,2,2,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,51.90629,6.686111,-2.814166,950.135128,26.025333,6:45,1.99012,0.35734,5.79825,-50.97176,-3.85303,-2.52288,1.94254,-1.61196,47.80971,-7.179684,-3.483067,0.494047,,,,,,,,,,,,1.72209,-5.59449,-0.96961,50,0.05383,3.56644,-77.49361,14.58874,1.01767,12.22702,-35.48013,BOS_COL_SB,VIR_TEC_SB,BrightonSBStadium,D1,BEAST,20260327-BrightonSBStadium-1,3a50c050-2a10-11f1-ab27-7b4909b6dfd8,76.29325,,,4.09658,,,,,,,0e4f81ea-9f12-422f-a5e7-5bb14e358709,2026-03-27,19:07:40.45,2026-03-27T15:07:40.4505600-04:00,2026-03-27T19:07:40.4505600Z,,V3 - Softball,,,,"Ptak, Abby",100000004731,Right,BOS_COL_SB,4a61408f-cde6-4508-8466-898f09da4d73,37.19893,-75.44681,6.11351,1.99885,8.64938,-17.74007,-0.35833,3.73679,0.50884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-27,15:08:00.16,3,4,"Colleran, Kelly",100000004728,Right,BOS_COL_SB,"Abromavage, Nora",1000000000424,Right,VIR_TEC_SB,Undefined,1,Top,2,3,0,Dropball,,BallCalled,Walk,Undefined,Undefined,0,0,,61.42233,4.700506,-2.649582,863.657398,6.246729,6:15,1.90963,0.6505,5.63719,-41.68042,-7.98847,-0.97669,1.39507,-1.09437,56.68209,-6.572963,-2.908096,0.417767,,,,,,,,,,,,0.10303,-9.66205,-1.22882,50,0.53318,4.14765,-92.02116,12.74709,0.08588,17.19043,-40.22866,BOS_COL_SB,VIR_TEC_SB,BrightonSBStadium,D1,BEAST,20260327-BrightonSBStadium-1,460593d0-2a10-11f1-ab27-7b4909b6dfd8,90.22351,,,4.74024,,,,,,,0e4f81ea-9f12-422f-a5e7-5bb14e358709,2026-03-27,19:08:00.16,2026-03-27T15:08:00.1649152-04:00,2026-03-27T19:08:00.1649152Z,,V3 - Softball,,,,"Ptak, Abby",100000004731,Right,BOS_COL_SB,4db72b0b-aea4-46f2-8897-4044cbda121d,37.36098,-89.62897,8.59522,1.91753,7.14896,-20.11433,-0.65081,4.1596,0.04294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
