PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,17:02:17.54,1,1,"Wheeler, Mallory",100000003466,Right,DUK_BLU_SB,"Kern, Taryn",100000006678,Left,STA_UNI_SB,Undefined,1,Top,0,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,67.01872,4.455665,0.152831,1268.599034,307.995822,4:15,1.94026,0.79896,6.18842,-27.99844,-0.90252,2.00654,2.36515,1.06059,62.22343,-3.262755,0.693189,0.374648,,,,,,,,,,,,-2.19902,-1.88898,-0.77968,50,0.64318,0.00811,-100.30953,12.04213,-2.21082,18.23571,-34.07315,DUK_BLU_SB,STA_UNI_SB,DukeSoftball,D1,ACC,20260328-DukeSoftball-1,67f93d50-2ae9-11f1-85be-6fba68e3cfa6,100.60766,,,4.79529,,,,,,,c4ac2ec9-18d0-4ad7-bc3f-c71fcac20200,2026-03-28,21:02:17.54,2026-03-28T17:02:17.5419392-04:00,2026-03-28T21:02:17.5419392Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,42e38aa5-591b-4ae2-b1d3-469e70e6f6ef,36.80805,-97.88193,9.11785,1.94434,7.5062,-17.03658,-0.79819,-0.2862,-1.10541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,17:02:33.43,1,2,"Wheeler, Mallory",100000003466,Right,DUK_BLU_SB,"Kern, Taryn",100000006678,Left,STA_UNI_SB,Undefined,1,Top,0,0,1,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,65.67078,4.261402,-0.192126,1202.92169,345.433165,5:30,1.93136,0.69761,6.31639,-30.57777,-2.58047,0.84949,2.01108,0.65014,61.04339,-4.187054,0.037542,0.380829,54.78198,22.798111,-143.077522,2426.565826,,,,88.98962,30.12254,-148.596876,1.420233,-1.0302,-3.865,-0.74959,50,0.63438,0.44941,-98.39494,11.95124,-0.99539,17.71127,-35.90855,DUK_BLU_SB,STA_UNI_SB,DukeSoftball,D1,ACC,20260328-DukeSoftball-1,716a3b50-2ae9-11f1-85be-6fba68e3cfa6,98.97483,11.4726,,4.62739,,,,0.31498,1.84002,-0.67945,c4ac2ec9-18d0-4ad7-bc3f-c71fcac20200,2026-03-28,21:02:33.43,2026-03-28T17:02:33.4313472-04:00,2026-03-28T21:02:33.4313472Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,3d70683b-fb7d-401b-b038-31c6d27257b5,36.68126,-95.96761,8.85563,1.93507,7.02996,-17.95428,-0.69735,0.31299,-0.4977,,0.41669,-60.24003,4.5088,,,,,,,2.17999,27.74338,-20.75875,,,,,,,-0.8407,-42.85959,7.66979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-03-28,17:02:56.53,1,3,"Wheeler, Mallory",100000003466,Right,DUK_BLU_SB,"Kern, Taryn",100000006678,Left,STA_UNI_SB,Undefined,1,Top,0,0,2,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,66.26038,3.380621,0.344399,1160.807975,336.322333,5:15,1.88557,0.89202,6.21229,-29.66183,-2.13697,1.22102,1.50322,1.20639,61.89514,-4.785779,0.673744,0.377602,61.10585,36.809313,-47.549288,3574.549818,56.19573,35.34447,-94.56209,156.90923,94.43017,-64.473596,3.120012,-1.28193,-3.04205,-0.82304,50,0.81346,-0.42421,-99.26517,10.35355,-1.26678,17.31657,-35.18012,DUK_BLU_SB,STA_UNI_SB,DukeSoftball,D1,ACC,20260328-DukeSoftball-1,7f59e3a0-2ae9-11f1-85be-6fba68e3cfa6,99.82067,38.82393,,4.36524,,,,0.49276,1.50376,-1.1717,c4ac2ec9-18d0-4ad7-bc3f-c71fcac20200,2026-03-28,21:02:56.53,2026-03-28T17:02:56.5335552-04:00,2026-03-28T21:02:56.5335552Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,7192954d-383c-4501-bab8-57577d362f58,36.78549,-96.93252,8.65829,1.88896,5.61457,-17.59006,-0.89168,-0.59486,-0.63339,127.84482,0.49248,48.44311,-15.49405,4.2882,-1.33368,0.49335,-0.16959,0.0345,-0.00287,1.50378,53.69607,-21.60369,1.90081,-0.21695,-0.00502,0.00905,-0.00018,-0.00025,-1.17134,-52.9591,2.07564,0.4406,0.05915,-0.2253,0.12031,-0.02857,0.00261,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-03-28,17:03:16.95,1,4,"Wheeler, Mallory",100000003466,Right,DUK_BLU_SB,"Kern, Taryn",100000006678,Left,STA_UNI_SB,Undefined,1,Top,0,0,2,Changeup,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,58.66799,4.803051,-0.003882,1153.673769,291.698054,3:45,1.9658,0.75358,6.21584,-34.91218,0.76138,0.54764,2.02825,0.79682,54.04888,-4.863773,0.143651,0.429877,,,,,,,,,,,,-0.61213,-0.09807,-0.75865,50,0.52065,0.07036,-87.98182,11.97646,-0.46705,15.5752,-32.24886,DUK_BLU_SB,STA_UNI_SB,DukeSoftball,D1,ACC,20260328-DukeSoftball-1,8b7b0d80-2ae9-11f1-85be-6fba68e3cfa6,87.68185,,,4.61911,,,,,,,c4ac2ec9-18d0-4ad7-bc3f-c71fcac20200,2026-03-28,21:03:16.95,2026-03-28T17:03:16.9570000-04:00,2026-03-28T21:03:16.9570000Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,6f3f9f57-3992-4628-8dd3-f6632e547708,36.77947,-85.60944,7.7876,1.97078,7.06438,-16.12443,-0.75335,-0.00078,-0.23352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.80627,2.232367,1.275238,0.957129,-1.91465,1.71586,-0.80558,-3.5224,4.58013,-1.20803,47.60389,3.0585,-34.75407,-3.51618,55.72826,-2.43663,4.59884,12.44445,-14.73269,-1.23414,-40.05939,5.32487,High,High,High,,,High,High,High
5,2026-03-28,17:03:40.38,2,1,"Wheeler, Mallory",100000003466,Right,DUK_BLU_SB,"Jones, Emily",100000006667,Left,STA_UNI_SB,Undefined,1,Top,1,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,67.08641,3.798198,0.161135,1324.901822,354.956045,5:45,1.92223,0.87304,6.30685,-27.88545,-1.04122,0.15083,1.9404,0.98482,62.31277,-3.917733,0.201907,0.372904,,,,,,,,,,,,-0.11823,-1.86937,-0.83685,50,0.76415,-0.26168,-100.55685,10.95297,-0.11921,18.61929,-34.05901,DUK_BLU_SB,STA_UNI_SB,DukeSoftball,D1,ACC,20260328-DukeSoftball-1,99c61c40-2ae9-11f1-85be-6fba68e3cfa6,101.07813,,,4.77364,,,,,,,c4ac2ec9-18d0-4ad7-bc3f-c71fcac20200,2026-03-28,21:03:40.38,2026-03-28T17:03:40.3815424-04:00,2026-03-28T21:03:40.3815424Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,ee94c05d-8531-43cc-b6c1-453e3a219803,36.68964,-98.06131,9.30965,1.92626,6.38805,-17.02951,-0.873,-0.27765,-0.0596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,17:03:54.88,2,2,"Wheeler, Mallory",100000003466,Right,DUK_BLU_SB,"Jones, Emily",100000006667,Left,STA_UNI_SB,Undefined,1,Top,1,0,1,Screwball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,65.2572,4.804654,-1.424638,1286.284171,33.056084,7:00,1.91629,0.53845,6.2466,-32.04785,-3.52638,-2.74929,2.21676,-0.56948,60.62547,-4.021174,-2.165483,0.384377,60.50868,-5.957332,58.965602,,,,,15.86902,15.02928,58.080114,0.166622,2.67063,-5.11524,-0.84447,50,0.48837,2.04817,-97.66711,12.96964,2.54275,17.43339,-37.04432,DUK_BLU_SB,STA_UNI_SB,DukeSoftball,D1,ACC,20260328-DukeSoftball-1,a2010b40-2ae9-11f1-85be-6fba68e3cfa6,98.06116,2.09137,,4.63173,,,,1.13924,2.09137,0.76167,c4ac2ec9-18d0-4ad7-bc3f-c71fcac20200,2026-03-28,21:03:54.88,2026-03-28T17:03:54.8811776-04:00,2026-03-28T21:03:54.8811776Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,feb16cf2-9254-42b8-bc69-4f360b4ebff2,36.75137,-95.27291,8.71669,1.9202,7.88219,-18.52216,-0.53921,2.39737,1.27137,285.260691,1.1391,45.51705,-11.98101,,,,,,,2.09149,-9.21979,-20.01548,,,,,,,0.76134,75.65811,3.67813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
7,2026-03-28,17:04:19.61,2,3,"Wheeler, Mallory",100000003466,Right,DUK_BLU_SB,"Jones, Emily",100000006667,Left,STA_UNI_SB,Undefined,1,Top,1,0,2,Changeup,,InPlay,Undefined,LineDrive,Out,1,0,,59.14139,4.829979,0.49653,1105.494448,31.814252,7:00,1.83808,0.6672,6.15665,-34.62982,0.03327,-0.46051,1.94591,0.93584,55.34021,-4.688329,0.372678,0.423745,66.23558,10.758686,11.975579,6171.680524,,,,100.23137,91.92,12.175224,1.250077,0.66658,-0.8811,-0.54923,50,0.38281,-0.82348,-88.32195,12.15625,0.52445,13.04249,-32.86731,DUK_BLU_SB,STA_UNI_SB,DukeSoftball,D1,ACC,20260328-DukeSoftball-1,b0bd7970-2ae9-11f1-85be-6fba68e3cfa6,88.95068,6.93367,,3.80118,,,,0.81774,1.91197,-0.93005,c4ac2ec9-18d0-4ad7-bc3f-c71fcac20200,2026-03-28,21:04:19.61,2026-03-28T17:04:19.6104704-04:00,2026-03-28T21:04:19.6104704Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,4a198080-7edd-402e-ab86-fd60064f93cf,36.84108,-86.35691,6.52124,1.84128,7.20433,-16.43366,-0.66735,-0.74447,0.26223,215.284455,0.81774,93.36066,-15.26767,2.78492,-0.57182,0.10842,-0.02109,0.00366,-0.00035,1.91197,18.13441,-16.98803,1.20564,-0.20344,0.04149,-0.00621,0.00106,-0.00012,-0.93005,19.80283,-1.76774,-0.00481,0.05219,-0.01821,0.00456,-0.00083,9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-03-28,17:04:49.97,3,1,"Wheeler, Mallory",100000003466,Right,DUK_BLU_SB,"Chan, Kyra",100000006663,Left,STA_UNI_SB,Undefined,1,Top,2,0,0,Screwball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.03179,3.484143,-1.017397,1194.997523,9.583563,6:15,1.77505,0.38792,6.14826,-32.58521,-4.64768,-0.90158,1.21742,-0.3165,61.48601,-5.462323,-1.260108,0.380422,,,,,,,,,,,,0.68728,-5.89622,-0.61403,50,0.6659,1.63458,-99.01492,10.83327,0.6717,18.09869,-37.93672,DUK_BLU_SB,STA_UNI_SB,DukeSoftball,D1,ACC,20260328-DukeSoftball-1,c36c0960-2ae9-11f1-85be-6fba68e3cfa6,99.08068,,,4.54579,,,,,,,c4ac2ec9-18d0-4ad7-bc3f-c71fcac20200,2026-03-28,21:04:49.97,2026-03-28T17:04:49.9757568-04:00,2026-03-28T21:04:49.9757568Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,a30dd4bf-9210-4701-b4be-c29d52e8b15a,36.84969,-96.5813,9.04934,1.77962,5.73215,-18.96836,-0.38817,1.7249,0.33585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,17:05:04.48,3,2,"Wheeler, Mallory",100000003466,Right,DUK_BLU_SB,"Chan, Kyra",100000006663,Left,STA_UNI_SB,Undefined,1,Top,2,1,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.86217,6.955559,-0.995198,1250.026523,320.737307,4:45,1.87383,0.83276,6.09635,-30.09738,-2.55477,2.63047,3.6957,0.43552,61.85689,-1.278721,-0.290259,0.377724,,,,,,,,,,,,-3.23276,-4.45355,-1.08055,50,-0.00646,2.08333,-99.55112,16.5958,-3.2129,17.42042,-36.60022,DUK_BLU_SB,STA_UNI_SB,DukeSoftball,D1,ACC,20260328-DukeSoftball-1,cbf05d70-2ae9-11f1-85be-6fba68e3cfa6,99.7884,,,5.00528,,,,,,,c4ac2ec9-18d0-4ad7-bc3f-c71fcac20200,2026-03-28,21:05:04.48,2026-03-28T17:05:04.4892160-04:00,2026-03-28T21:05:04.4892160Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,e4710b00-a902-4e21-a476-c80ad45c3d65,36.90069,-97.23186,8.71021,1.87865,11.72304,-18.30011,-0.83166,1.65559,-1.60645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,17:05:20.62,3,3,"Wheeler, Mallory",100000003466,Right,DUK_BLU_SB,"Chan, Kyra",100000006663,Left,STA_UNI_SB,Undefined,1,Top,2,2,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.81968,2.966652,0.809399,1260.253202,296.853334,4:00,1.89087,0.78203,6.04689,-27.48285,-0.13768,1.56532,1.44247,1.41452,62.34625,-4.579643,1.229615,0.376367,,,,,,,,,,,,-1.50654,-0.6261,-0.61039,50,0.95302,-1.19819,-100.1101,9.29662,-1.51215,17.81276,-32.8025,DUK_BLU_SB,STA_UNI_SB,DukeSoftball,D1,ACC,20260328-DukeSoftball-1,d59f00b0-2ae9-11f1-85be-6fba68e3cfa6,100.14809,,,4.47343,,,,,,,c4ac2ec9-18d0-4ad7-bc3f-c71fcac20200,2026-03-28,21:05:20.62,2026-03-28T17:05:20.6256640-04:00,2026-03-28T21:05:20.6256640Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,13139af9-3b91-4aea-8098-86d85eeb77a4,36.95019,-97.76056,8.90638,1.89391,4.96989,-16.40125,-0.78159,-1.39764,-0.75607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
