PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,11:37:26.70,1,1,"Villegas, Jada",100000001893,Left,BYU_COU_SB,"Limbaugh, Presley",100000003218,Left,UNI_KAN_SB,Undefined,1,Top,0,0,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,52.30035,5.583964,-1.509478,842.89559,351.622802,5:45,1.7421,-0.74656,5.36359,-53.15715,-6.36189,1.10937,0.85472,-1.60856,48.86668,-8.654794,-1.217569,0.492348,,,,,,,,,,,,-1.67343,-7.81213,0.41346,50,0.11171,2.16364,-78.07637,13.18398,-1.01861,11.10501,-36.92927,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260328-GailMillerField-1,c9e180d0-2acc-11f1-a76f-23086665ff8d,76.55646,,,3.43367,,,,,,,ec31cb8f-cf3c-40d8-991a-aedda418da0e,2026-03-28,17:37:26.70,2026-03-28T11:37:26.7020000-06:00,2026-03-28T17:37:26.7020000Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,ef92fd29-8fa1-483d-a09f-649cf391eb3d,37.63584,-76.29753,5.5525,1.7498,7.26848,-18.46464,0.74697,2.00047,-0.5093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,11:37:47.10,1,2,"Villegas, Jada",100000001893,Left,BYU_COU_SB,"Limbaugh, Presley",100000003218,Left,UNI_KAN_SB,Undefined,1,Top,0,1,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.46173,6.033053,0.286423,1166.070267,1.590041,6:00,1.65019,-0.78634,4.81067,-35.87848,-3.03862,-0.10748,2.54679,-0.61146,58.6636,-3.468141,0.2586,0.412451,,,,,,,,,,,,0.20244,-4.52748,0.84599,50,0.14988,-0.48393,-94.50903,14.20221,0.18075,16.12099,-36.21661,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260328-GailMillerField-1,d6078cb0-2acc-11f1-a76f-23086665ff8d,91.3865,,,4.79813,,,,,,,ec31cb8f-cf3c-40d8-991a-aedda418da0e,2026-03-28,17:37:47.10,2026-03-28T11:37:47.1040000-06:00,2026-03-28T17:37:47.1040000Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,95035292-1e69-4746-bddb-c7bf184a5e01,38.18657,-92.47198,8.0605,1.65534,9.62588,-18.10831,0.78628,-0.46109,0.09038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,11:38:08.25,1,3,"Villegas, Jada",100000001893,Left,BYU_COU_SB,"Limbaugh, Presley",100000003218,Left,UNI_KAN_SB,Undefined,1,Top,0,1,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.41103,6.324715,-0.667868,1132.437335,2.230275,6:00,1.73396,-0.74531,4.80586,-35.25096,-2.13673,-0.11799,2.873,-1.18386,58.26414,-3.026068,-0.698399,0.41417,,,,,,,,,,,,-0.10177,-3.74973,0.60834,50,0.18045,1.08894,-94.47317,14.57246,-0.09015,17.04931,-35.49584,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260328-GailMillerField-1,e29a1600-2acc-11f1-a76f-23086665ff8d,91.00713,,,5.14689,,,,,,,ec31cb8f-cf3c-40d8-991a-aedda418da0e,2026-03-28,17:38:08.25,2026-03-28T11:38:08.2580000-06:00,2026-03-28T17:38:08.2580000Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,b6141582-c55a-49ad-8487-191a55e4898d,38.19054,-92.31735,8.52466,1.73931,10.08416,-17.74792,0.74531,1.07754,-0.04508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,11:38:31.04,1,4,"Villegas, Jada",100000001893,Left,BYU_COU_SB,"Limbaugh, Presley",100000003218,Left,UNI_KAN_SB,Undefined,1,Top,0,2,1,Dropball,,InPlay,Undefined,LineDrive,Out,1,0,,63.17734,5.574292,0.217948,1164.068689,8.9573,6:15,1.75537,-0.73246,4.99027,-34.51525,-1.76787,-0.40835,2.45054,-0.62729,58.48827,-3.621025,0.111657,0.41187,38.1434,17.86529,-33.961325,2489.200833,,,,65.93923,44.2828,-36.158182,1.318003,0.50701,-3.30445,0.78076,50,0.3233,-0.40499,-94.22005,13.41052,0.44964,16.10701,-35.1047,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260328-GailMillerField-1,f0202710-2acc-11f1-a76f-23086665ff8d,91.51548,7.54778,,4.68907,,,,3.37449,2.61568,0.6203,ec31cb8f-cf3c-40d8-991a-aedda418da0e,2026-03-28,17:38:31.04,2026-03-28T11:38:31.0410000-06:00,2026-03-28T17:38:31.0410000Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,51617623-9db1-42e8-bc1b-4eef2974d7da,38.00775,-92.14716,8.05351,1.75845,8.89273,-17.55235,0.73236,-0.34713,0.22482,126.41089,3.37449,44.16281,-6.07147,1.23575,-0.17079,-0.16717,0.21943,-0.12249,0.02764,2.61568,17.1626,-15.23676,0.57146,-0.13768,0.22992,-0.22544,0.12482,-0.02814,0.6203,-29.745,-0.25266,0.11582,-0.05042,-0.00833,0.01654,-0.01039,0.00248,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2026-03-28,11:39:02.58,2,1,"Villegas, Jada",100000001893,Left,BYU_COU_SB,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,Undefined,1,Top,1,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.71278,7.348426,1.118641,1122.173313,30.035983,7:00,1.69379,-0.76893,4.95988,-33.56955,-2.0274,-1.64189,3.62029,-0.19062,59.51133,-1.566714,0.692482,0.404219,,,,,,,,,,,,2.07646,-3.91114,1.01186,50,-0.09228,-2.0567,-96.13067,16.48555,1.91532,16.88612,-35.78173,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260328-GailMillerField-1,03029840-2acd-11f1-a76f-23086665ff8d,93.24747,,,5.20145,,,,,,,ec31cb8f-cf3c-40d8-991a-aedda418da0e,2026-03-28,17:39:02.58,2026-03-28T11:39:02.5870000-06:00,2026-03-28T17:39:02.5870000Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,93c27793-f5f6-4631-ad2e-6ebacd2a6412,38.0367,-94.00573,8.44306,1.69894,11.98281,-17.89086,0.76821,-1.81568,0.95766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,11:39:22.49,2,2,"Villegas, Jada",100000001893,Left,BYU_COU_SB,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,Undefined,1,Top,1,1,0,Dropball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,64.56216,6.466636,0.472855,1057.135075,354.142944,5:45,1.67366,-0.65704,4.75751,-35.15774,-3.22662,0.4161,2.91805,-0.31844,59.49469,-2.828402,0.580377,0.406704,,,,,,,,,,,,-0.28032,-4.89508,0.75177,50,0.09861,-0.74854,-96.091,15.04071,-0.25815,16.97932,-36.68203,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260328-GailMillerField-1,0ed9e7e0-2acd-11f1-a76f-23086665ff8d,92.67782,,,5.06747,,,,,,,ec31cb8f-cf3c-40d8-991a-aedda418da0e,2026-03-28,17:39:22.49,2026-03-28T11:39:22.4940000-06:00,2026-03-28T17:39:22.4940000Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,3b392f2d-8831-49c8-aded-ea7208f89c94,38.23955,-93.98995,8.48966,1.67893,10.50162,-18.34101,0.65717,-0.78048,-0.12907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,11:39:43.47,2,3,"Villegas, Jada",100000001893,Left,BYU_COU_SB,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,Undefined,1,Top,1,1,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.7104,4.899067,-0.629658,1180.132655,45.295665,7:30,1.61848,-0.90037,4.90778,-32.68817,-2.38807,-3.16421,2.03827,-1.56712,61.01086,-3.784803,-1.451591,0.396181,,,,,,,,,,,,3.13626,-3.53736,0.78842,50,0.36052,0.71759,-98.01535,12.46246,3.0194,16.98866,-35.57961,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260328-GailMillerField-1,1b5ce0d0-2acd-11f1-a76f-23086665ff8d,95.13945,,,4.69954,,,,,,,ec31cb8f-cf3c-40d8-991a-aedda418da0e,2026-03-28,17:39:43.47,2026-03-28T11:39:43.4770000-06:00,2026-03-28T17:39:43.4770000Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,c24f6a3b-8bcd-4690-8d60-02c91050ce63,38.08959,-95.92875,8.49433,1.62283,8.09246,-17.78981,0.89933,1.08844,1.5097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,11:40:03.95,2,4,"Villegas, Jada",100000001893,Left,BYU_COU_SB,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,Undefined,1,Top,1,2,1,Changeup,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,54.61005,7.039718,2.061516,836.010589,19.57665,6:45,1.71191,-0.8009,4.91746,-50.94534,-6.46764,-2.72717,1.99722,0.29166,50.37339,-6.462005,1.354586,0.480001,62.13915,46.792218,-48.037591,3093.517949,,,,,48.71232,,,3.59114,-8.70737,1.24681,50,-0.13098,-3.18576,-81.27817,15.27031,2.35493,12.61069,-37.88397,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260328-GailMillerField-1,279207e0-2acd-11f1-a76f-23086665ff8d,78.52568,46.04837,,4.23666,,,,3.57126,2.33548,-0.2439,ec31cb8f-cf3c-40d8-991a-aedda418da0e,2026-03-28,17:40:03.95,2026-03-28T11:40:03.9500000-06:00,2026-03-28T17:40:03.9500000Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,8a295728-c871-4846-ac10-95f38777607b,38.08163,-79.40745,6.30534,1.71744,9.65045,-18.94199,0.80014,-2.83642,1.17746,160.533626,3.57126,41.72117,-11.31448,2.43254,-0.59861,0.12152,-0.01439,0.00512,0.00154,2.33548,66.42774,-20.16628,1.67201,-0.31169,0.02897,0.00039,-0.00565,0.00314,-0.2439,-46.39723,6.32637,0.10332,-0.05849,0.07702,-0.01192,0.01019,-0.00248,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
9,2026-03-28,11:40:33.22,2,5,"Villegas, Jada",100000001893,Left,BYU_COU_SB,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,Undefined,1,Top,1,2,2,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.06349,3.489018,-2.161198,1083.345722,47.297541,7:30,1.64027,-0.83325,4.87865,-31.78348,-0.88626,-1.78083,1.23114,-2.36682,60.60091,-4.952764,-2.623281,0.400066,,,,,,,,,,,,1.19976,-1.46449,0.39538,50,0.68601,3.46752,-97.14069,9.82738,1.13449,16.69391,-33.55884,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260328-GailMillerField-1,39004fa0-2acd-11f1-a76f-23086665ff8d,94.21565,,,4.46257,,,,,,,ec31cb8f-cf3c-40d8-991a-aedda418da0e,2026-03-28,17:40:33.22,2026-03-28T11:40:33.2200000-06:00,2026-03-28T17:40:33.2200000Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,81a263d7-4169-4cd4-961d-a2b2ce2b36d5,38.11805,-95.07682,8.34696,1.64451,5.67849,-16.77942,0.83274,3.60778,0.56724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,11:40:53.86,2,6,"Villegas, Jada",100000001893,Left,BYU_COU_SB,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,Undefined,1,Top,1,3,2,Dropball,,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,63.71627,6.977948,0.569538,991.433822,4.246477,6:15,1.67647,-0.89643,4.80231,-34.88459,-2.0674,-0.21744,3.27143,-0.54893,58.56048,-2.260693,0.51333,0.412308,62.02046,66.103893,38.136949,4500.717434,,,,100.17699,42.90507,55.58232,4.61807,0.41555,-4.0154,1.01503,50,-0.01634,-0.9657,-94.77972,15.72396,0.37148,16.8221,-35.76348,BYU_COU_SB,UNI_KAN_SB,GailMillerField,D1,B12,20260328-GailMillerField-1,4542bd20-2acd-11f1-a76f-23086665ff8d,91.41809,88.09369,,5.15578,,,,1.14607,3.72865,0.57211,ec31cb8f-cf3c-40d8-991a-aedda418da0e,2026-03-28,17:40:53.86,2026-03-28T11:40:53.8630000-06:00,2026-03-28T17:40:53.8630000Z,,V3 - Softball,,,,"Fabela, Kaiya",100000006618,Right,BYU_COU_SB,aed4501c-fd27-4659-8bd7-d2b94c52b775,38.19502,-92.66082,8.41105,1.68053,11.2192,-17.88174,0.89634,-0.91891,0.18574,196.824946,1.14212,29.0338,-11.79104,3.68923,-0.38805,-0.25706,0.13157,-0.02397,0.00156,3.71824,83.40504,-25.30102,4.22862,-1.89759,0.70302,-0.15048,0.01575,-0.00061,0.57384,22.72393,-1.38657,-0.14293,0.11684,-0.0068,-0.01034,0.00294,-0.00024,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
