PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,13:05:02.63,1,1,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Mitchell, Ariah ",100000000397,Right,UNI_NOR1_SB,Undefined,1,Top,0,0,0,Screwball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.08839,3.312351,0.419088,1440.188487,213.082105,1:00,1.78342,0.82402,5.82484,-20.34741,7.16323,4.23748,2.15741,1.4387,62.40612,-2.292594,1.549117,0.377504,,,,,,,,,,,,-4.57193,7.35756,-0.7628,50,0.8462,-0.1654,-100.4132,8.85658,-4.61614,17.94175,-24.74532,CHA_49E_SB,UNI_NOR1_SB,UNCCharlotteSoftball,D1,AME,20260328-UNCCharlotteSoftball-1,43076560-2ac8-11f1-9335-2181d252a51d,99.84641,,,4.68226,,,,,,,715ae3d5-75c7-42fd-870b-68dbe50fb516,2026-03-28,17:05:02.63,2026-03-28T13:05:02.6392576-04:00,2026-03-28T17:05:02.6392576Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,26749d40-7ef3-42f4-b8d2-607dbac2b0aa,37.17117,-98.09418,8.97087,1.78423,5.65817,-12.37266,-0.82273,-0.76205,-2.30807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,13:05:19.90,1,2,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Mitchell, Ariah ",100000000397,Right,UNI_NOR1_SB,Undefined,1,Top,0,1,0,Screwball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,66.94306,3.242091,0.234511,1573.696531,136.08488,10:30,1.71925,0.6991,6.40885,-23.60415,2.85221,-2.21213,1.74474,0.65873,62.9317,-3.306984,-0.365333,0.3702,,,,,,,,,,,,2.60417,2.81051,-0.62419,50,0.70842,-0.73727,-100.0644,9.4613,2.64679,15.7809,-29.31757,CHA_49E_SB,UNI_NOR1_SB,UNCCharlotteSoftball,D1,AME,20260328-UNCCharlotteSoftball-1,4d597490-2ac8-11f1-9335-2181d252a51d,101.81646,,,4.01136,,,,,,,715ae3d5-75c7-42fd-870b-68dbe50fb516,2026-03-28,17:05:19.90,2026-03-28T13:05:19.9095808-04:00,2026-03-28T17:05:19.9095808Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,004e1269-72c7-45ef-ae97-ecea78f86650,36.58819,-97.92641,7.89045,1.72117,5.48938,-14.65879,-0.69978,-0.37869,1.3234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,13:05:35.95,1,3,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Mitchell, Ariah ",100000000397,Right,UNI_NOR1_SB,Undefined,1,Top,0,1,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.4107,6.685346,-0.757111,1568.270041,182.360895,12:00,1.80411,0.69469,5.85338,-20.98478,7.56599,0.28142,4.24379,0.24597,60.92427,0.899454,-0.682139,0.384574,,,,,,,,,,,,-0.56571,6.56953,-0.86651,50,0.09653,1.34429,-99.03677,14.69077,-0.54983,18.9772,-25.78909,CHA_49E_SB,UNI_NOR1_SB,UNCCharlotteSoftball,D1,AME,20260328-UNCCharlotteSoftball-1,56efadd0-2ac8-11f1-9335-2181d252a51d,98.01082,,,5.48644,,,,,,,715ae3d5-75c7-42fd-870b-68dbe50fb516,2026-03-28,17:05:35.95,2026-03-28T13:05:35.9502848-04:00,2026-03-28T17:05:35.9502848Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,9215432d-d24a-4ff9-a4c2-0f2da508f4d5,37.14053,-96.54123,9.4886,1.80541,11.29945,-12.89454,-0.69448,1.27199,-0.27491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,13:05:52.67,1,4,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Mitchell, Ariah ",100000000397,Right,UNI_NOR1_SB,Undefined,1,Top,0,2,1,Screwball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,66.26878,3.999301,-0.103716,1597.434927,195.876833,12:30,1.72917,0.68364,6.10177,-19.74099,8.24276,2.13835,2.56477,0.79761,61.16208,-1.505164,0.470875,0.380736,,,,,,,,,,,,-2.41642,8.3867,-0.72374,50,0.6126,0.46433,-99.31044,9.95993,-2.36403,18.92958,-23.96922,CHA_49E_SB,UNI_NOR1_SB,UNCCharlotteSoftball,D1,AME,20260328-UNCCharlotteSoftball-1,60e1e9c0-2ac8-11f1-9335-2181d252a51d,98.99881,,,5.1067,,,,,,,715ae3d5-75c7-42fd-870b-68dbe50fb516,2026-03-28,17:05:52.67,2026-03-28T13:05:52.6703104-04:00,2026-03-28T17:05:52.6703104Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,42a113f0-0fe9-4f33-87a9-510c2c85c563,36.89268,-96.77981,9.46479,1.72992,6.75557,-11.98461,-0.68279,0.14829,-1.18201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,13:06:09.38,1,5,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Mitchell, Ariah ",100000000397,Right,UNI_NOR1_SB,Undefined,1,Top,0,2,2,Riseball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,68.26117,5.885823,-0.22967,1670.573706,124.540281,10:15,1.74188,0.80978,5.97905,-24.11509,2.78189,-2.9354,3.40276,0.42244,62.35783,-0.76802,-1.014717,0.37327,,,,,,,,,,,,3.14095,1.46599,-0.84105,50,0.18111,0.02563,-102.18898,14.11568,3.21999,21.62225,-30.67115,CHA_49E_SB,UNI_NOR1_SB,UNCCharlotteSoftball,D1,AME,20260328-UNCCharlotteSoftball-1,6adb51a0-2ac8-11f1-9335-2181d252a51d,100.97894,,,5.90334,,,,,,,715ae3d5-75c7-42fd-870b-68dbe50fb516,2026-03-28,17:06:09.38,2026-03-28T13:06:09.3890000-04:00,2026-03-28T17:06:09.3890000Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,fdc291c3-ff14-412b-81f8-da31ee4c5490,37.01534,-99.40359,10.81113,1.74501,10.1646,-15.33557,-0.81103,0.44044,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.52784,,,0.914062,,,,-0.34732,5.19143,-3.00105,46.25547,5.70253,-36.09356,-0.33131,53.82036,-3.16171,5.19861,11.87372,-12.40941,-3.03801,-41.72267,6.17139,High,High,High,,,High,Medium,Medium
6,2026-03-28,13:06:31.48,2,1,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Daniels, Eva",100000002967,Right,UNI_NOR1_SB,Undefined,1,Top,1,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.84463,7.930953,-1.187292,1628.534149,171.568591,11:45,1.80561,0.5778,6.01695,-20.27997,7.99863,-1.06945,5.07151,-0.24844,60.79603,2.310003,-1.473305,0.382737,,,,,,,,,,,,0.72705,6.46807,-0.84046,50,-0.20877,1.93033,-99.56382,16.91524,0.70752,20.53406,-25.87986,CHA_49E_SB,UNI_NOR1_SB,UNCCharlotteSoftball,D1,AME,20260328-UNCCharlotteSoftball-1,78036430-2ac8-11f1-9335-2181d252a51d,98.48135,,,6.0486,,,,,,,715ae3d5-75c7-42fd-870b-68dbe50fb516,2026-03-28,17:06:31.48,2026-03-28T13:06:31.4868224-04:00,2026-03-28T17:06:31.4868224Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,7f97e6cb-6a5f-401d-8e1e-10857f8f4da4,36.97504,-96.84029,10.26703,1.80713,13.48268,-12.93993,-0.57821,2.02417,0.35376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,13:06:50.50,2,2,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Daniels, Eva",100000002967,Right,UNI_NOR1_SB,Undefined,1,Top,1,1,0,Screwball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,68.43429,5.194355,-0.564389,3110.175244,139.430893,10:45,1.70922,0.71825,5.87015,-22.80517,3.53366,-2.52882,3.05555,0.15571,63.83194,-1.044985,-1.238878,0.369377,48.82626,55.203129,140.240677,2338.654828,,,,,23.81858,,,2.66945,2.81504,-0.82458,50,0.3214,0.6498,-102.04681,12.75776,2.8072,17.22099,-29.21373,CHA_49E_SB,UNI_NOR1_SB,UNCCharlotteSoftball,D1,AME,20260328-UNCCharlotteSoftball-1,8352e630-2ac8-11f1-9335-2181d252a51d,102.04332,30.45146,,4.60235,,,,0.65037,3.04922,-0.1326,715ae3d5-75c7-42fd-870b-68dbe50fb516,2026-03-28,17:06:50.50,2026-03-28T13:06:50.5030144-04:00,2026-03-28T17:06:50.5030144Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,e7194329-4f07-4241-a20c-915cfbe44f24,37.127,-99.85078,8.6105,1.71074,9.03242,-14.60687,-0.71889,1.00777,1.4036,329.553564,0.65037,-31.41568,-1.72273,1.78298,-0.58383,0.14804,-0.03439,0.00667,-0.00038,3.04922,58.80614,-25.15869,2.96962,-0.51222,0.06773,-0.00929,0.00037,-0.00011,-0.1326,26.13679,-5.84018,1.93238,-0.44363,0.08218,-0.01694,0.00239,-0.00046,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-03-28,13:07:09.04,2,3,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Daniels, Eva",100000002967,Right,UNI_NOR1_SB,Undefined,1,Top,1,1,1,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,56.26016,3.365806,-1.473046,1333.278644,198.214676,12:30,2.04622,0.67827,5.33253,-38.96282,1.91473,0.23543,0.93201,-0.2343,51.8401,-7.167879,-1.411109,0.460165,,,,,,,,,,,,-0.80551,1.5248,-0.99691,50,1.01088,2.19507,-84.43698,9.32545,-0.56243,15.01164,-31.10935,CHA_49E_SB,UNI_NOR1_SB,UNCCharlotteSoftball,D1,AME,20260328-UNCCharlotteSoftball-1,8e6f2330-2ac8-11f1-9335-2181d252a51d,81.91066,,,4.42006,,,,,,,715ae3d5-75c7-42fd-870b-68dbe50fb516,2026-03-28,17:07:09.04,2026-03-28T13:07:09.0499584-04:00,2026-03-28T17:07:09.0499584Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,6a0554d1-2f21-422d-9764-89fe2f3afb53,37.66292,-82.21438,7.50582,2.05062,4.71945,-15.55468,-0.67807,2.11179,-0.28121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,13:07:28.00,2,4,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Daniels, Eva",100000002967,Right,UNI_NOR1_SB,Undefined,1,Top,1,2,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHA_49E_SB,UNI_NOR1_SB,UNCCharlotteSoftball,D1,AME,20260328-UNCCharlotteSoftball-1,a0e84b40-2ac8-11f1-9335-2181d252a51d,,,,,,,,,,,715ae3d5-75c7-42fd-870b-68dbe50fb516,2026-03-28,17:07:28.00,2026-03-28T13:07:28.0000000-04:00,2026-03-28T17:07:28.0000000Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,981d77ed-0ad2-476e-9733-ea875fddb35a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-28,13:07:43.90,2,5,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Daniels, Eva",100000002967,Right,UNI_NOR1_SB,Undefined,1,Top,1,3,1,Screwball,,InPlay,Undefined,GroundBall,Single,0,0,,66.03219,3.989232,-0.637135,1439.527656,135.375529,10:30,1.75685,0.61746,5.74716,-25.90033,2.63713,-1.93118,2.09779,0.05801,61.45104,-3.082708,-1.150819,0.384485,70.47533,13.719377,-29.550218,2506.935342,,,,121.0461,102.3526,-36.072319,1.442078,1.95988,2.04874,-0.74387,50,0.62983,0.8398,-98.76819,10.61409,1.91544,17.28929,-30.17175,CHA_49E_SB,UNI_NOR1_SB,UNCCharlotteSoftball,D1,AME,20260328-UNCCharlotteSoftball-1,a343c770-2ac8-11f1-9335-2181d252a51d,98.0337,9.82882,,4.58115,,,,1.35463,2.08497,-0.08866,715ae3d5-75c7-42fd-870b-68dbe50fb516,2026-03-28,17:07:43.90,2026-03-28T13:07:43.9066112-04:00,2026-03-28T17:07:43.9066112Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,0cf4e2e5-5648-4996-a41c-176a5379a538,37.25023,-96.51055,8.64465,1.75859,6.67426,-15.08588,-0.61788,1.08991,0.95772,,1.35463,87.35302,-17.49125,3.03136,-0.60346,0.0774,-0.01031,0.00144,-6E-05,2.08497,24.51441,-20.80836,2.45569,-0.46155,0.09268,-0.01495,0.00218,-0.00022,-0.08866,-49.52309,-1.84858,2.06857,-0.69923,0.18855,-0.0403,0.00741,-0.00068,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
