PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,13:03:13.52,1,1,"Wells, Hannah",100000003485,Right,TEX_LON_SB,"Powell, Kennedy",100000001142,Left,TEX_A&M_SB,Undefined,1,Top,0,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,66.11579,5.358328,-1.64892,1302.532726,337.144272,5:15,1.83457,0.54911,5.81209,-33.55947,-4.98044,2.40528,2.39447,-0.2802,61.19312,-3.764774,-1.008861,0.384764,,,,,,,,,,,,-3.17272,-6.66166,-0.93526,50,0.34195,3.15157,-98.79128,13.94998,-3.08699,18.01043,-38.65572,TEX_LON_SB,TEX_A&M_SB,UTSoftball,D1,SEC,20260328-UTSoftball-1,63c90a80-2ad0-11f1-8e8a-11db29e6563b,97.96237,,,4.92268,,,,,,,d85885a5-ac99-4ffd-bc05-403e674a09a3,2026-03-28,18:03:13.52,2026-03-28T13:03:13.5206912-05:00,2026-03-28T18:03:13.5206912Z,,V3 - Softball,,,,"Atwood, Reese",100000000081,Right,TEX_LON_SB,01fc7ced-b662-4cee-b532-5f0b2c78ed27,37.18545,-96.42678,9.00522,1.84024,8.87508,-19.32786,-0.54811,2.7463,-1.54349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,13:03:31.23,1,2,"Wells, Hannah",100000003485,Right,TEX_LON_SB,"Powell, Kennedy",100000001142,Left,TEX_A&M_SB,Undefined,1,Top,0,0,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,69.15753,3.934531,0.313256,1392.926002,341.864362,5:30,1.85599,0.46038,5.708,-33.11876,-6.84524,2.47177,1.56359,0.86251,63.94823,-5.049058,0.970498,0.368918,,,,,,,,,,,,-2.59217,-8.33638,-0.40823,50,0.70699,-0.24158,-103.71742,11.85331,-2.75978,21.00308,-41.04949,TEX_LON_SB,TEX_A&M_SB,UTSoftball,D1,SEC,20260328-UTSoftball-1,6e53dcf0-2ad0-11f1-8e8a-11db29e6563b,102.17013,,,5.2093,,,,,,,d85885a5-ac99-4ffd-bc05-403e674a09a3,2026-03-28,18:03:31.23,2026-03-28T13:03:31.2309760-05:00,2026-03-28T18:03:31.2309760Z,,V3 - Softball,,,,"Atwood, Reese",100000000081,Right,TEX_LON_SB,2b33bf07-2e5d-423a-a8db-a0c0a0689536,37.28968,-101.11078,10.50154,1.86194,6.75878,-20.52474,-0.45947,-0.58409,-1.37989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,13:03:46.78,1,3,"Wells, Hannah",100000003485,Right,TEX_LON_SB,"Powell, Kennedy",100000001142,Left,TEX_A&M_SB,Undefined,1,Top,0,1,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,59.49212,5.759505,-1.514849,2115.74229,128.909004,10:15,2.02716,1.02042,5.65397,-27.07277,9.54556,-10.37957,3.39628,-0.7947,53.71185,-1.741782,-4.260944,0.435533,,,,,,,,,,,,10.40158,8.65583,-1.29483,50,0.51062,1.29258,-89.2289,12.37953,7.97659,18.66094,-25.53623,TEX_LON_SB,TEX_A&M_SB,UTSoftball,D1,SEC,20260328-UTSoftball-1,77a2acf0-2ad0-11f1-8e8a-11db29e6563b,86.54332,,,5.78027,,,,,,,d85885a5-ac99-4ffd-bc05-403e674a09a3,2026-03-28,18:03:46.78,2026-03-28T13:03:46.7833856-05:00,2026-03-28T18:03:46.7833856Z,,V3 - Softball,,,,"Atwood, Reese",100000000081,Right,TEX_LON_SB,fe5308c5-e14d-4f86-b7b1-5e9514f5783c,37.33709,-86.54012,9.33047,2.02927,8.70012,-12.76811,-1.02578,2.44189,3.9883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,13:04:04.48,1,4,"Wells, Hannah",100000003485,Right,TEX_LON_SB,"Powell, Kennedy",100000001142,Left,TEX_A&M_SB,Undefined,1,Top,0,2,1,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,67.59698,5.872455,-2.490188,1274.351879,1.236738,6:00,1.88012,0.7477,5.70832,-35.23199,-7.52292,-0.17862,2.63751,-0.82737,62.20587,-3.663708,-2.537513,0.378863,,,,,,,,,,,,-0.66291,-9.66642,-1.29915,50,0.28183,4.36933,-100.99005,15.26551,-0.6692,19.89952,-41.93225,TEX_LON_SB,TEX_A&M_SB,UTSoftball,D1,SEC,20260328-UTSoftball-1,82267a80-2ad0-11f1-8e8a-11db29e6563b,99.4883,,,5.39111,,,,,,,d85885a5-ac99-4ffd-bc05-403e674a09a3,2026-03-28,18:04:04.48,2026-03-28T13:04:04.4884480-05:00,2026-03-28T18:04:04.4884480Z,,V3 - Softball,,,,"Atwood, Reese",100000000081,Right,TEX_LON_SB,07cc66b9-c7df-47aa-a67a-9366b9b980db,37.2894,-98.45364,9.94976,1.88696,9.9208,-20.96613,-0.74767,4.28403,-0.3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,13:04:24.49,1,5,"Wells, Hannah",100000003485,Right,TEX_LON_SB,"Powell, Kennedy",100000001142,Left,TEX_A&M_SB,Undefined,1,Top,0,2,2,Curveball,,InPlay,Undefined,FlyBall,Out,1,0,,59.40061,4.403017,-0.05983,2028.689693,141.190795,10:45,2.01511,1.27123,5.43933,-26.78714,10.30725,-7.29067,2.56589,0.62594,53.55597,-2.999271,-1.981761,0.438355,50.05547,35.267305,-22.631632,2371.322843,,,,128.83901,122.42985,-31.914939,2.778236,7.89859,9.79607,-1.23628,50,0.8289,-0.69005,-89.43676,10.14415,6.04551,19.48925,-24.67623,TEX_LON_SB,TEX_A&M_SB,UTSoftball,D1,SEC,20260328-UTSoftball-1,8e11ee60-2ad0-11f1-8e8a-11db29e6563b,85.9862,29.98638,,5.84464,,,,3.14717,2.75387,-0.69213,d85885a5-ac99-4ffd-bc05-403e674a09a3,2026-03-28,18:04:24.49,2026-03-28T13:04:24.4937728-05:00,2026-03-28T18:04:24.4937728Z,,V3 - Softball,,,,"Atwood, Reese",100000000081,Right,TEX_LON_SB,de98641d-e236-4353-8a37-ea8e7a6fe6e8,37.55528,-86.68251,9.74462,2.01607,6.65686,-12.33812,-1.27343,0.16431,3.02275,140.201412,3.14717,55.32446,-10.51694,2.4835,-0.52548,0.15405,-0.05876,0.01384,-0.00124,2.75382,42.39151,-17.53854,0.9775,-0.15146,-0.00017,0.01119,-0.00147,-0.0001,-0.69205,-23.06898,-1.09865,0.41087,-0.07641,0.01158,-0.006,0.00193,-0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-03-28,13:04:53.16,2,1,"Wells, Hannah",100000003485,Right,TEX_LON_SB,"Perez, Mya ",100000001163,Left,TEX_A&M_SB,Undefined,1,Top,1,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,68.24517,6.870567,-2.770358,1426.682754,321.597173,4:45,1.84398,0.70351,6.05931,-31.65234,-5.05095,4.5378,3.49166,-0.63734,62.94782,-1.76361,-1.557589,0.371213,,,,,,,,,,,,-5.90292,-7.23898,-1.36924,50,-0.01819,5.52881,-101.61729,16.93796,-6.08796,18.77294,-39.63995,TEX_LON_SB,TEX_A&M_SB,UTSoftball,D1,SEC,20260328-UTSoftball-1,9f2b8670-2ad0-11f1-8e8a-11db29e6563b,101.53849,,,5.29734,,,,,,,d85885a5-ac99-4ffd-bc05-403e674a09a3,2026-03-28,18:04:53.16,2026-03-28T13:04:53.1618304-05:00,2026-03-28T18:04:53.1618304Z,,V3 - Softball,,,,"Atwood, Reese",100000000081,Right,TEX_LON_SB,d14cb2c4-29df-42d1-8b85-ca9d2ffdb574,36.93812,-99.17487,9.38647,1.85001,11.78067,-19.81998,-0.70145,4.73674,-3.04398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,13:05:09.05,2,2,"Wells, Hannah",100000003485,Right,TEX_LON_SB,"Perez, Mya ",100000001163,Left,TEX_A&M_SB,Undefined,1,Top,1,1,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,68.86627,6.740459,-1.710547,1413.706063,341.999947,5:30,1.84038,0.66758,5.60364,-33.56789,-6.76804,2.425,3.29736,-0.20482,63.45217,-2.305018,-1.069831,0.372595,,,,,,,,,,,,-3.16949,-8.9426,-1.05993,50,0.07954,3.37159,-102.60207,16.80157,-3.32575,19.45478,-41.55755,TEX_LON_SB,TEX_A&M_SB,UTSoftball,D1,SEC,20260328-UTSoftball-1,a89f6aa0-2ad0-11f1-8e8a-11db29e6563b,101.16188,,,5.4141,,,,,,,d85885a5-ac99-4ffd-bc05-403e674a09a3,2026-03-28,18:05:09.05,2026-03-28T13:05:09.0516480-05:00,2026-03-28T18:05:09.0516480Z,,V3 - Softball,,,,"Atwood, Reese",100000000081,Right,TEX_LON_SB,29aee899-b3d9-4a7b-96ac-7df420425eb1,37.39396,-100.18328,9.72739,1.84727,11.63476,-20.77878,-0.66645,2.9581,-1.66288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,13:05:28.57,2,3,"Wells, Hannah",100000003485,Right,TEX_LON_SB,"Perez, Mya ",100000001163,Left,TEX_A&M_SB,Undefined,1,Top,1,1,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,69.62528,6.887561,-2.070436,1303.334458,343.239577,5:30,1.88996,0.67381,5.76322,-32.44352,-6.40638,2.13536,3.51598,-0.4432,64.05981,-1.891832,-1.504007,0.367255,,,,,,,,,,,,-3.00327,-8.70402,-1.14984,50,0.07621,4.02999,-103.73699,17.19824,-3.21619,20.14773,-41.49509,TEX_LON_SB,TEX_A&M_SB,UTSoftball,D1,SEC,20260328-UTSoftball-1,b4443890-2ad0-11f1-8e8a-11db29e6563b,102.6328,,,5.56546,,,,,,,d85885a5-ac99-4ffd-bc05-403e674a09a3,2026-03-28,18:05:28.57,2026-03-28T13:05:28.5717504-05:00,2026-03-28T18:05:28.5717504Z,,V3 - Softball,,,,"Atwood, Reese",100000000081,Right,TEX_LON_SB,0e06136b-c427-4258-a3ae-8e93f7d055e9,37.23415,-101.22726,10.07387,1.8966,12.02933,-20.74755,-0.67279,3.62936,-1.60809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,13:05:45.03,2,4,"Wells, Hannah",100000003485,Right,TEX_LON_SB,"Perez, Mya ",100000001163,Left,TEX_A&M_SB,Undefined,1,Top,1,2,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,60.71192,5.827125,0.647972,2074.248637,145.993141,10:45,1.99553,1.26377,5.46237,-25.65958,9.73878,-5.82244,3.54378,1.18709,54.87353,-1.242074,-0.886753,0.428216,,,,,,,,,,,,6.41611,8.78934,-1.08989,50,0.50273,-1.62969,-90.9294,12.48972,5.14028,18.67556,-25.13245,TEX_LON_SB,TEX_A&M_SB,UTSoftball,D1,SEC,20260328-UTSoftball-1,be213ed0-2ad0-11f1-8e8a-11db29e6563b,88.02201,,,5.8384,,,,,,,d85885a5-ac99-4ffd-bc05-403e674a09a3,2026-03-28,18:05:45.03,2026-03-28T13:05:45.0332160-05:00,2026-03-28T18:05:45.0332160Z,,V3 - Softball,,,,"Atwood, Reese",100000000081,Right,TEX_LON_SB,28df694b-8156-40b1-a013-7f0e083e0772,37.5288,-88.33087,9.33778,1.99727,8.99278,-12.56623,-1.26688,-0.91447,2.57014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,13:06:02.28,2,5,"Wells, Hannah",100000003485,Right,TEX_LON_SB,"Perez, Mya ",100000001163,Left,TEX_A&M_SB,Undefined,1,Top,1,3,1,Dropball,,BallCalled,Walk,Undefined,Undefined,0,0,,67.73133,2.391678,0.4115,1363.829856,329.993534,5:00,1.8045,0.6613,5.88029,-31.84726,-4.96059,3.24524,0.64181,1.18816,63.24937,-6.279348,1.279665,0.373199,,,,,,,,,,,,-3.48232,-5.86075,-0.5941,50,0.98142,-0.28594,-101.60777,8.89984,-3.58802,18.88801,-38.21272,TEX_LON_SB,TEX_A&M_SB,UTSoftball,D1,SEC,20260328-UTSoftball-1,c85da320-2ad0-11f1-8e8a-11db29e6563b,100.99836,,,4.48196,,,,,,,d85885a5-ac99-4ffd-bc05-403e674a09a3,2026-03-28,18:06:02.28,2026-03-28T13:06:02.2876160-05:00,2026-03-28T18:06:02.2876160Z,,V3 - Softball,,,,"Atwood, Reese",100000000081,Right,TEX_LON_SB,0496bffc-b311-44cc-9fe9-b74ded2231b8,37.11783,-99.18418,9.444,1.80882,3.99662,-19.10636,-0.66033,-0.74633,-1.79401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
