PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,09:35:07.75,1,1,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Morris, Mikee",100000002107,Right,SEA_UNI_SB,Undefined,1,Top,0,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,60.24331,3.650666,-0.348873,1548.620892,138.397232,10:30,1.86802,0.65284,7.8598,-31.40872,4.92107,-3.5024,1.59377,0.13736,55.67002,-4.752782,-1.258335,0.433813,,,,,,,,,,,,3.55732,4.52437,-0.70467,50,0.87899,0.18984,-90.12244,9.34622,2.86409,15.66822,-28.53136,CRE_UNI_SB,SEA_UNI_SB,CreightonSoftballField,D1,BEAST,20260328-CreightonSoftballField-1,51a3fc10-2ab3-11f1-8e19-955da305fa3d,86.88636,,,4.57329,,,,,,,04396dd7-1f60-4f48-a8c8-2d62aefc903e,2026-03-28,14:35:07.75,2026-03-28T09:35:07.7556736-05:00,2026-03-28T14:35:07.7556736Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,a4430eee-cdb2-4151-b20c-913f610574c0,38.13627,-88.03571,7.83411,1.8707,5.54636,-14.26568,-0.65398,0.57129,1.43205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,09:35:23.26,1,2,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Morris, Mikee",100000002107,Right,SEA_UNI_SB,Undefined,1,Top,0,1,0,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,58.59627,6.173382,0.922772,1622.271078,115.837925,9:45,1.96152,0.65169,8.41837,-34.37872,3.29437,-4.61744,3.00899,0.84942,53.61819,-3.157191,-0.291942,0.44176,48.99338,12.141796,-64.597432,2711.100623,,,,61.4368,60.76622,-62.269913,0.918584,5.40437,1.75847,-0.41879,50,0.32936,-1.9219,-87.59475,13.59358,4.07437,15.79238,-30.84833,CRE_UNI_SB,SEA_UNI_SB,CreightonSoftballField,D1,BEAST,20260328-CreightonSoftballField-1,5aeb5200-2ab3-11f1-8e19-955da305fa3d,85.32324,5.76814,,4.97809,,,,,,,04396dd7-1f60-4f48-a8c8-2d62aefc903e,2026-03-28,14:35:23.26,2026-03-28T09:35:23.2645632-05:00,2026-03-28T14:35:23.2645632Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,0625f77e-d69a-4d20-baaa-b437caef8a20,37.57931,-85.32606,7.89619,1.96386,9.16199,-15.42417,-0.65284,-1.33658,2.03719,64.974818,5.20808,30.13511,-5.29363,0.22383,0.20372,-0.68728,0.95107,-0.6892,0.20522,3.04588,15.1137,-21.58486,1.77535,0.0978,-0.70979,0.90186,-0.57171,0.15064,-0.75298,-63.4572,5.17434,0.42506,-0.2387,0.6183,-0.89761,0.69141,-0.21585,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-03-28,09:35:45.99,1,3,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Morris, Mikee",100000002107,Right,SEA_UNI_SB,Undefined,1,Top,0,1,1,Changeup,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,53.4817,4.781668,0.939461,998.229045,13.485853,6:30,1.97476,0.71202,7.75347,-58.46645,-10.84898,-3.00043,0.18386,1.06594,48.7322,-10.700961,0.160823,0.496655,,,,,,,,,,,,3.53166,-12.51174,-0.50389,50,0.6186,-1.57362,-80.47518,12.17504,2.18446,15.94908,-39.91297,CRE_UNI_SB,SEA_UNI_SB,CreightonSoftballField,D1,BEAST,20260328-CreightonSoftballField-1,6877a4a0-2ab3-11f1-8e19-955da305fa3d,75.89265,,,4.7495,,,,,,,04396dd7-1f60-4f48-a8c8-2d62aefc903e,2026-03-28,14:35:45.99,2026-03-28T09:35:45.9981824-05:00,2026-03-28T14:35:45.9981824Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,3e3d9712-56de-4fc6-ab48-c559edc42a04,38.24569,-78.1109,7.97454,1.98488,6.25838,-19.95649,-0.71316,-1.2498,1.09223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,09:36:08.94,1,4,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Morris, Mikee",100000002107,Right,SEA_UNI_SB,Undefined,1,Top,0,1,2,Riseball,,InPlay,Undefined,FlyBall,HomeRun,0,1,,59.85839,5.558855,0.18609,1564.088695,96.300754,9:15,1.85631,0.66405,8.06954,-34.92195,1.59181,-5.6613,2.49998,0.31087,55.1686,-3.803296,-1.290337,0.43491,72.21748,29.13129,-21.288363,,101.76503,44.83478,-41.75934,235.83061,130.5054,-24.392663,3.688642,6.19894,0.14673,-0.58626,50,0.40835,-0.91326,-89.41171,12.80462,4.91035,15.47418,-32.05782,CRE_UNI_SB,SEA_UNI_SB,CreightonSoftballField,D1,BEAST,20260328-CreightonSoftballField-1,7623b440-2ab3-11f1-8e19-955da305fa3d,86.66718,46.74638,,4.68979,,,,3.96316,2.76562,-0.42135,04396dd7-1f60-4f48-a8c8-2d62aefc903e,2026-03-28,14:36:08.94,2026-03-28T09:36:08.9472000-05:00,2026-03-28T14:36:08.9472000Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,d09b1a93-cc17-4d3b-8945-121c59eec5c8,37.92894,-87.29762,7.73709,1.85854,8.42486,-16.02891,-0.6652,-0.2424,2.45517,164.986398,3.96287,86.21654,-14.9935,3.49836,-0.81789,0.21642,-0.05218,0.00794,-0.00051,2.76596,51.55202,-16.14919,0.60954,0.08766,-0.0969,0.0331,-0.00505,0.00029,-0.42124,-33.59434,3.47843,-0.703,0.15973,-0.04922,0.01373,-0.00221,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2026-03-28,09:36:59.67,2,1,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Morris, Avari",100000002105,Left,SEA_UNI_SB,Undefined,1,Top,0,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,59.91192,6.43459,0.976699,1657.460653,138.910909,10:45,1.93705,0.80234,8.0706,-30.7249,5.64237,-4.14941,3.4952,1.07905,55.35154,-1.807955,-0.104441,0.434037,,,,,,,,,,,,4.67193,4.61177,-0.57193,50,0.33351,-1.94876,-89.08265,13.67594,3.71527,14.03693,-28.50659,CRE_UNI_SB,SEA_UNI_SB,CreightonSoftballField,D1,BEAST,20260328-CreightonSoftballField-1,94697d90-2ab3-11f1-8e19-955da305fa3d,86.84153,,,4.56038,,,,,,,04396dd7-1f60-4f48-a8c8-2d62aefc903e,2026-03-28,14:36:59.67,2026-03-28T09:36:59.6720640-05:00,2026-03-28T14:36:59.6720640Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,a1ba7e45-cde3-4121-b3a8-ab350bf2d084,37.92493,-87.1592,7.01846,1.93988,9.76972,-14.2533,-0.80408,-1.43967,1.85763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,09:37:13.78,2,2,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Morris, Avari",100000002105,Left,SEA_UNI_SB,Undefined,1,Top,0,1,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,52.47297,5.727927,1.059106,942.577814,4.100027,6:15,1.98644,0.74344,8.35934,-57.85917,-10.34902,-0.84988,0.79901,1.3423,48.1048,-9.823379,0.835353,0.496095,,,,,,,,,,,,1.33929,-12.35351,-0.50996,50,0.31956,-1.53348,-78.79481,13.6945,0.8042,14.18951,-39.5919,CRE_UNI_SB,SEA_UNI_SB,CreightonSoftballField,D1,BEAST,20260328-CreightonSoftballField-1,9cc08010-2ab3-11f1-8e19-955da305fa3d,75.97832,,,4.36817,,,,,,,04396dd7-1f60-4f48-a8c8-2d62aefc903e,2026-03-28,14:37:13.78,2026-03-28T09:37:13.7832960-05:00,2026-03-28T14:37:13.7832960Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,98eca37f-463a-4d01-890e-b7ff45b6f9f6,37.64045,-76.53672,7.09476,1.99755,7.39393,-19.79595,-0.74382,-1.4055,0.4021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,09:37:29.18,2,3,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Morris, Avari",100000002105,Left,SEA_UNI_SB,Undefined,1,Top,0,2,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,60.93989,3.691847,-0.98468,1692.068259,178.270835,12:00,1.99253,1.07846,7.94821,-26.00454,9.37272,-0.25413,2.18973,0.42761,56.17401,-3.3261,-1.050787,0.428089,,,,,,,,,,,,-0.06906,9.235,-1.28239,50,1.01852,1.54008,-91.11876,8.97901,-0.05684,16.01868,-24.57351,CRE_UNI_SB,SEA_UNI_SB,CreightonSoftballField,D1,BEAST,20260328-CreightonSoftballField-1,a6093590-2ab3-11f1-8e19-955da305fa3d,88.04824,,,4.76587,,,,,,,04396dd7-1f60-4f48-a8c8-2d62aefc903e,2026-03-28,14:37:29.18,2026-03-28T09:37:29.1857920-05:00,2026-03-28T14:37:29.1857920Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,14ecd414-03e1-46f2-bafa-ea653b41bb11,38.04595,-88.99243,8.00934,1.9939,5.7171,-12.28676,-1.07845,1.53253,-0.02842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,09:37:45.67,2,4,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Morris, Avari",100000002105,Left,SEA_UNI_SB,Undefined,1,Top,0,2,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.7755,3.18896,-1.298374,1060.539254,17.848725,6:30,2.00479,0.96715,7.95936,-38.66904,-4.64662,-1.87146,0.82346,-0.01889,56.93503,-7.16129,-1.786161,0.419811,,,,,,,,,,,,1.3711,-5.4489,-1.22857,50,1.07971,1.95396,-94.51172,9.62591,1.17399,21.54023,-36.83964,CRE_UNI_SB,SEA_UNI_SB,CreightonSoftballField,D1,BEAST,20260328-CreightonSoftballField-1,afc19cd0-2ab3-11f1-8e19-955da305fa3d,89.78425,,,5.84046,,,,,,,04396dd7-1f60-4f48-a8c8-2d62aefc903e,2026-03-28,14:37:45.67,2026-03-28T09:37:45.6730112-05:00,2026-03-28T14:37:45.6730112Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,d583c272-114d-4410-92d3-b65f13a5529d,38.03614,-91.74452,10.77011,2.01233,4.89324,-18.41982,-0.96787,2.10478,0.58699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,09:38:01.69,2,5,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Morris, Avari",100000002105,Left,SEA_UNI_SB,Undefined,1,Top,0,3,1,Changeup,,BallCalled,Walk,Undefined,Undefined,0,0,,53.00825,3.856863,0.762563,858.050833,3.465641,6:00,1.9516,0.81789,8.10737,-57.00523,-10.02485,-0.69724,-0.33947,1.24529,48.92873,-11.334915,0.579631,0.493321,,,,,,,,,,,,1.05201,-11.29158,-0.6527,50,0.73275,-1.1247,-79.77909,10.99217,0.64731,14.58342,-39.12194,CRE_UNI_SB,SEA_UNI_SB,CreightonSoftballField,D1,BEAST,20260328-CreightonSoftballField-1,b956c4a0-2ab3-11f1-8e19-955da305fa3d,76.40548,,,4.07952,,,,,,,04396dd7-1f60-4f48-a8c8-2d62aefc903e,2026-03-28,14:38:01.69,2026-03-28T09:38:01.6953344-05:00,2026-03-28T14:38:01.6953344Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,60336eca-3b68-4a4d-8811-5278261a39d3,37.89238,-77.53426,7.29171,1.96129,4.97013,-19.56097,-0.81816,-1.02506,0.32366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,09:38:27.10,3,1,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Fitch, Taylor",100000002122,Right,SEA_UNI_SB,Undefined,1,Top,0,0,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,61.3793,4.468168,-2.130075,1731.752114,144.094913,10:45,2.07716,0.81213,7.84735,-28.46785,6.93654,-4.28233,2.57753,-0.91111,56.18511,-3.182807,-3.238772,0.428253,,,,,,,,,,,,3.65028,6.2641,-1.23019,50,0.94095,2.98697,-91.77221,10.47214,3.01868,17.4168,-26.99385,CRE_UNI_SB,SEA_UNI_SB,CreightonSoftballField,D1,BEAST,20260328-CreightonSoftballField-1,c87995c0-2ab3-11f1-8e19-955da305fa3d,88.01451,,,5.19419,,,,,,,04396dd7-1f60-4f48-a8c8-2d62aefc903e,2026-03-28,14:38:27.10,2026-03-28T09:38:27.1076864-05:00,2026-03-28T14:38:27.1076864Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,08c32e0b-72dc-4523-a637-70080a815d2a,38.14668,-89.49439,8.7084,2.07968,6.9418,-13.49693,-0.81373,3.38176,1.50934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
