PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,14:04:03.48,1,1,"Aleman, Kimberleen",1000000000600,Right,ORE_STA_SB,"Wynia, Kaitlyn ",1000000001766,Right,UNI_SAN_SB,Undefined,1,Top,0,0,0,Screwball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,61.78316,5.25407,0.9827,1128.109396,90.106992,9:00,1.87426,-0.02067,9.10093,-31.80545,1.04661,-5.41087,2.48726,0.13707,56.05949,-3.564889,-0.469702,0.412527,,,,,,,,,,,,6.34926,-0.21382,0.28281,50,0.37969,-2.22722,-92.84729,12.78195,5.29821,19.59585,-32.35248,ORE_STA_SB,UNI_SAN_SB,OSUSBComplex,D1,P12,20260328-OSUSBComplex-1,a6ec0bf0-2ae9-11f1-b286-352666712fc3,91.36955,,,5.72367,,,,,,,7ac661d1-e948-4cb7-8a8c-953fc46a2445,2026-03-28,21:04:03.48,2026-03-28T14:04:03.4892800-07:00,2026-03-28T21:04:03.4892800Z,,V3 - Softball,,,,"Donahue, Nikki",100000006736,Left,ORE_STA_SB,df63746a-b1a4-4715-b5ce-3bc873806e50,36.89351,-90.03862,9.79793,1.87941,8.14488,-16.17624,0.018,-1.46783,2.6491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,14:04:19.10,1,2,"Aleman, Kimberleen",1000000000600,Right,ORE_STA_SB,"Wynia, Kaitlyn ",1000000001766,Right,UNI_SAN_SB,Undefined,1,Top,0,0,1,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,40.40323,9.168172,-0.146157,1336.887046,163.825234,11:30,2.08231,-0.4255,9.17149,-58.91653,21.69115,-5.36614,2.88799,-0.96301,35.51481,-7.514249,-1.580059,0.646189,,,,,,,,,,,,5.67158,20.81804,0.4216,50,-0.61528,-0.21197,-60.43127,14.93891,1.92429,10.38164,-25.11079,ORE_STA_SB,UNI_SAN_SB,OSUSBComplex,D1,P12,20260328-OSUSBComplex-1,b05f7af0-2ae9-11f1-b286-352666712fc3,58.33037,,,4.88842,,,,,,,7ac661d1-e948-4cb7-8a8c-953fc46a2445,2026-03-28,21:04:19.10,2026-03-28T14:04:19.1062016-07:00,2026-03-28T21:04:19.1062016Z,,V3 - Softball,,,,"Donahue, Nikki",100000006736,Left,ORE_STA_SB,a364ee1d-af8f-42be-9b2b-ced8788aa3da,36.80948,-58.12107,5.19082,2.08731,9.35109,-12.5554,0.42207,0.21624,0.96215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,14:04:36.37,1,3,"Aleman, Kimberleen",1000000000600,Right,ORE_STA_SB,"Wynia, Kaitlyn ",1000000001766,Right,UNI_SAN_SB,Undefined,1,Top,0,0,2,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,61.28506,7.047392,1.884336,1143.796601,91.966495,9:00,1.82243,-0.26028,8.92853,-32.28659,0.90941,-2.9628,3.54214,0.66587,56.6032,-1.772236,1.094772,0.414681,59.07398,32.511952,-50.178029,3166.112659,63.35868,24.9656,-89.92029,147.70277,116.4567,-56.678541,2.564956,3.90193,-0.73063,0.70903,50,-0.07971,-3.36765,-91.20475,15.63172,3.24693,14.92707,-32.78203,ORE_STA_SB,UNI_SAN_SB,OSUSBComplex,D1,P12,20260328-OSUSBComplex-1,ba8c4ee0-2ae9-11f1-b286-352666712fc3,90.89503,30.46248,,4.68186,,,,1.62428,3.59226,-0.65469,7ac661d1-e948-4cb7-8a8c-953fc46a2445,2026-03-28,21:04:36.37,2026-03-28T14:04:36.3795968-07:00,2026-03-28T21:04:36.3795968Z,,V3 - Softball,,,,"Donahue, Nikki",100000006736,Left,ORE_STA_SB,ec142c54-4128-455f-9e94-3d0d119eba34,37.06913,-89.06327,7.46354,1.8255,10.92872,-16.39101,0.25931,-2.90184,1.62347,112.400442,1.62423,46.79267,-9.16443,1.9996,-0.52966,0.15724,-0.04854,0.00857,-0.0005,3.59226,46.56772,-22.07261,2.00533,-0.40493,0.07904,-0.01779,0.00431,-0.00053,-0.65465,-56.11728,3.423,-0.09146,0.00432,-0.02196,0.01397,-0.0021,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-03-28,14:04:57.43,1,4,"Aleman, Kimberleen",1000000000600,Right,ORE_STA_SB,"Wynia, Kaitlyn ",1000000001766,Right,UNI_SAN_SB,Undefined,1,Top,0,0,2,Curveball,,InPlay,Undefined,GroundBall,Out,1,0,,62.44639,5.287262,0.883591,1135.11357,90.231936,9:00,1.90442,0.20102,9.33787,-30.61852,0.99917,-9.41556,2.61504,-0.04002,56.85179,-3.250624,-1.660849,0.404703,41.37774,-30.789666,17.037493,,,,,6.08866,6.08866,11.565988,0.081369,11.01985,-0.42693,0.08068,50,0.36887,-2.65582,-93.89833,13.01571,9.43073,19.69869,-32.5394,ORE_STA_SB,UNI_SAN_SB,OSUSBComplex,D1,P12,20260328-OSUSBComplex-1,c7047260-2ae9-11f1-b286-352666712fc3,93.13607,2.58481,,5.5946,,,,1.92505,2.58481,0.01145,7ac661d1-e948-4cb7-8a8c-953fc46a2445,2026-03-28,21:04:57.43,2026-03-28T14:04:57.4365184-07:00,2026-03-28T21:04:57.4365184Z,,V3 - Softball,,,,"Donahue, Nikki",100000006736,Left,ORE_STA_SB,9238ba76-f9fe-4d00-b686-0d592289a2da,36.65878,-91.0565,9.84935,1.90796,8.32142,-16.2697,-0.20432,-1.2953,4.71536,143.442623,1.92506,49.84393,-2.38276,,,,,,,2.58483,-31.06777,-8.59824,,,,,,,0.01146,15.27364,-5.06103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-03-28,14:05:26.33,2,1,"Aleman, Kimberleen",1000000000600,Right,ORE_STA_SB,"Axline, Mallory",1000000001786,Right,UNI_SAN_SB,Undefined,1,Top,1,0,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,41.11787,5.962182,1.044534,1409.914637,164.163,11:30,2.00456,-0.12174,9.18279,-57.662,16.80296,-4.0765,0.89719,0.18401,37.66167,-10.09918,-0.050453,0.62108,,,,,,,,,,,,4.98492,17.70363,0.39208,50,0.05909,-1.45092,-61.68917,11.76294,1.82635,8.94423,-25.68787,ORE_STA_SB,UNI_SAN_SB,OSUSBComplex,D1,P12,20260328-OSUSBComplex-1,d86d62f0-2ae9-11f1-b286-352666712fc3,60.68856,,,3.45621,,,,,,,7ac661d1-e948-4cb7-8a8c-953fc46a2445,2026-03-28,21:05:26.33,2026-03-28T14:05:26.3366144-07:00,2026-03-28T21:05:26.3366144Z,,V3 - Softball,,,,"Donahue, Nikki",100000006736,Left,ORE_STA_SB,f3454c2b-da0d-4fd3-a430-fdd3fd96c51b,36.8074,-59.74578,4.47211,2.00856,6.18151,-12.84393,0.11993,-1.05409,0.91318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,14:05:43.79,2,2,"Aleman, Kimberleen",1000000000600,Right,ORE_STA_SB,"Axline, Mallory",1000000001786,Right,UNI_SAN_SB,Undefined,1,Top,1,1,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.99014,3.683384,2.901541,1141.449592,76.645043,8:30,1.76318,-0.09339,8.97339,-32.06226,-0.48169,-6.03063,1.38673,1.20897,57.66694,-5.140422,1.288977,0.404465,,,,,,,,,,,,7.74772,-1.25008,0.79342,50,0.64176,-5.52233,-94.61448,10.41024,6.76925,19.29109,-33.26626,ORE_STA_SB,UNI_SAN_SB,OSUSBComplex,D1,P12,20260328-OSUSBComplex-1,e2b11a40-2ae9-11f1-b286-352666712fc3,93.19077,,,5.3232,,,,,,,7ac661d1-e948-4cb7-8a8c-953fc46a2445,2026-03-28,21:05:43.79,2026-03-28T14:05:43.7949952-07:00,2026-03-28T21:05:43.7949952Z,,V3 - Softball,,,,"Donahue, Nikki",100000006736,Left,ORE_STA_SB,2828c8c5-0198-46ef-add1-5e711883e549,37.02241,-91.93039,9.64555,1.7682,5.78169,-16.63313,0.09059,-4.58048,3.38462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,14:06:01.04,2,3,"Aleman, Kimberleen",1000000000600,Right,ORE_STA_SB,"Axline, Mallory",1000000001786,Right,UNI_SAN_SB,Undefined,1,Top,1,2,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,61.64266,2.364751,1.329845,1179.841295,126.822285,10:15,1.8272,-0.35281,8.97904,-30.16572,2.07335,-1.7328,0.78413,0.32933,57.65279,-5.906408,0.865373,0.40866,,,,,,,,,,,,2.35728,2.0839,0.66819,50,1.00393,-2.36485,-92.36386,7.96881,2.01423,15.15316,-30.39342,ORE_STA_SB,UNI_SAN_SB,OSUSBComplex,D1,P12,20260328-OSUSBComplex-1,ecee1ad0-2ae9-11f1-b286-352666712fc3,92.23412,,,3.98986,,,,,,,7ac661d1-e948-4cb7-8a8c-953fc46a2445,2026-03-28,21:06:01.04,2026-03-28T14:06:01.0454016-07:00,2026-03-28T21:06:01.0454016Z,,V3 - Softball,,,,"Donahue, Nikki",100000006736,Left,ORE_STA_SB,d0babfd1-5049-4114-bbac-59bb15866e66,37.01843,-90.20898,7.57658,1.82983,3.64666,-15.19671,0.35225,-2.07841,1.00711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,14:06:22.59,2,4,"Aleman, Kimberleen",1000000000600,Right,ORE_STA_SB,"Axline, Mallory",1000000001786,Right,UNI_SAN_SB,Undefined,1,Top,1,3,0,Dropball,,BallCalled,Walk,Undefined,Undefined,0,0,,62.16328,2.920773,1.553801,1135.898112,87.090088,9:00,1.8023,-0.02817,9.09649,-30.87258,0.59193,-2.90028,1.04087,0.69276,58.17563,-5.560762,0.774097,0.403722,,,,,,,,,,,,3.74067,0.28331,0.40746,50,0.83442,-2.90235,-93.07595,9.09299,3.2539,15.06429,-31.92761,ORE_STA_SB,UNI_SAN_SB,OSUSBComplex,D1,P12,20260328-OSUSBComplex-1,f9ccef60-2ae9-11f1-b286-352666712fc3,93.36247,,,3.98765,,,,,,,7ac661d1-e948-4cb7-8a8c-953fc46a2445,2026-03-28,21:06:22.59,2026-03-28T14:06:22.5942016-07:00,2026-03-28T21:06:22.5942016Z,,V3 - Softball,,,,"Donahue, Nikki",100000006736,Left,ORE_STA_SB,a279b76f-2543-4321-a5b7-5c2e3e06a986,36.90124,-90.93122,7.53215,1.80543,4.54738,-15.96381,0.02723,-2.43908,1.62695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,14:06:58.25,3,1,"Aleman, Kimberleen",1000000000600,Right,ORE_STA_SB,"Delgado, Michelle",1000000001773,Right,UNI_SAN_SB,Undefined,1,Top,1,0,0,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,63.17055,4.434376,-0.376291,1160.566211,88.039119,9:00,1.89726,-0.02717,9.28343,-29.77915,0.59756,-4.57445,2.15326,-0.64022,58.62823,-3.809209,-1.611363,0.396681,,,,,,,,,,,,5.12461,-0.37693,-0.01963,50,0.5656,-0.00347,-94.65747,11.69692,4.572,16.6968,-32.51034,ORE_STA_SB,UNI_SAN_SB,OSUSBComplex,D1,P12,20260328-OSUSBComplex-1,0f0a1970-2aea-11f1-b286-352666712fc3,95.01948,,,4.54232,,,,,,,7ac661d1-e948-4cb7-8a8c-953fc46a2445,2026-03-28,21:06:58.25,2026-03-28T14:06:58.2582272-07:00,2026-03-28T21:06:58.2582272Z,,V3 - Softball,,,,"Donahue, Nikki",100000006736,Left,ORE_STA_SB,8794f7df-206c-46ff-bee9-56958cf14564,36.71469,-92.2843,8.3484,1.89973,7.07612,-16.25517,0.02606,0.64636,2.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,14:07:24.56,3,2,"Aleman, Kimberleen",1000000000600,Right,ORE_STA_SB,"Delgado, Michelle",1000000001773,Right,UNI_SAN_SB,Undefined,1,Top,1,0,1,Screwball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.33235,4.685747,2.74747,1218.259256,67.154962,8:15,1.79422,-0.07455,9.29176,-31.60498,-0.99095,-4.42886,2.0565,1.25001,58.09782,-4.074085,1.553613,0.398228,,,,,,,,,,,,5.98595,-2.20862,0.74701,50,0.3993,-5.12781,-94.99932,12.28328,5.3015,18.73573,-34.13014,ORE_STA_SB,UNI_SAN_SB,OSUSBComplex,D1,P12,20260328-OSUSBComplex-1,1eba8490-2aea-11f1-b286-352666712fc3,94.65043,,,5.23453,,,,,,,7ac661d1-e948-4cb7-8a8c-953fc46a2445,2026-03-28,21:07:24.56,2026-03-28T14:07:24.5660160-07:00,2026-03-28T21:07:24.5660160Z,,V3 - Softball,,,,"Donahue, Nikki",100000006736,Left,ORE_STA_SB,52a4c509-02d1-41d2-847e-62978cfec9a5,36.70466,-92.33999,9.36787,1.79897,7.43889,-17.06507,0.07258,-4.37532,2.65075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
