PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,12:02:27.56,1,1,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"Burdick, Kaycie",100000003260,Left,WAS_HUS_SB,Undefined,1,Top,0,0,0,Fastball,,InPlay,Undefined,LineDrive,Single,0,0,,62.7742,3.47599,0.253042,1260.52716,228.396097,1:30,1.86493,-0.56657,4.51792,-29.01537,4.96,4.5904,1.69844,-0.02034,58.13877,-4.213472,1.433968,0.419521,71.47922,14.660594,26.973848,1443.278769,,,,126.28495,124.56966,32.986793,1.508053,-4.68622,4.47851,0.59175,50,0.96401,0.06238,-93.81404,9.02576,-4.10618,16.41752,-28.24989,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260329-BobPearlField-1,11070100-2b91-11f1-b802-33ae3c3496cd,89.84642,10.7992,,4.63543,,,,1.81699,1.7954,0.06717,d2a1af77-1de5-405d-b530-8b2efc9936c1,2026-03-29,17:02:27.56,2026-03-29T12:02:27.5650000-05:00,2026-03-29T17:02:27.5650000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,2a537f7a-6693-4764-b8cb-3ab2ffd68c2c,38.47831,-91.77559,8.20876,1.86692,5.51817,-14.12494,0.56785,-0.44745,-2.05309,266.373032,1.817,90.38731,-18.13234,3.24739,-0.14876,-0.46083,0.31893,-0.10552,0.01441,1.7954,26.53345,-20.74963,2.02245,-0.44448,0.15978,-0.06763,0.02073,-0.00284,0.06716,46.00627,1.19467,-1.22339,-0.25221,0.69612,-0.47427,0.15979,-0.02221,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-03-29,12:02:56.86,2,1,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"DeBoer, Alexis",100000002035,Right,WAS_HUS_SB,Undefined,1,Top,0,0,0,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,54.16072,8.678788,0.280804,1000.333683,337.300471,5:15,1.78718,-0.93216,4.49656,-57.85417,-9.92701,4.87603,2.6271,-0.34406,48.37378,-6.558549,1.527947,0.498267,,,,,,,,,,,,-4.71662,-12.56646,0.97007,50,-0.29365,-0.03075,-80.76241,17.39539,-2.9369,16.10498,-39.99882,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260329-BobPearlField-1,22918350-2b91-11f1-b802-33ae3c3496cd,75.64704,,,5.78693,,,,,,,d2a1af77-1de5-405d-b530-8b2efc9936c1,2026-03-29,17:02:56.86,2026-03-29T12:02:56.8600000-05:00,2026-03-29T17:02:56.8600000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,fc96c2fc-0455-47a7-b456-ac619045cd96,38.49989,-78.43563,8.05249,1.80211,11.61655,-19.99941,0.93497,-0.45506,-1.46845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-29,12:03:14.00,2,2,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"DeBoer, Alexis",100000002035,Right,WAS_HUS_SB,Undefined,1,Top,0,0,1,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,59.70454,4.992171,0.109295,1462.150041,190.977497,12:15,1.72719,-0.70851,4.83966,-28.95817,8.84788,1.48185,2.52361,-0.51493,54.03741,-2.839718,0.493399,0.44254,,,,,,,,,,,,-1.47858,7.9213,0.72381,50,0.48004,-0.0318,-89.4196,11.05129,-1.14582,18.03429,-26.03545,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260329-BobPearlField-1,2cc33940-2b91-11f1-b802-33ae3c3496cd,85.17304,,,5.66713,,,,,,,d2a1af77-1de5-405d-b530-8b2efc9936c1,2026-03-29,17:03:14.00,2026-03-29T12:03:14.0000000-05:00,2026-03-29T17:03:14.0000000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,587cbf7b-3576-446e-94c6-8dbf0b819d5b,38.15187,-86.99724,9.01714,1.72958,7.55421,-13.01772,0.7092,-0.18571,-0.57291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.39437,2.185922,1.045248,1.140674,-1.50907,2.36043,0.48896,-1.66455,3.95944,1.54849,84.85077,5.25465,2.3169,-1.57522,85.27507,-8.41955,4.02604,18.69243,-15.51041,1.54061,0.1849,0.44195,High,High,High,,,High,High,High
4,2026-03-29,12:03:37.00,2,3,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"DeBoer, Alexis",100000002035,Right,WAS_HUS_SB,Undefined,1,Top,0,0,2,Riseball,,InPlay,Undefined,FlyBall,Out,1,0,,59.61408,5.718008,0.013917,1372.089509,199.490299,12:45,1.65128,-0.56153,4.60098,-27.88293,11.0002,3.41669,3.03077,-0.26782,53.35288,-1.824628,0.8934,0.448799,74.03734,48.316968,-18.824449,,104.86228,94.56045,-33.22489,208.73465,204.21694,-17.80698,5.117299,-3.51587,9.42233,0.54736,50,0.29239,0.29357,-89.37019,11.96637,-2.68179,19.67786,-24.987,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260329-BobPearlField-1,3a70a870-2b91-11f1-b802-33ae3c3496cd,83.9851,95.24124,,6.2612,,,,2.84655,3.24619,0.33345,d2a1af77-1de5-405d-b530-8b2efc9936c1,2026-03-29,17:03:37.00,2026-03-29T12:03:37.0080000-05:00,2026-03-29T17:03:37.0080000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,4160658f-b479-449a-897a-9d834c1ce177,38.39195,-86.77666,9.83893,1.65252,8.67309,-12.4935,0.56276,-0.05989,-1.3409,182.00619,2.84739,68.3196,-17.32969,4.80047,-0.8075,0.03462,0.01709,-0.00326,0.00017,3.24535,81.1155,-20.47768,1.20935,0.07545,-0.12051,0.04556,-0.00791,0.0005,0.33324,-23.29198,6.48964,-1.89179,0.34874,-0.02746,-0.00375,0.00098,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2026-03-29,12:04:06.77,3,1,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"Alvarez, Giselle",100000002066,Left,WAS_HUS_SB,Undefined,1,Top,1,0,0,Curveball,,InPlay,Undefined,FlyBall,Out,1,0,,58.70921,3.078104,0.859003,1525.852168,209.830597,1:00,1.99677,-0.80559,4.44854,-28.74419,10.593,5.4241,1.59856,0.2032,53.96122,-4.588137,2.251276,0.451412,38.59212,60.385199,4.725209,2459.102069,,,,68.59435,57.82875,-1.655232,3.008544,-5.35221,10.34493,0.94656,50,1.18027,-0.79287,-87.95238,7.80359,-4.06456,16.01807,-24.31793,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260329-BobPearlField-1,4c2cc210-2b91-11f1-b802-33ae3c3496cd,83.49897,36.28079,,4.74799,,,,3.46069,1.34519,-0.27849,d2a1af77-1de5-405d-b530-8b2efc9936c1,2026-03-29,17:04:06.77,2026-03-29T12:04:06.7750000-05:00,2026-03-29T17:04:06.7750000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,de805208-2936-464b-9427-1d0285a97396,38.54756,-85.8413,8.00904,1.99753,4.59864,-12.15896,0.80676,-1.32855,-2.03228,163.543654,3.46068,27.87568,-3.87961,0.79321,0.0213,-0.06159,0.01077,0.00103,-0.00031,1.34535,49.20166,-18.65558,1.22765,-0.20948,-0.03663,0.03712,-0.00922,0.00079,-0.27848,2.30426,-1.5467,0.33007,-0.09136,0.05759,-0.03154,0.00824,-0.00079,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2026-03-29,12:04:30.46,4,1,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,Undefined,1,Top,2,0,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,59.05884,4.781969,0.794226,1417.129142,192.107829,12:30,1.60426,-0.72825,4.75904,-27.15608,12.06516,2.2926,2.42211,-0.02671,52.90282,-2.615351,1.387112,0.450746,,,,,,,,,,,,-1.96602,11.10418,0.88129,50,0.42042,-1.02756,-88.60343,10.39876,-1.47525,19.24747,-23.84171,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260329-BobPearlField-1,5a57c5b0-2b91-11f1-b802-33ae3c3496cd,83.62232,,,6.15602,,,,,,,d2a1af77-1de5-405d-b530-8b2efc9936c1,2026-03-29,17:04:30.46,2026-03-29T12:04:30.4650000-05:00,2026-03-29T17:04:30.4650000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,3807cfba-383f-41bf-a6eb-6475200acb72,38.22979,-86.00858,9.62373,1.60568,7.18453,-11.92085,0.72936,-1.22644,-0.73763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-29,12:04:45.25,4,2,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,Undefined,1,Top,2,0,1,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,53.38813,5.737443,-0.005714,1004.18288,328.928576,5:00,1.76087,-0.8348,4.82415,-55.43999,-7.96489,5.74307,0.83419,-0.35988,48.63784,-8.992634,1.48322,0.495912,,,,,,,,,,,,-5.85012,-9.35276,0.80743,50,0.22202,0.47402,-80.08138,13.20153,-3.6151,14.99208,-37.95363,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260329-BobPearlField-1,632c0e80-2b91-11f1-b802-33ae3c3496cd,76.00634,,,4.75028,,,,,,,d2a1af77-1de5-405d-b530-8b2efc9936c1,2026-03-29,17:04:45.25,2026-03-29T12:04:45.2520000-05:00,2026-03-29T17:04:45.2520000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,9f2b2adf-f112-44f8-ab7f-6ea85a8f3c70,38.17286,-77.83573,7.49604,1.77369,7.51648,-18.97681,0.83788,-0.06748,-1.80755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-29,12:05:01.65,4,3,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,Undefined,1,Top,2,1,1,Riseball,,InPlay,Undefined,LineDrive,Single,0,1,,59.98264,5.399532,0.213145,1549.376158,202.419295,12:45,1.71559,-0.72274,4.76136,-28.6536,8.3002,3.02965,2.80822,-0.33329,55.26092,-2.26828,0.996574,0.437523,48.77916,27.911481,-39.178099,968.121802,,,,119.97405,119.97405,-42.553036,2.157492,-3.11965,7.41863,0.74844,50,0.38889,-0.02201,-89.46344,11.73166,-2.48132,15.14565,-26.2734,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260329-BobPearlField-1,6ce05710-2b91-11f1-b802-33ae3c3496cd,86.14961,19.65369,,4.72172,,,,2.53031,2.95694,0.36657,d2a1af77-1de5-405d-b530-8b2efc9936c1,2026-03-29,17:05:01.65,2026-03-29T12:05:01.6540000-05:00,2026-03-29T17:05:01.6540000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,827c3d8e-1168-487f-9af3-47d08ffcc2a0,38.23441,-87.44892,7.57283,1.71691,8.23703,-13.1367,0.72356,-0.35205,-1.24066,128.78523,2.53032,49.00723,-7.136,1.98167,-0.38376,0.02871,0.01586,-0.00888,0.00157,2.95693,33.49058,-17.52822,0.87768,-0.2188,0.12836,-0.08028,0.02884,-0.004,0.36657,-39.93835,1.7126,-0.46038,0.0746,-0.00838,0.00219,-0.00068,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-03-29,12:05:53.46,5,1,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"Hetzel, Ally",100000003258,Right,WAS_HUS_SB,Undefined,1,Top,2,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.21154,2.892932,1.028484,1276.630206,222.92223,1:30,1.80379,-0.65461,4.38296,-28.45049,4.32634,3.20103,1.31311,0.27997,59.36506,-4.621157,1.849068,0.412055,,,,,,,,,,,,-2.92122,4.01599,0.84288,50,1.04105,-1.4005,-96.00062,8.09067,-2.67235,17.59852,-28.50024,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260329-BobPearlField-1,8bc34ac0-2b91-11f1-b802-33ae3c3496cd,91.47439,,,4.84648,,,,,,,d2a1af77-1de5-405d-b530-8b2efc9936c1,2026-03-29,17:05:53.46,2026-03-29T12:05:53.4660000-05:00,2026-03-29T17:05:53.4660000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,60c08e91-38f9-4f9d-808e-a0f4db5d66b2,38.61208,-93.88982,8.79926,1.80646,4.67229,-14.25012,0.65568,-1.72102,-1.33617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-29,12:06:07.84,5,2,"Neiss, Serayah",1000000000674,Left,UNI_IOW_SB,"Hetzel, Ally",100000003258,Right,WAS_HUS_SB,Undefined,1,Top,2,1,0,Fastball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,64.34032,4.503868,0.025217,1342.985215,195.851182,12:30,1.82666,-0.7037,4.67082,-23.64694,8.76359,2.22925,2.76366,-0.50168,58.92819,-1.844913,0.600768,0.409746,,,,,,,,,,,,-2.28421,8.04087,0.69739,50,0.73417,0.18678,-96.16053,10.42638,-2.08217,18.59013,-24.84441,UNI_IOW_SB,WAS_HUS_SB,BobPearlField,D1,B10,20260329-BobPearlField-1,9457f280-2b91-11f1-b802-33ae3c3496cd,91.98981,,,5.41213,,,,,,,d2a1af77-1de5-405d-b530-8b2efc9936c1,2026-03-29,17:06:07.84,2026-03-29T12:06:07.8450000-05:00,2026-03-29T17:06:07.8450000Z,,V3 - Softball,,,,"McAnally, Leah",100000001929,Right,UNI_IOW_SB,baef2d50-2021-49d6-965f-69952c88db05,38.32262,-93.87587,9.29506,1.82791,7.37309,-12.42221,0.70462,-0.06911,-1.04109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
