PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,11:05:30.47,1,1,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Romine, Brynn",100000004831,Left,MIS_STA1_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.70911,2.369454,-0.970086,1873.571999,124.529843,10:15,1.9481,1.05793,5.41525,-30.12427,2.46138,-2.23559,0.93454,0.25921,57.86555,-5.803215,-1.559923,0.410851,,,,,,,,,,,,2.05102,2.42232,-1.25375,50,1.18903,1.34012,-94.14624,7.71462,1.78852,18.07868,-30.06177,LOU_TEC_SB,MIS_STA1_SB,DrBillyBundrickField,D1,CUSA,20260329-DrBillyBundrickField-1,1c573ff0-2b89-11f1-b944-fd33f3f8af4a,91.74228,,,4.84356,,,,,,,0c0050aa-8559-44a4-9f63-ea09aa2300b3,2026-03-29,16:05:30.47,2026-03-29T11:05:30.4790000-05:00,2026-03-29T16:05:30.4790000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,159562b8-c0e3-4e5f-aae6-d4516215edcd,37.57998,-91.73026,9.03934,1.95156,3.69724,-15.03089,-1.05869,1.57914,0.89426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-29,11:05:48.29,1,2,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Romine, Brynn",100000004831,Left,MIS_STA1_SB,Undefined,1,Top,0,1,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.64255,4.795648,-1.831913,1096.662407,128.11328,10:15,2.0487,1.05405,5.70695,-27.78746,3.45154,-3.31583,2.74452,-0.36974,58.51702,-2.811073,-2.711404,0.402272,,,,,,,,,,,,2.94335,2.73504,-1.43858,50,0.7392,2.6558,-95.23165,11.71994,2.63573,18.01707,-29.72489,LOU_TEC_SB,MIS_STA1_SB,DrBillyBundrickField,D1,CUSA,20260329-DrBillyBundrickField-1,26f5e880-2b89-11f1-b944-fd33f3f8af4a,93.69887,,,5.12553,,,,,,,0c0050aa-8559-44a4-9f63-ea09aa2300b3,2026-03-29,16:05:48.29,2026-03-29T11:05:48.2990000-05:00,2026-03-29T16:05:48.2990000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,def966e0-4211-4163-b8e3-34a555639119,37.28735,-92.79535,9.00854,2.05223,7.7005,-14.86244,-1.05536,3.0122,1.31786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-29,11:06:12.97,1,3,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Romine, Brynn",100000004831,Left,MIS_STA1_SB,Undefined,1,Top,0,2,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,61.80807,2.784375,-0.087765,1085.270495,187.301433,12:15,1.98018,1.08268,5.75277,-29.04659,4.27626,0.41102,1.30225,1.06205,56.30006,-5.224019,0.021685,0.415473,,,,,,,,,,,,-0.48697,4.15307,-1.10506,50,1.10555,0.19041,-93.14648,8.3049,-0.40809,19.99196,-28.69372,LOU_TEC_SB,MIS_STA1_SB,DrBillyBundrickField,D1,CUSA,20260329-DrBillyBundrickField-1,35ab9ff0-2b89-11f1-b944-fd33f3f8af4a,90.7218,,,5.508,,,,,,,0c0050aa-8559-44a4-9f63-ea09aa2300b3,2026-03-29,16:06:12.97,2026-03-29T11:06:12.9700000-05:00,2026-03-29T16:06:12.9700000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,140acd71-4f2c-4966-85eb-cf06e0d4752b,37.24192,-90.36675,9.99598,1.98292,4.31525,-14.34686,-1.08253,0.13367,-0.20405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-29,11:06:37.68,1,4,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Romine, Brynn",100000004831,Left,MIS_STA1_SB,Undefined,1,Top,0,3,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.15341,4.610456,0.520661,1438.318289,1.877703,6:00,1.91432,0.85671,5.56132,-37.5536,-7.36847,-0.2711,1.68986,1.16147,59.65966,-5.557154,0.448903,0.395429,,,,,,,,,,,,0.48941,-8.95473,-0.74089,50,0.61163,-0.9203,-97.81147,12.70668,0.45737,20.50237,-40.54248,LOU_TEC_SB,MIS_STA1_SB,DrBillyBundrickField,D1,CUSA,20260329-DrBillyBundrickField-1,44610940-2b89-11f1-b944-fd33f3f8af4a,95.32046,,,5.49375,,,,,,,0c0050aa-8559-44a4-9f63-ea09aa2300b3,2026-03-29,16:06:37.68,2026-03-29T11:06:37.6830000-05:00,2026-03-29T16:06:37.6830000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,30049736-68d0-41cc-a0a4-20447ab80ac7,37.43545,-95.14136,10.25118,1.92265,7.42666,-20.27124,-0.85686,-0.86073,0.22868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-29,11:06:57.61,1,5,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Romine, Brynn",100000004831,Left,MIS_STA1_SB,Undefined,1,Top,0,3,1,Fastball,,InPlay,Undefined,GroundBall,Out,1,0,,64.03896,6.4764,-0.756477,1432.451048,8.673069,6:15,1.97218,0.88378,5.72902,-36.48033,-5.56933,-0.97976,3.00265,0.32872,58.76039,-3.426277,-1.016457,0.400155,58.79057,-0.175864,-20.050402,1103.780786,,,,34.55838,34.22595,-20.958514,0.397955,0.81087,-7.90867,-1.04479,50,0.2166,1.14314,-95.69523,15.71576,0.73297,18.23298,-39.32308,LOU_TEC_SB,MIS_STA1_SB,DrBillyBundrickField,D1,CUSA,20260329-DrBillyBundrickField-1,503858e0-2b89-11f1-b944-fd33f3f8af4a,94.1947,2.95853,,5.27857,,,,1.833,2.95853,-0.31278,0c0050aa-8559-44a4-9f63-ea09aa2300b3,2026-03-29,16:06:57.61,2026-03-29T11:06:57.6120000-05:00,2026-03-29T16:06:57.6120000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,bb136672-42cf-4e00-b7b6-9151e0bffd3b,37.26881,-93.23799,9.11649,1.97749,10.41621,-19.66154,-0.88407,1.24192,0.36649,67.484803,1.83641,80.88471,-11.08869,,,,,,,2.96332,-0.4251,-17.67263,,,,,,,-0.31031,-29.64516,-1.61563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-03-29,11:07:28.78,2,1,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Studer, Halle",100000004828,Right,MIS_STA1_SB,Undefined,1,Top,1,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.56534,2.48429,-1.22107,915.568675,145.251345,10:45,2.06302,0.97818,5.65947,-27.61155,2.78583,-1.32189,1.32102,0.1023,59.38006,-5.071405,-1.572131,0.396816,,,,,,,,,,,,0.97776,2.75173,-1.23926,50,1.27762,1.91004,-97.0092,7.9217,0.90234,19.63675,-29.6346,LOU_TEC_SB,MIS_STA1_SB,DrBillyBundrickField,D1,CUSA,20260329-DrBillyBundrickField-1,62d5d1d0-2b89-11f1-b944-fd33f3f8af4a,94.98712,,,5.18528,,,,,,,0c0050aa-8559-44a4-9f63-ea09aa2300b3,2026-03-29,16:07:28.78,2026-03-29T11:07:28.7820000-05:00,2026-03-29T16:07:28.7820000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,12c3123c-48c7-43d2-b4e7-8af23b907116,37.33504,-94.41074,9.81837,2.06642,4.00026,-14.8173,-0.97861,2.02944,0.45117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-29,11:07:47.22,2,2,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Studer, Halle",100000004828,Right,MIS_STA1_SB,Undefined,1,Top,1,1,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.67277,2.005604,-0.292943,1052.085252,85.778812,8:45,1.95232,0.96817,5.63053,-30.55356,0.85795,-1.32319,0.66523,0.67408,58.43099,-6.336868,-0.644427,0.403382,,,,,,,,,,,,1.31973,0.79055,-1.02397,50,1.25516,0.3348,-95.85512,7.34823,1.18074,20.10967,-31.46676,LOU_TEC_SB,MIS_STA1_SB,DrBillyBundrickField,D1,CUSA,20260329-DrBillyBundrickField-1,6dd33c30-2b89-11f1-b944-fd33f3f8af4a,93.44116,,,5.24177,,,,,,,0c0050aa-8559-44a4-9f63-ea09aa2300b3,2026-03-29,16:07:47.22,2026-03-29T11:07:47.2230000-05:00,2026-03-29T16:07:47.2230000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,e1fd6626-d0c9-4c9e-88d5-fd85c701d6a9,37.36452,-93.16659,10.05484,1.95635,3.14133,-15.73338,-0.96865,0.49266,0.59037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-29,11:08:07.06,2,3,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Studer, Halle",100000004828,Right,MIS_STA1_SB,Undefined,1,Top,1,2,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.43249,3.861638,0.958419,1430.202323,359.667915,6:00,1.96864,0.74608,5.75267,-35.62195,-5.42752,0.0361,1.41908,1.34851,59.66133,-5.821013,0.968035,0.395489,,,,,,,,,,,,0.29217,-7.11067,-0.53303,50,0.79285,-1.61254,-96.67218,11.41293,0.27,18.3755,-38.74475,LOU_TEC_SB,MIS_STA1_SB,DrBillyBundrickField,D1,CUSA,20260329-DrBillyBundrickField-1,799b2280-2b89-11f1-b944-fd33f3f8af4a,95.3058,,,4.77116,,,,,,,0c0050aa-8559-44a4-9f63-ea09aa2300b3,2026-03-29,16:08:07.06,2026-03-29T11:08:07.0650000-05:00,2026-03-29T16:08:07.0650000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,f4898342-8435-4039-88bd-1a1769890e60,37.24601,-94.21672,9.18775,1.97201,6.23557,-19.37238,-0.7461,-1.57646,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-29,11:08:27.85,2,4,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Studer, Halle",100000004828,Right,MIS_STA1_SB,Undefined,1,Top,1,3,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.55512,4.093949,0.638301,1459.742942,2.351902,6:00,1.9216,0.84056,5.5449,-34.55033,-4.99142,-0.23791,1.62202,1.22224,60.55286,-5.251317,0.575345,0.391305,,,,,,,,,,,,0.48831,-6.70406,-0.69899,50,0.73113,-1.126,-98.31511,11.72757,0.46607,19.19396,-38.57283,LOU_TEC_SB,MIS_STA1_SB,DrBillyBundrickField,D1,CUSA,20260329-DrBillyBundrickField-1,85fe3760-2b89-11f1-b944-fd33f3f8af4a,96.32494,,,5.00226,,,,,,,0c0050aa-8559-44a4-9f63-ea09aa2300b3,2026-03-29,16:08:27.85,2026-03-29T11:08:27.8560000-05:00,2026-03-29T16:08:27.8560000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,e2e7d533-b983-4cdd-aaba-561f1df9c91f,37.4537,-95.83441,9.59698,1.92468,6.74228,-19.28642,-0.84063,-1.06576,0.23304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-29,11:08:48.57,2,5,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Studer, Halle",100000004828,Right,MIS_STA1_SB,Undefined,1,Top,1,3,1,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.09036,3.678404,-1.193155,986.909368,202.230458,12:45,2.07469,0.97734,5.73318,-25.881,5.29024,1.74567,2.22321,0.37614,58.04829,-3.478162,-0.729017,0.401836,50.71776,18.587027,175.811293,1058.620738,,,,76.2651,25.17145,173.691925,1.143844,-2.41012,4.82622,-1.2542,50,1.02903,2.2165,-96.5117,9.68533,-2.16168,21.8663,-27.84529,LOU_TEC_SB,MIS_STA1_SB,DrBillyBundrickField,D1,CUSA,20260329-DrBillyBundrickField-1,9261e880-2b89-11f1-b944-fd33f3f8af4a,93.80066,8.11992,,6.04207,,,,1.58416,1.95586,-0.31087,0c0050aa-8559-44a4-9f63-ea09aa2300b3,2026-03-29,16:08:48.57,2026-03-29T11:08:48.5760000-05:00,2026-03-29T16:08:48.5760000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,f794ac55-9a74-421d-ae9b-079fecf9c4e1,37.2608,-93.58093,10.93315,2.07706,5.95319,-13.92264,-0.97654,1.92677,-1.08084,21.653309,1.65886,-71.18646,2.97329,,,,,,,2.01342,23.02226,-21.70619,,,,,,,-0.33901,5.48494,1.88832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
11,2026-03-29,11:09:09.58,2,6,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Studer, Halle",100000004828,Right,MIS_STA1_SB,Undefined,1,Top,1,3,2,Fastball,,BallCalled,Walk,Undefined,Undefined,0,0,,64.97287,2.593765,0.895886,1422.448807,2.033474,6:00,1.92552,0.83606,5.63582,-34.87648,-5.05752,-0.20768,0.64781,1.38089,60.3453,-6.851147,0.840705,0.393022,8.54111,-2.118429,-47.463357,,,,,10.84755,1.5964,-55.401836,0.787135,0.53425,-5.8413,-0.63703,50,1.0643,-1.55074,-97.5333,9.07801,0.50308,18.54309,-37.67476,LOU_TEC_SB,MIS_STA1_SB,DrBillyBundrickField,D1,CUSA,20260329-DrBillyBundrickField-1,9ee64100-2b89-11f1-b944-fd33f3f8af4a,95.90403,0.37703,,4.62756,,,,-0.73164,0.37703,-1.41858,0c0050aa-8559-44a4-9f63-ea09aa2300b3,2026-03-29,16:09:09.58,2026-03-29T11:09:09.5870000-05:00,2026-03-29T16:09:09.5870000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,5ff4356c-5430-4de9-91fd-1744901d96bd,37.3617,-95.10015,9.27155,1.93115,4.13447,-18.83738,-0.83618,-1.48472,0.25154,,-0.76855,8.75462,,,,,,,,0.37905,-0.47901,,,,,,,,-1.37835,-9.54173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
12,2026-03-29,11:09:36.16,3,1,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Baber, Riley",100000004838,Right,MIS_STA1_SB,Undefined,1,Top,1,0,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.76514,3.554702,0.249174,1016.172099,194.112475,12:30,2.0039,0.89563,5.61389,-27.15773,3.42732,0.61953,1.97525,1.10369,58.92607,-3.901199,0.413434,0.398039,,,,,,,,,,,,-0.56287,2.96992,-0.84458,50,0.99344,-0.35229,-97.39107,9.64881,-0.51775,21.31033,-29.44219,LOU_TEC_SB,MIS_STA1_SB,DrBillyBundrickField,D1,CUSA,20260329-DrBillyBundrickField-1,aec36170-2b89-11f1-b944-fd33f3f8af4a,94.69526,,,5.83907,,,,,,,0c0050aa-8559-44a4-9f63-ea09aa2300b3,2026-03-29,16:09:36.16,2026-03-29T11:09:36.1670000-05:00,2026-03-29T16:09:36.1670000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,d95ac47a-920e-4710-958f-3f3c762f2087,37.37921,-94.58919,10.65517,2.00758,5.77775,-14.7211,-0.89537,-0.42036,-0.25887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,2026-03-29,11:09:55.80,3,2,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Baber, Riley",100000004838,Right,MIS_STA1_SB,Undefined,1,Top,1,0,1,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,56.53455,7.676891,-1.33517,999.176843,26.780744,7:00,1.9194,0.77546,5.72842,-46.63625,-6.42583,-3.85866,2.86743,-0.38178,51.43169,-4.995686,-2.357258,0.456395,,,,,,,,,,,,3.61988,-8.87949,-1.04851,50,-0.1717,1.5802,-84.41811,16.67227,2.51713,15.38374,-38.34852,LOU_TEC_SB,MIS_STA1_SB,DrBillyBundrickField,D1,CUSA,20260329-DrBillyBundrickField-1,ba78d130-2b89-11f1-b944-fd33f3f8af4a,82.58733,,,5.10286,,,,,,,0c0050aa-8559-44a4-9f63-ea09aa2300b3,2026-03-29,16:09:55.80,2026-03-29T11:09:55.8040000-05:00,2026-03-29T16:09:55.8040000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,587334ec-7738-4608-8ae7-71ba8e1ab23d,37.26846,-82.06521,7.69187,1.92973,10.80699,-19.17426,-0.77738,1.96518,1.25857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
14,2026-03-29,11:10:15.94,3,3,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Baber, Riley",100000004838,Right,MIS_STA1_SB,Undefined,1,Top,1,0,2,Curveball,,InPlay,Undefined,FlyBall,Out,1,0,,65.66254,3.502387,-0.67633,1131.239522,190.646792,12:15,1.9574,0.87895,5.3098,-27.02946,4.09815,0.53496,1.92521,0.49533,58.11226,-3.937091,-0.535696,0.401554,54.83654,53.876721,-14.21091,,,,,125.56562,123.77848,-9.572475,4.008582,-0.92457,3.15063,-1.02726,50,0.99813,1.23121,-99.34968,9.47243,-0.84992,27.73259,-29.27781,LOU_TEC_SB,MIS_STA1_SB,DrBillyBundrickField,D1,CUSA,20260329-DrBillyBundrickField-1,c6733930-2b89-11f1-b944-fd33f3f8af4a,93.86634,60.90487,,7.55028,,,,2.6032,2.0913,-0.52572,0c0050aa-8559-44a4-9f63-ea09aa2300b3,2026-03-29,16:10:15.94,2026-03-29T11:10:15.9420000-05:00,2026-03-29T16:10:15.9420000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,47d215c6-f285-4f52-9ab6-f5d0b5b83195,37.68274,-95.84978,13.86629,1.96042,5.77751,-14.6389,-0.87865,1.12395,-0.42496,189.868964,2.60371,45.94137,-10.46833,2.91989,-0.25461,-0.17448,0.08357,-0.0148,0.00094,2.09109,64.97012,-20.28931,1.47965,-0.00351,-0.17101,0.09228,-0.0212,0.00174,-0.52594,-11.63079,4.50809,-1.32886,0.1489,0.06225,-0.03346,0.00615,-0.0004,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
