PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,12:03:33.87,1,1,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Brennan, Skylar",100000004708,Left,ILL_FIG_SB,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.93924,7.054278,0.215445,1416.967934,28.713902,7:00,1.92979,1.18137,5.60465,-37.0727,-6.86008,-4.19528,3.29267,0.96706,59.71808,-2.94799,-0.893183,0.395608,,,,,,,,,,,,4.61296,-9.21749,-1.10589,50,0.06834,-0.86844,-96.80291,16.85783,4.29403,17.78925,-40.75422,MIN_GOL_SB,ILL_FIG_SB,JaneSageCowlesStadium,D1,B10,20260329-JaneSageCowlesStadium-1,3895f500-2b91-11f1-afa5-2da9460bdf49,95.27716,,,5.22116,,,,,,,7ec4085b-46eb-4a8d-aab9-d231b0c235fe,2026-03-29,17:03:33.87,2026-03-29T12:03:33.8712576-05:00,2026-03-29T17:03:33.8712576Z,,V3 - Softball,,,,"Johnson, Cassie",1000000000151,Right,MIN_GOL_SB,467e39c5-c986-48bb-a5fe-a7b4b775a392,37.39338,-94.45782,8.89463,1.93653,11.48534,-20.37711,-1.18306,-0.30238,2.14701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-29,12:03:51.49,1,2,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Brennan, Skylar",100000004708,Left,ILL_FIG_SB,Undefined,1,Top,0,1,0,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,52.12814,8.879766,-0.48429,871.598515,349.078795,5:45,1.81267,1.34523,5.80483,-58.25661,-10.6689,2.35461,2.54799,1.23902,47.13796,-6.95971,0.13982,0.496499,,,,,,,,,,,,-2.73366,-14.0691,-1.46795,50,-0.65592,0.87549,-77.82641,18.23009,-1.60052,13.88812,-40.41134,MIN_GOL_SB,ILL_FIG_SB,JaneSageCowlesStadium,D1,B10,20260329-JaneSageCowlesStadium-1,4323fbc0-2b91-11f1-afa5-2da9460bdf49,75.9164,,,4.99018,,,,,,,7ec4085b-46eb-4a8d-aab9-d231b0c235fe,2026-03-29,17:03:51.49,2026-03-29T12:03:51.4944512-05:00,2026-03-29T17:03:51.4944512Z,,V3 - Softball,,,,"Johnson, Cassie",1000000000151,Right,MIN_GOL_SB,1115412f-aa83-4c46-a20e-2b41df561faf,37.19417,-75.50663,6.94406,1.82537,11.48006,-20.20567,-1.34404,0.60815,-0.80026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-29,12:04:08.98,1,3,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Brennan, Skylar",100000004708,Left,ILL_FIG_SB,Undefined,1,Top,0,1,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.34712,4.078048,1.145684,1231.107718,21.027357,6:45,1.85872,1.28596,5.25719,-38.92565,-7.74847,-3.3037,1.20534,1.73712,59.51389,-6.346873,0.278178,0.401874,,,,,,,,,,,,3.94012,-9.21339,-1.01957,50,0.68969,-2.31146,-96.42014,11.74508,3.6212,18.30807,-40.6417,MIN_GOL_SB,ILL_FIG_SB,JaneSageCowlesStadium,D1,B10,20260329-JaneSageCowlesStadium-1,4d832a50-2b91-11f1-afa5-2da9460bdf49,93.79168,,,4.83324,,,,,,,7ec4085b-46eb-4a8d-aab9-d231b0c235fe,2026-03-29,17:04:08.98,2026-03-29T12:04:08.9866752-05:00,2026-03-29T17:04:08.9866752Z,,V3 - Softball,,,,"Johnson, Cassie",1000000000151,Right,MIN_GOL_SB,1d5321e0-dbe0-4837-8a20-df3b0901aef3,37.74124,-94.06367,9.15404,1.86477,6.51401,-20.32085,-1.28708,-1.84537,1.8106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-29,12:04:26.94,1,4,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Brennan, Skylar",100000004708,Left,ILL_FIG_SB,Undefined,1,Top,0,2,1,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.30863,5.016248,-2.133384,1280.885375,11.237736,6:15,1.90706,1.26819,5.57909,-36.83159,-6.175,-1.38488,2.00021,-0.18844,59.52675,-4.929255,-2.499382,0.398505,,,,,,,,,,,,0.79949,-7.89233,-1.72709,50,0.49842,3.41321,-96.14879,13.2884,0.73441,17.50953,-39.42387,MIN_GOL_SB,ILL_FIG_SB,JaneSageCowlesStadium,D1,B10,20260329-JaneSageCowlesStadium-1,5842ef70-2b91-11f1-afa5-2da9460bdf49,94.58469,,,4.78188,,,,,,,7ec4085b-46eb-4a8d-aab9-d231b0c235fe,2026-03-29,17:04:26.94,2026-03-29T12:04:26.9419520-05:00,2026-03-29T17:04:26.9419520Z,,V3 - Softball,,,,"Johnson, Cassie",1000000000151,Right,MIN_GOL_SB,665d16f6-7a3c-43dd-826f-def925813e2e,37.41906,-93.82972,8.75477,1.91263,8.06687,-19.71194,-1.26858,3.51048,0.3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-29,12:04:44.84,1,5,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Brennan, Skylar",100000004708,Left,ILL_FIG_SB,Undefined,1,Top,0,2,2,Fastball,,InPlay,Undefined,GroundBall,Single,0,0,,63.76045,4.104175,-1.806701,1224.524292,5.369594,6:15,1.88561,1.46134,5.70667,-35.95604,-5.2213,-0.56122,1.46486,0.28289,59.42491,-5.635893,-1.955756,0.399012,63.20497,7.177117,-33.220523,2087.027005,,,,76.51264,54.76063,-37.475287,0.905924,0.05484,-6.7217,-1.85778,50,0.65771,2.93735,-95.3933,11.71921,0.0499,16.41852,-38.28894,MIN_GOL_SB,ILL_FIG_SB,JaneSageCowlesStadium,D1,B10,20260329-JaneSageCowlesStadium-1,62dfea50-2b91-11f1-afa5-2da9460bdf49,94.46438,3.78316,,4.33554,,,,2.24823,1.5701,-0.31568,7ec4085b-46eb-4a8d-aab9-d231b0c235fe,2026-03-29,17:04:44.84,2026-03-29T12:04:44.8487424-05:00,2026-03-29T17:04:44.8487424Z,,V3 - Softball,,,,"Johnson, Cassie",1000000000151,Right,MIN_GOL_SB,89c53a6f-5957-4a1f-b9b7-05b3b59ac134,37.29204,-93.18042,8.20926,1.88945,6.55864,-19.14447,-1.46143,2.94407,0.02495,104.073899,2.24823,76.94262,-15.72478,2.67134,-0.52535,0.07815,-0.01101,0.0015,-0.00011,1.5701,11.58172,-15.49132,0.95496,-0.10547,0.02212,-0.00204,0.00026,-6E-05,-0.31568,-50.38921,-1.52491,1.18235,-0.39286,0.0983,-0.02177,0.00398,-0.00043,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2026-03-29,12:05:15.34,2,1,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Echevarria, Eden ",100000002131,Right,ILL_FIG_SB,Undefined,1,Top,0,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.39475,4.342438,-0.697467,1255.952946,36.013667,7:15,1.96676,1.10137,5.55711,-36.23439,-5.72642,-4.73177,1.6831,0.26848,59.74003,-5.444441,-1.949532,0.397537,,,,,,,,,,,,4.8991,-7.08709,-1.22202,50,0.71783,0.60354,-96.4125,12.07075,4.52757,17.52879,-38.72363,MIN_GOL_SB,ILL_FIG_SB,JaneSageCowlesStadium,D1,B10,20260329-JaneSageCowlesStadium-1,750b4080-2b91-11f1-afa5-2da9460bdf49,94.81481,,,4.65473,,,,,,,7ec4085b-46eb-4a8d-aab9-d231b0c235fe,2026-03-29,17:05:15.34,2026-03-29T12:05:15.3434112-05:00,2026-03-29T17:05:15.3434112Z,,V3 - Softball,,,,"Johnson, Cassie",1000000000151,Right,MIN_GOL_SB,d7dcbd8c-9f22-4985-8192-a342d8cb9663,37.44087,-94.10142,8.76439,1.97273,6.96525,-19.36182,-1.1031,1.20047,2.26378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-29,12:05:37.00,2,2,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Echevarria, Eden ",100000002131,Right,ILL_FIG_SB,Undefined,1,Top,0,0,1,Fastball,,InPlay,Undefined,Bunt,Sacrifice,0,0,,64.86416,5.448771,-1.291383,1294.046242,25.687877,6:45,1.93144,1.19585,5.47217,-37.88758,-7.10532,-3.87099,2.21955,0.05923,59.12016,-4.787786,-2.311713,0.39932,,,,,,,,,,,,3.6813,-9.35339,-1.45146,50,0.44468,1.73624,-97.30906,14.13234,3.38968,20.90739,-40.78646,MIN_GOL_SB,ILL_FIG_SB,JaneSageCowlesStadium,D1,B10,20260329-JaneSageCowlesStadium-1,81f18f20-2b91-11f1-afa5-2da9460bdf49,94.39148,,,5.744,,,,,,,7ec4085b-46eb-4a8d-aab9-d231b0c235fe,2026-03-29,17:05:37.00,2026-03-29T12:05:37.0032128-05:00,2026-03-29T17:05:37.0032128Z,,V3 - Softball,,,,"Johnson, Cassie",1000000000151,Right,MIN_GOL_SB,22c0d359-ae67-41eb-a46d-99b02d6dafcd,37.52534,-94.59085,10.45369,1.93735,8.8296,-20.39323,-1.19708,2.17694,1.69484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-29,12:06:11.34,3,1,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Caryl, Adisyn",100000004694,Right,ILL_FIG_SB,Undefined,1,Top,0,0,0,Changeup,,InPlay,Undefined,LineDrive,Out,1,0,,56.1264,4.48404,-0.504969,1987.65904,144.592054,10:45,1.90728,1.27151,5.19948,-30.49832,10.81115,-6.8787,2.21915,0.37761,51.63031,-3.806463,-2.305365,0.46259,36.91627,33.379721,-18.000096,1314.139613,,,,82.08593,75.06308,-17.692043,2.05464,7.20544,10.61099,-1.33454,50,0.69819,0.04613,-84.00611,10.05041,5.01137,14.21372,-24.7941,MIN_GOL_SB,ILL_FIG_SB,JaneSageCowlesStadium,D1,B10,20260329-JaneSageCowlesStadium-1,968336f0-2b91-11f1-afa5-2da9460bdf49,81.4813,16.47,,4.4961,,,,2.21192,2.25461,-0.39789,7ec4085b-46eb-4a8d-aab9-d231b0c235fe,2026-03-29,17:06:11.34,2026-03-29T12:06:11.3497600-05:00,2026-03-29T17:06:11.3497600Z,,V3 - Softball,,,,"Johnson, Cassie",1000000000151,Right,MIN_GOL_SB,9255b414-650d-4ada-8af2-7984c78b6a04,37.79562,-81.91512,7.10686,1.90842,6.40294,-12.39705,-1.27352,0.78336,2.50569,176.373104,2.21196,42.99723,-4.75816,1.22187,-0.13078,-0.08254,0.04401,-0.00332,-0.00096,2.25461,29.78922,-16.17073,0.61419,0.04743,-0.19195,0.17271,-0.06641,0.00923,-0.3979,-13.97091,1.33286,-0.22073,0.021,-0.00542,0.01592,-0.00931,0.0016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-03-29,12:06:33.48,4,1,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Donahue, Eileen",100000004703,Right,ILL_FIG_SB,Undefined,1,Top,1,0,0,Fastball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,65.11541,4.847189,0.530969,1363.402768,27.875317,7:00,1.90684,1.27914,5.63746,-36.07726,-6.30721,-3.74937,1.94882,1.29982,60.23081,-4.918767,-0.46324,0.3927,,,,,,,,,,,,4.26603,-7.97422,-1.13587,50,0.53628,-1.36589,-97.47322,13.09076,4.0231,18.14579,-39.69419,MIN_GOL_SB,ILL_FIG_SB,JaneSageCowlesStadium,D1,B10,20260329-JaneSageCowlesStadium-1,a3a248d0-2b91-11f1-afa5-2da9460bdf49,95.98275,,,4.8846,,,,,,,7ec4085b-46eb-4a8d-aab9-d231b0c235fe,2026-03-29,17:06:33.48,2026-03-29T12:06:33.4857216-05:00,2026-03-29T17:06:33.4857216Z,,V3 - Softball,,,,"Johnson, Cassie",1000000000151,Right,MIN_GOL_SB,97c8c5c8-0972-4bcf-8b65-fbc4555a2456,37.3606,-95.09114,9.0729,1.91274,7.87992,-19.84709,-1.28051,-0.83776,2.01155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-29,12:06:50.43,4,2,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Donahue, Eileen",100000004703,Right,ILL_FIG_SB,Undefined,1,Top,1,0,1,Changeup,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,56.85225,4.987998,-1.142287,1933.033526,145.423841,10:45,1.91936,1.34769,5.22712,-29.28045,11.03831,-6.84252,2.65304,0.05256,52.17348,-2.985696,-2.933195,0.457009,,,,,,,,,,,,7.02516,10.60209,-1.54453,50,0.60695,0.97797,-85.09444,10.81252,4.998,14.90914,-24.63129,MIN_GOL_SB,ILL_FIG_SB,JaneSageCowlesStadium,D1,B10,20260329-JaneSageCowlesStadium-1,adc46e60-2b91-11f1-afa5-2da9460bdf49,82.47633,,,4.67877,,,,,,,7ec4085b-46eb-4a8d-aab9-d231b0c235fe,2026-03-29,17:06:50.43,2026-03-29T12:06:50.4318464-05:00,2026-03-29T17:06:50.4318464Z,,V3 - Softball,,,,"Johnson, Cassie",1000000000151,Right,MIN_GOL_SB,57b6e039-4e4e-4e1a-85ae-c93a01b5ffc5,37.76914,-82.92383,7.45457,1.92009,7.22646,-12.31565,-1.34918,1.70562,2.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
