PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-02,18:02:17.68,1,1,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Brockenbrough, Jamison",100000002686,Left,CLE_TIG_SB,Undefined,1,Top,0,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,70.38767,6.167757,1.045145,1010.691987,333.772438,5:15,1.84986,-0.5157,5.65108,-33.16136,-7.72567,4.11551,2.9701,0.48278,65.19012,-2.775751,2.134779,0.362989,,,,,,,,,,,,-4.1428,-9.83201,0.71823,50,0.21058,-1.36913,-104.96968,16.1203,-4.56789,19.72186,-43.01494,VIR_TEC_SB,CLE_TIG_SB,TechSoftballPark,D1,ACC,20260402-TechSoftballPark-1,9da113c0-2edf-11f1-99e3-0738214debd4,103.8391,,,5.19755,,,,,,,5b3031a3-fefd-4dc3-bc57-b8329baa7d07,2026-04-02,22:02:17.68,2026-04-02T18:02:17.6878080-04:00,2026-04-02T22:02:17.6878080Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,a8bcb101-ec5f-4ddd-aeee-e43958cca834,37.34728,-102.56492,9.86093,1.85642,10.87533,-21.50747,0.51733,-1.92611,-2.28395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-02,18:02:35.37,1,2,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Brockenbrough, Jamison",100000002686,Left,CLE_TIG_SB,Undefined,1,Top,0,1,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,69.58581,6.173577,1.470635,1005.941723,326.438333,5:00,1.78652,-0.70523,5.71492,-32.59045,-6.80681,4.90268,2.95175,0.62418,64.85602,-2.621375,2.770434,0.365463,,,,,,,,,,,,-4.9628,-8.82453,0.99554,50,0.13098,-1.99304,-103.6026,15.97614,-5.37753,17.80066,-41.73604,VIR_TEC_SB,CLE_TIG_SB,TechSoftballPark,D1,ACC,20260402-TechSoftballPark-1,a826dd20-2edf-11f1-99e3-0738214debd4,103.13604,,,4.72979,,,,,,,5b3031a3-fefd-4dc3-bc57-b8329baa7d07,2026-04-02,22:02:35.37,2026-04-02T18:02:35.3744384-04:00,2026-04-02T22:02:35.3744384Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,27ae0e86-bb34-474c-8d62-3efbce4f8179,37.28395,-101.39423,8.90033,1.79181,10.79832,-20.86802,0.7069,-2.66018,-2.68876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-02,18:02:53.15,1,3,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Brockenbrough, Jamison",100000002686,Left,CLE_TIG_SB,Undefined,1,Top,0,1,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,71.2794,3.016343,1.322177,1196.460408,280.288176,3:15,1.76454,-0.58484,5.94901,-23.98281,-0.06118,3.04284,1.64419,0.49119,67.13038,-3.530801,2.13636,0.35202,,,,,,,,,,,,-3.06658,-0.51823,0.85857,50,0.85339,-2.00302,-106.43356,9.44595,-3.53465,17.43995,-32.7714,VIR_TEC_SB,CLE_TIG_SB,TechSoftballPark,D1,ACC,20260402-TechSoftballPark-1,b2c49b50-2edf-11f1-99e3-0738214debd4,107.07486,,,4.14902,,,,,,,5b3031a3-fefd-4dc3-bc57-b8329baa7d07,2026-04-02,22:02:53.15,2026-04-02T18:02:53.1501056-04:00,2026-04-02T22:02:53.1501056Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,2d7c9586-dba3-4634-8ca7-24eb969e88ee,37.04876,-104.28981,8.71998,1.76692,5.41763,-16.3857,0.58565,-2.4375,-1.76733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-02,18:03:13.49,1,4,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Brockenbrough, Jamison",100000002686,Left,CLE_TIG_SB,Undefined,1,Top,0,2,1,Dropball,,InPlay,Undefined,LineDrive,Out,1,0,,70.6333,4.964621,1.095396,1032.079702,347.460626,5:30,1.78426,-0.61283,5.85361,-33.86573,-9.04591,2.1439,2.0664,0.249,65.76237,-4.218993,1.667056,0.358567,72.55759,18.7213,-19.730278,2227.640679,98.28453,22.37726,-49.3976,192.45869,178.31296,-32.159054,2.564461,-2.05331,-11.24379,0.84177,50,0.36821,-1.7126,-105.57553,14.29273,-2.29478,19.61961,-44.74018,VIR_TEC_SB,CLE_TIG_SB,TechSoftballPark,D1,ACC,20260402-TechSoftballPark-1,bedaa1a0-2edf-11f1-99e3-0738214debd4,105.11953,22.44114,,4.87094,,,,0.5592,2.11181,-0.28557,5b3031a3-fefd-4dc3-bc57-b8329baa7d07,2026-04-02,22:03:13.49,2026-04-02T18:03:13.4960640-04:00,2026-04-02T22:03:13.4960640Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,ad326a34-9e66-4136-8ac4-93efabcf1ba0,37.14566,-103.15909,9.8098,1.78923,8.78233,-22.37009,0.61344,-1.99524,-1.14739,123.934803,0.5592,94.87025,-18.54859,3.71622,-0.71501,0.11706,-0.018,0.00239,-0.00016,2.1118,34.15627,-14.89769,0.4099,0.0651,-0.02871,0.00855,-0.00108,5E-05,-0.28556,-34.025,-5.03869,2.01619,-0.59413,0.13807,-0.02622,0.00338,-0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-02,18:03:45.17,2,1,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Channell, Kiley",100000002520,Right,CLE_TIG_SB,Undefined,1,Top,1,0,0,Dropball,,InPlay,Undefined,GroundBall,Out,1,0,,71.41536,5.065983,1.319163,1094.336448,347.246277,5:30,1.7579,-0.64918,5.7506,-34.35171,-9.80579,2.36043,2.07265,0.37267,66.17098,-4.227272,1.946539,0.356584,67.47673,-16.419315,-2.55035,,,,,6.63257,6.56354,-5.704262,0.067174,-2.1787,-12.11886,0.9251,50,0.33522,-2.12863,-106.83451,14.59721,-2.47656,21.23241,-45.94983,VIR_TEC_SB,CLE_TIG_SB,TechSoftballPark,D1,ACC,20260402-TechSoftballPark-1,d1bb3e10-2edf-11f1-99e3-0738214debd4,105.70437,1.88447,,5.24437,,,,0.21113,1.88447,-0.37468,5b3031a3-fefd-4dc3-bc57-b8329baa7d07,2026-04-02,22:03:45.17,2026-04-02T18:03:45.1762688-04:00,2026-04-02T22:03:45.1762688Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,e5bd97d7-0e0b-4e3b-9cc7-ed7f3e8ae076,37.24847,-104.26946,10.61621,1.76337,9.0461,-22.97492,0.64988,-2.42782,-1.23828,180,0.20821,95.10543,,,,,,,,1.88533,-28.05368,,,,,,,,-0.37455,-4.23613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-02,18:04:15.13,3,1,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Pavese, Mac",1000000000646,Left,CLE_TIG_SB,Undefined,1,Top,2,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.53289,4.900488,0.24126,1079.698768,336.393768,5:15,1.78649,-0.80931,5.99135,-32.00628,-8.04288,3.76012,2.17094,-0.3461,66.68399,-3.814845,1.24813,0.352327,,,,,,,,,,,,-4.11937,-10.02398,0.83451,50,0.38415,0.09631,-106.91714,14.13927,-4.73242,19.73042,-43.68978,VIR_TEC_SB,CLE_TIG_SB,TechSoftballPark,D1,ACC,20260402-TechSoftballPark-1,e39d7d50-2edf-11f1-99e3-0738214debd4,106.98143,,,4.84889,,,,,,,5b3031a3-fefd-4dc3-bc57-b8329baa7d07,2026-04-02,22:04:15.13,2026-04-02T18:04:15.1348224-04:00,2026-04-02T22:04:15.1348224Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,d1ee0a6c-88bd-422f-8428-01bf5f466b1d,37.00761,-104.49203,9.86521,1.79202,8.76926,-21.84489,0.81061,-0.48536,-2.36621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-02,18:04:31.93,3,2,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Pavese, Mac",1000000000646,Left,CLE_TIG_SB,Undefined,1,Top,2,0,1,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,71.4248,4.620746,0.650912,1318.223378,285.990868,3:30,1.67705,-0.56294,5.83175,-25.58745,-1.33047,6.59926,2.43449,0.39318,66.54719,-2.3502,2.409439,0.354478,,,,,,,,,,,,-7.14622,-2.50669,0.65715,50,0.40702,-0.26141,-106.71334,12.59678,-8.17965,19.63008,-35.04324,VIR_TEC_SB,CLE_TIG_SB,TechSoftballPark,D1,ACC,20260402-TechSoftballPark-1,ed9f97c0-2edf-11f1-99e3-0738214debd4,106.33214,,,4.87761,,,,,,,5b3031a3-fefd-4dc3-bc57-b8329baa7d07,2026-04-02,22:04:31.93,2026-04-02T18:04:31.9398912-04:00,2026-04-02T22:04:31.9398912Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,36b28c40-921b-42d2-9f12-17ff4feed35d,37.16602,-104.3258,9.81504,1.67993,8.33459,-17.52162,0.56486,-1.25627,-4.08983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-02,18:04:54.31,3,3,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Pavese, Mac",1000000000646,Left,CLE_TIG_SB,Undefined,1,Top,2,0,2,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,71.87493,4.407201,-0.281754,1310.025932,295.311924,3:45,1.79446,-0.5682,6.17708,-24.47427,-1.13268,3.45481,2.48382,-0.45441,67.32727,-2.315927,0.648461,0.347726,58.36867,-31.093204,-74.66082,,,,,3.89081,0.71627,-64.383265,0.055662,-4.01646,-2.20496,0.47306,50,0.53483,1.0646,-107.32694,12.3239,-4.68675,18.5079,-34.74699,VIR_TEC_SB,CLE_TIG_SB,TechSoftballPark,D1,ACC,20260402-TechSoftballPark-1,faef0870-2edf-11f1-99e3-0738214debd4,108.39703,2.47361,,4.54765,,,,0.59717,2.47361,0.44718,5b3031a3-fefd-4dc3-bc57-b8329baa7d07,2026-04-02,22:04:54.31,2026-04-02T18:04:54.3102464-04:00,2026-04-02T22:04:54.3102464Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,dc183f92-27ed-4121-8dbf-eb321512e152,36.82102,-105.02972,9.25395,1.79683,8.01106,-17.37349,0.56909,0.48288,-2.34337,,0.59626,19.49317,,,,,,,,2.47567,-44.4402,,,,,,,,0.45047,-71.06408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2026-04-02,18:05:17.63,3,4,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Pavese, Mac",1000000000646,Left,CLE_TIG_SB,Undefined,1,Top,2,0,2,Dropball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,68.23676,4.582445,1.812109,1045.667911,343.834703,5:30,1.79747,-0.59399,5.57925,-36.89683,-9.5467,2.98811,1.6099,0.79411,62.8529,-5.375925,2.602605,0.376401,,,,,,,,,,,,-2.57835,-11.44241,0.97217,50,0.49805,-2.86086,-102.29955,13.22721,-2.65598,21.26677,-43.96101,VIR_TEC_SB,CLE_TIG_SB,TechSoftballPark,D1,ACC,20260402-TechSoftballPark-1,08e4f250-2ee0-11f1-99e3-0738214debd4,100.139,,,5.38386,,,,,,,5b3031a3-fefd-4dc3-bc57-b8329baa7d07,2026-04-02,22:05:17.63,2026-04-02T18:05:17.6339456-04:00,2026-04-02T22:05:17.6339456Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,e1e9c3bf-6a78-4479-a348-a8a14f7a8a66,37.41897,-99.6498,10.63339,1.80488,7.74985,-21.98051,0.59511,-3.19178,-1.32799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-02,18:07:38.09,1,1,"Maness, Sierra",1000000000649,Right,CLE_TIG_SB,"Foster, Addison",100000004360,Left,VIR_TEC_SB,Undefined,1,Bottom,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,68.2932,6.133743,0.614249,1381.936519,344.801493,5:30,1.68083,-0.23316,6.95833,-28.74714,-4.14736,1.24925,3.00642,0.24216,64.44345,-1.88608,0.957634,0.356974,,,,,,,,,,,,-1.33516,-5.99481,0.36985,50,-0.15561,-0.8837,-101.53944,15.92825,-1.41451,14.32683,-38.5251,VIR_TEC_SB,CLE_TIG_SB,TechSoftballPark,D1,ACC,20260402-TechSoftballPark-1,5ca141a0-2ee0-11f1-99e3-0738214debd4,105.5887,,,3.84975,,,,,,,5b3031a3-fefd-4dc3-bc57-b8329baa7d07,2026-04-02,22:07:38.09,2026-04-02T18:07:38.0952064-04:00,2026-04-02T22:07:38.0952064Z,,V3 - Softball,,,,"Hicks, Corri",100000002008,Right,CLE_TIG_SB,cdfdb911-0dc7-4afc-99ed-7e76b938b588,36.04072,-99.55035,7.16342,1.68451,10.57956,-19.26255,0.23353,-1.08008,-0.70726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
