PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-02,18:05:09.50,1,1,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Russell, Faith",1000000000269,Right,TUL_GOL_SB,Undefined,1,Top,0,0,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.1156,4.578161,-0.244192,1541.952316,136.437617,10:30,1.83587,1.05997,6.06794,-28.69131,1.86618,-1.13032,2.28883,0.81442,59.01021,-3.303043,-0.547471,0.39786,,,,,,,,,,,,1.1974,1.30118,-1.10653,50,0.51019,0.25398,-94.22401,11.64754,1.07384,14.64431,-31.00714,WIC_STA_SB,TUL_GOL_SB,WilkinsStadium,D1,AME,20260402-WilkinsStadium-1,65eae7e0-2ee8-11f1-9301-9f5398088830,94.73794,,,4.10539,,,,,,,29fb7dbe-3ef0-42af-9dcf-8f8b430e854a,2026-04-02,23:05:09.50,2026-04-02T18:05:09.5091200-05:00,2026-04-02T23:05:09.5091200Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,541d396f-90ad-4d5c-93a8-9c8f21729cab,36.92871,-92.17008,7.32216,1.83884,7.29865,-15.50357,-1.06034,0.40459,0.53692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-02,18:05:27.29,1,2,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Russell, Faith",1000000000269,Right,TUL_GOL_SB,Undefined,1,Top,0,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.38762,5.108456,1.803067,1449.381162,35.306556,7:15,1.67928,0.97064,5.48144,-33.66809,-1.75303,-1.86969,2.10259,1.95132,58.24919,-4.005262,1.310166,0.406602,,,,,,,,,,,,2.64362,-3.04555,-0.56581,50,0.2922,-3.19886,-94.82185,12.7669,2.34535,17.95428,-34.87597,WIC_STA_SB,TUL_GOL_SB,WilkinsStadium,D1,AME,20260402-WilkinsStadium-1,70834ee0-2ee8-11f1-9301-9f5398088830,92.70109,,,5.13843,,,,,,,29fb7dbe-3ef0-42af-9dcf-8f8b430e854a,2026-04-02,23:05:27.29,2026-04-02T18:05:27.2956928-05:00,2026-04-02T23:05:27.2956928Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,5f4195ab-6c78-41e6-a0c0-ba0c007d7551,37.51444,-92.42751,8.97714,1.68464,8.11593,-17.43799,-0.97155,-2.88609,1.17268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-02,18:05:47.90,1,3,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Russell, Faith",1000000000269,Right,TUL_GOL_SB,Undefined,1,Top,0,1,1,Curveball,,InPlay,Undefined,GroundBall,Out,1,0,,64.12129,4.523229,-1.834138,1524.099995,79.722115,8:45,1.56793,0.65977,5.69442,-30.21891,0.11244,-3.20847,1.8903,-0.75687,59.85507,-3.681314,-2.685127,0.396385,46.04699,-19.252791,-12.76282,,,,,5.49952,5.33746,-3.493751,0.079642,3.01036,-0.79658,-1.04166,50,0.29272,2.65518,-95.71277,11.73594,2.77579,15.59966,-32.90855,WIC_STA_SB,TUL_GOL_SB,WilkinsStadium,D1,AME,20260402-WilkinsStadium-1,7cc6a6c0-2ee8-11f1-9301-9f5398088830,95.09047,1.78412,,4.26622,,,,0.50738,1.78412,0.79333,29fb7dbe-3ef0-42af-9dcf-8f8b430e854a,2026-04-02,23:05:47.90,2026-04-02T18:05:47.9084544-05:00,2026-04-02T23:05:47.9084544Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,bc54bd90-edce-44b6-96f2-3807017b6fb1,37.30311,-93.62051,7.79983,1.57078,7.32217,-16.45428,-0.66057,3.02748,1.3879,180,0.50262,62.55418,,,,,,,,1.78582,-22.4018,,,,,,,,0.7944,-14.16928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-02,18:06:17.85,2,1,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Skaggs, Claira",1000000000265,Right,TUL_GOL_SB,Undefined,1,Top,1,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.49767,5.963958,0.31286,1489.265142,82.772169,8:45,1.76625,1.03643,5.643,-30.85966,0.68118,-1.38504,2.94929,1.11726,58.28303,-2.438762,-0.053951,0.404211,,,,,,,,,,,,1.60559,-0.68957,-0.95825,50,0.18359,-0.68003,-94.8676,13.96847,1.42881,17.69539,-32.78768,WIC_STA_SB,TUL_GOL_SB,WilkinsStadium,D1,AME,20260402-WilkinsStadium-1,8ea870d0-2ee8-11f1-9301-9f5398088830,93.24948,,,5.21464,,,,,,,29fb7dbe-3ef0-42af-9dcf-8f8b430e854a,2026-04-02,23:06:17.85,2026-04-02T18:06:17.8509824-05:00,2026-04-02T23:06:17.8509824Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,a5148bbd-bb13-4eba-adf3-d858fb446c88,37.35217,-92.47835,8.84769,1.77075,9.54144,-16.39384,-1.03705,-0.48711,0.71441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-02,18:06:37.22,2,2,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Skaggs, Claira",1000000000265,Right,TUL_GOL_SB,Undefined,1,Top,1,1,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.56513,5.794896,-0.540434,1627.78176,115.036559,9:45,1.68819,1.04987,5.60262,-29.47757,1.92532,-2.39063,2.88344,0.51126,58.59939,-2.22197,-1.172894,0.403326,,,,,,,,,,,,2.41386,0.75957,-1.15252,50,0.15581,0.6114,-94.8885,13.53941,2.16161,16.9317,-31.49388,WIC_STA_SB,TUL_GOL_SB,WilkinsStadium,D1,AME,20260402-WilkinsStadium-1,9a3215a0-2ee8-11f1-9301-9f5398088830,93.45405,,,4.96574,,,,,,,29fb7dbe-3ef0-42af-9dcf-8f8b430e854a,2026-04-02,23:06:37.22,2026-04-02T18:06:37.2232704-05:00,2026-04-02T23:06:37.2232704Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,b389abad-fd35-42c2-bc6d-741289f91219,37.39292,-92.6116,8.46585,1.69177,9.30426,-15.74694,-1.05076,0.90209,1.0808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-02,18:07:00.24,2,3,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Skaggs, Claira",1000000000265,Right,TUL_GOL_SB,Undefined,1,Top,1,1,1,Offspeed,,BallCalled,Undefined,Undefined,Undefined,0,0,,53.9914,4.212051,2.989183,1953.726156,148.428742,11:00,1.72195,0.77691,5.78283,-30.1236,13.60973,-7.52721,1.85184,2.01909,49.14208,-4.163826,0.989987,0.475968,,,,,,,,,,,,9.34182,14.07709,-0.06045,50,0.4966,-4.97149,-80.97048,9.51079,5.95411,14.50112,-23.20184,WIC_STA_SB,TUL_GOL_SB,WilkinsStadium,D1,AME,20260402-WilkinsStadium-1,a7f5a4e0-2ee8-11f1-9301-9f5398088830,79.19111,,,4.84932,,,,,,,29fb7dbe-3ef0-42af-9dcf-8f8b430e854a,2026-04-02,23:07:00.24,2026-04-02T18:07:00.2468864-05:00,2026-04-02T23:07:00.2468864Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,468dfe0c-7641-45ad-abdf-16ae12d01373,37.20873,-78.64632,7.25056,1.72294,5.79212,-11.60092,-0.78077,-4.0172,2.97705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-02,18:07:22.04,2,4,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Skaggs, Claira",1000000000265,Right,TUL_GOL_SB,Undefined,1,Top,1,2,1,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.58568,5.450745,0.330342,1537.459666,113.633024,9:45,1.61558,0.77965,5.65154,-28.89513,2.03036,-3.05638,2.63638,0.73213,59.27533,-2.393515,-0.479673,0.400248,,,,,,,,,,,,3.44264,1.16858,-0.68442,50,0.15105,-0.92389,-94.73264,12.96963,3.12025,14.82594,-31.11489,WIC_STA_SB,TUL_GOL_SB,WilkinsStadium,D1,AME,20260402-WilkinsStadium-1,b4ee4300-2ee8-11f1-9301-9f5398088830,94.17262,,,4.31035,,,,,,,29fb7dbe-3ef0-42af-9dcf-8f8b430e854a,2026-04-02,23:07:22.04,2026-04-02T18:07:22.0437504-05:00,2026-04-02T23:07:22.0437504Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,ac462f1b-906f-49b6-83e4-c7cb3b786013,37.34507,-92.73096,7.41297,1.61853,8.76874,-15.55744,-0.78072,-0.50262,1.56012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-02,18:07:43.12,2,5,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Skaggs, Claira",1000000000265,Right,TUL_GOL_SB,Undefined,1,Top,1,2,2,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,63.89026,5.424079,-0.516632,1543.100997,135.07947,10:30,1.64972,1.04244,5.4603,-29.18352,2.08315,-1.28122,2.64785,0.60994,58.98742,-2.483492,-0.854382,0.40245,,,,,,,,,,,,1.21847,1.00008,-1.1461,50,0.22131,0.708,-95.39828,12.89434,1.10414,16.96092,-31.26782,WIC_STA_SB,TUL_GOL_SB,WilkinsStadium,D1,AME,20260402-WilkinsStadium-1,c175a8c0-2ee8-11f1-9301-9f5398088830,93.65736,,,4.90284,,,,,,,29fb7dbe-3ef0-42af-9dcf-8f8b430e854a,2026-04-02,23:07:43.12,2026-04-02T18:07:43.1256576-05:00,2026-04-02T23:07:43.1256576Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,a042bf05-b1ae-45d9-8e7a-56fe6e8bbcab,37.53575,-93.1559,8.48046,1.65279,8.76047,-15.63391,-1.04284,0.85398,0.55207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-02,18:08:07.85,2,6,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Skaggs, Claira",1000000000265,Right,TUL_GOL_SB,Undefined,1,Top,1,2,2,Riseball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,63.25481,7.150588,-0.676334,1630.74037,179.789216,12:00,1.59711,0.71923,5.50073,-26.37104,5.54874,-0.0176,3.92653,0.29181,58.38753,0.000873,-0.680977,0.406632,,,,,,,,,,,,-0.18886,4.35788,-0.86668,50,-0.20156,1.10749,-93.99064,15.28979,-0.16725,15.59127,-28.31511,WIC_STA_SB,TUL_GOL_SB,WilkinsStadium,D1,AME,20260402-WilkinsStadium-1,d03a2d40-2ee8-11f1-9301-9f5398088830,92.69427,,,4.86728,,,,,,,29fb7dbe-3ef0-42af-9dcf-8f8b430e854a,2026-04-02,23:08:07.85,2026-04-02T18:08:07.8500000-05:00,2026-04-02T23:08:07.8500000Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,edceb006-0fcb-46f7-982c-55f1a50fa208,37.49411,-91.89273,7.79563,1.59946,11.47981,-14.15755,-0.71917,1.08499,-0.08363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.40356,2.510464,1.578189,0.932275,-3.07478,3.88819,-0.2384,-1.84839,5.64944,-1.96731,41.89761,5.74093,40.45538,-1.82612,50.79882,-4.21446,5.67424,13.98078,-14.95929,-1.94788,48.9902,-3.78959,High,High,High,,,High,Medium,Medium
10,2026-04-02,18:08:42.08,3,1,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Turner, Amber",1000000000281,Right,TUL_GOL_SB,Undefined,1,Top,2,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.27104,6.116512,-1.899108,1485.936962,35.1615,7:15,1.65438,0.49307,5.46335,-31.52872,-0.57752,-0.95713,2.89976,-0.78435,59.34223,-2.393337,-2.151004,0.400415,,,,,,,,,,,,0.42098,-2.00579,-0.90007,50,0.05921,3.06304,-95.76993,14.38608,0.38531,16.79394,-34.00986,WIC_STA_SB,TUL_GOL_SB,WilkinsStadium,D1,AME,20260402-WilkinsStadium-1,e490c7e0-2ee8-11f1-9301-9f5398088830,94.13343,,,4.92881,,,,,,,29fb7dbe-3ef0-42af-9dcf-8f8b430e854a,2026-04-02,23:08:42.08,2026-04-02T18:08:42.0816896-05:00,2026-04-02T23:08:42.0816896Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,f953c778-10d6-43f3-824e-40cbff4f61dd,37.5328,-93.55818,8.39697,1.6589,9.907,-17.00493,-0.49332,3.11379,0.19266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
