PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,19:03:05.24,1,1,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Langford, Indiana",100000001322,Left,MIC_WOL_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.97939,0.996485,1.115666,2461.348483,157.427522,11:15,1.81011,1.47916,4.91674,-22.60391,9.18902,-3.48508,0.56435,1.9028,59.63222,-5.076899,0.208478,0.405823,,,,,,,,,,,,4.05603,9.8965,-1.22499,50,1.42449,-2.26139,-95.7483,4.52182,3.71909,16.4779,-23.09963,NOR_WIL_SB,MIC_WOL_SB,ParkwayBankSportsComplex,D1,B10,20260403-ParkwayBankSportsComplex-1,a7f088d0-2fb9-11f1-a3ea-5722bf82d2b8,92.87903,,,4.34717,,,,,,,33672165-d379-44cf-a021-450c4215079c,2026-04-04,00:03:05.24,2026-04-03T19:03:05.2476416-05:00,2026-04-04T00:03:05.2476416Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,ebff4e00-6902-4238-b3bb-04ea48209fb6,38.0794,-93.67435,8.23895,1.81066,1.61445,-11.54981,-1.48016,-1.7933,1.85955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-03,19:03:20.21,1,2,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Langford, Indiana",100000001322,Left,MIC_WOL_SB,Undefined,1,Top,0,1,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.56028,3.743519,-0.826673,3084.789669,185.131581,12:15,1.79889,1.42829,5.13041,-24.5282,5.38729,0.42063,2.14024,0.93736,61.07077,-2.857084,-0.716674,0.393658,,,,,,,,,,,,-0.69504,5.10441,-1.60606,50,0.8064,1.46215,-97.86543,9.64125,-0.66968,16.38841,-27.25601,NOR_WIL_SB,MIC_WOL_SB,ParkwayBankSportsComplex,D1,B10,20260403-ParkwayBankSportsComplex-1,b0e92280-2fb9-11f1-a3ea-5722bf82d2b8,95.74914,,,4.48951,,,,,,,33672165-d379-44cf-a021-450c4215079c,2026-04-04,00:03:20.21,2026-04-03T19:03:20.2148352-05:00,2026-04-04T00:03:20.2148352Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,f1027158-754a-45eb-8be8-46161bf75102,37.86567,-95.81189,8.19421,1.80052,6.22594,-13.62801,-1.4281,1.37823,-0.33484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-03,19:03:35.90,1,3,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Langford, Indiana",100000001322,Left,MIC_WOL_SB,Undefined,1,Top,0,1,1,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.80622,2.822354,-0.621926,3375.494031,187.835445,12:15,1.81782,1.42152,5.23026,-24.21108,5.23193,0.62555,1.59252,1.07903,61.46774,-3.707213,-0.457776,0.390537,,,,,,,,,,,,-0.85701,5.24048,-1.55852,50,1.01405,1.14395,-98.33482,8.10677,-0.83451,16.40062,-27.07123,NOR_WIL_SB,MIC_WOL_SB,ParkwayBankSportsComplex,D1,B10,20260403-ParkwayBankSportsComplex-1,ba3fe1c0-2fb9-11f1-a3ea-5722bf82d2b8,96.5143,,,4.33849,,,,,,,33672165-d379-44cf-a021-450c4215079c,2026-04-04,00:03:35.90,2026-04-03T19:03:35.9051264-05:00,2026-04-04T00:03:35.9051264Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,dba5d67d-a791-47d7-a373-68746574c5b8,37.76615,-96.27279,8.20031,1.81933,4.70315,-13.53562,-1.42129,1.03903,-0.41726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-03,19:03:52.56,1,4,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Langford, Indiana",100000001322,Left,MIC_WOL_SB,Undefined,1,Top,0,1,2,Riseball,,InPlay,Undefined,GroundBall,Out,1,0,,65.46358,3.529615,0.440976,1751.357945,159.075557,11:15,1.81074,1.38674,5.54272,-23.01104,6.52796,-2.20307,2.11626,1.48055,60.52822,-2.763808,-0.141916,0.391173,29.72697,20.549282,-28.776531,4032.969132,,,,49.57955,41.13358,-28.91964,1.242332,2.57457,6.37992,-1.27395,50,0.83239,-1.03477,-98.08076,9.25211,2.4584,18.36856,-26.08201,NOR_WIL_SB,MIC_WOL_SB,ParkwayBankSportsComplex,D1,B10,20260403-ParkwayBankSportsComplex-1,c41ac520-2fb9-11f1-a3ea-5722bf82d2b8,96.35737,6.27247,,4.93537,,,,3.37791,2.20452,-1.48486,33672165-d379-44cf-a021-450c4215079c,2026-04-04,00:03:52.56,2026-04-03T19:03:52.5661696-05:00,2026-04-04T00:03:52.5661696Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,d0fe8d83-d9a6-42c4-a515-edd8388533a8,37.45384,-95.70228,9.18428,1.81176,5.87483,-13.041,-1.38733,-0.71644,1.2292,,3.37791,35.7843,-3.40847,0.45188,-0.3366,0.61617,-0.60645,0.33497,-0.06463,2.20452,15.30412,-14.9439,1.10736,-0.17017,0.20544,-0.30554,0.20883,-0.05421,-1.48486,-19.65344,1.75623,-0.26065,0.0069,-0.37848,0.48479,-0.30932,0.07919,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
5,2026-04-03,19:04:26.83,2,1,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Conway, Jenissa",100000001296,Right,MIC_WOL_SB,Undefined,1,Top,1,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.53984,6.374894,-1.374006,1757.869053,89.467749,9:00,1.8287,1.47401,5.09726,-29.5858,0.69579,-3.19638,3.44077,0.33251,60.68212,-1.528517,-2.20704,0.39606,,,,,,,,,,,,2.97862,-0.71854,-1.74417,50,0.24757,1.96666,-97.47346,14.68907,2.84055,16.57583,-32.85927,NOR_WIL_SB,MIC_WOL_SB,ParkwayBankSportsComplex,D1,B10,20260403-ParkwayBankSportsComplex-1,d8958990-2fb9-11f1-a3ea-5722bf82d2b8,95.16853,,,4.85772,,,,,,,33672165-d379-44cf-a021-450c4215079c,2026-04-04,00:04:26.83,2026-04-03T19:04:26.8373504-05:00,2026-04-04T00:04:26.8373504Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,7d63d234-a023-4ce6-92f9-c6ccd6dd6929,37.89934,-95.39349,8.28792,1.83209,10.56582,-16.42964,-1.47503,2.3231,1.42028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-03,19:04:41.79,2,2,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Conway, Jenissa",100000001296,Right,MIC_WOL_SB,Undefined,1,Top,1,1,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.68346,3.873055,-0.260517,2890.715438,151.902276,11:00,1.77523,1.45007,5.11987,-23.93293,5.98776,-2.8061,2.24945,1.05044,60.97802,-2.578876,-0.994133,0.393692,,,,,,,,,,,,2.90236,5.67315,-1.48758,50,0.76174,0.11774,-98.10574,9.79289,2.79795,17.09421,-26.70501,NOR_WIL_SB,MIC_WOL_SB,ParkwayBankSportsComplex,D1,B10,20260403-ParkwayBankSportsComplex-1,e17ee100-2fb9-11f1-a3ea-5722bf82d2b8,95.74082,,,4.70544,,,,,,,33672165-d379-44cf-a021-450c4215079c,2026-04-04,00:04:41.79,2026-04-03T19:04:41.7902592-05:00,2026-04-04T00:04:41.7902592Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,175942bc-4b0a-4737-9db3-3d4c6a8ce11d,37.87559,-95.9699,8.5471,1.77687,6.45623,-13.35251,-1.45103,0.46733,1.39898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-03,19:04:59.55,2,3,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Conway, Jenissa",100000001296,Right,MIC_WOL_SB,Undefined,1,Top,1,1,1,Riseball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,65.86088,5.152206,0.170492,2551.655914,176.042691,11:45,1.72351,1.39016,4.74315,-21.48312,9.6026,-0.59957,3.25501,1.44982,59.82215,-0.654596,0.015414,0.401284,,,,,,,,,,,,0.69197,8.5002,-1.35192,50,0.5033,-0.35803,-98.56665,11.56655,0.65523,21.13525,-24.12539,NOR_WIL_SB,MIC_WOL_SB,ParkwayBankSportsComplex,D1,B10,20260403-ParkwayBankSportsComplex-1,ec0ac4e0-2fb9-11f1-a3ea-5722bf82d2b8,93.92958,,,6.03873,,,,,,,33672165-d379-44cf-a021-450c4215079c,2026-04-04,00:04:59.55,2026-04-03T19:04:59.5508224-05:00,2026-04-04T00:04:59.5508224Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,455e6b3d-454b-45d6-9f26-aa3fdd89b4b4,38.25131,-96.01439,10.56762,1.72416,8.6532,-12.06269,-1.39038,-0.27891,0.32761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-03,19:05:17.54,2,4,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Conway, Jenissa",100000001296,Right,MIC_WOL_SB,Undefined,1,Top,1,1,2,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.87007,5.145338,0.749304,1176.605378,235.205343,1:45,1.84622,1.65791,5.46532,-27.88872,1.90071,1.45461,2.7747,2.2515,60.02364,-2.44856,1.132832,0.392828,,,,,,,,,,,,-1.32,0.32366,-1.50565,50,0.48817,-1.10814,-98.84121,12.66854,-1.2555,21.40482,-31.8662,NOR_WIL_SB,MIC_WOL_SB,ParkwayBankSportsComplex,D1,B10,20260403-ParkwayBankSportsComplex-1,f6cc37b0-2fb9-11f1-a3ea-5722bf82d2b8,95.95151,,,5.84643,,,,,,,33672165-d379-44cf-a021-450c4215079c,2026-04-04,00:05:17.54,2026-04-03T19:05:17.5428608-05:00,2026-04-04T00:05:17.5428608Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,68c4e772-e4aa-4477-853b-12e7eabb77fd,37.53214,-96.10327,10.70241,1.84794,8.59247,-15.9331,-1.65766,-1.26873,-0.62775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-03,19:05:33.31,2,5,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Conway, Jenissa",100000001296,Right,MIC_WOL_SB,Undefined,1,Top,1,2,2,Changeup,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,54.04283,5.564646,-0.240423,1703.284315,20.505546,6:45,1.83802,1.25585,5.61582,-51.39227,-7.50296,-3.29693,1.05961,0.83018,49.66163,-8.360183,-1.114044,0.476816,10.79677,-12.852185,103.339667,,,,,2.96931,2.96882,104.811278,0.232625,3.47229,-9.42607,-1.28725,50,0.19559,0.01522,-81.09692,13.4796,2.22558,14.31094,-38.21571,NOR_WIL_SB,MIC_WOL_SB,ParkwayBankSportsComplex,D1,B10,20260403-ParkwayBankSportsComplex-1,0041c990-2fba-11f1-a3ea-5722bf82d2b8,79.0503,0.86162,,4.3812,,,,0.11238,0.86162,-0.80445,33672165-d379-44cf-a021-450c4215079c,2026-04-04,00:05:33.31,2026-04-03T19:05:33.3120512-05:00,2026-04-04T00:05:33.3120512Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,9b8164e9-0e8b-47d7-8bf6-a42e79de4cc1,37.38244,-78.83889,7.15547,1.84675,7.44981,-19.10786,-1.25715,0.36637,1.11279,,0.11927,-3.74614,,,,,,,,0.86844,-3.70439,,,,,,,,-0.83352,15.7984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2026-04-03,19:06:00.78,3,1,"Mason, Marina",100000006697,Right,NOR_WIL_SB,"Putz, Lauren",100000001326,Left,MIC_WOL_SB,Undefined,1,Top,2,0,0,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,53.34248,7.895388,-1.381977,860.630412,46.347515,7:30,1.82904,1.32892,5.06728,-50.8253,-4.94213,-6.28048,2.65911,-0.07539,49.64095,-5.5903,-3.013316,0.487526,,,,,,,,,,,,6.26737,-6.88512,-1.58071,50,-0.23108,1.31467,-79.06396,16.21476,3.9509,10.4669,-36.51437,NOR_WIL_SB,MIC_WOL_SB,ParkwayBankSportsComplex,D1,B10,20260403-ParkwayBankSportsComplex-1,10ad2040-2fba-11f1-a3ea-5722bf82d2b8,77.31366,,,3.70153,,,,,,,33672165-d379-44cf-a021-450c4215079c,2026-04-04,00:06:00.78,2026-04-03T19:06:00.7897600-05:00,2026-04-04T00:06:00.7897600Z,,V3 - Softball,,,,"Raye, Emma",100000001300,Right,NOR_WIL_SB,3e05485c-3bd2-42b7-a48b-0b850ae95ae6,37.93199,-77.44986,5.23345,1.83523,10.58388,-18.25719,-1.331,1.92394,1.97545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
