PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-04,13:02:24.65,1,1,"Oxley, Katelynn",100000001363,Right,FLO_GAT_SB,"Sells, Kiarra",100000002242,Right,MIS_STA_SB,Undefined,1,Top,0,0,0,Screwball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.67503,3.505931,1.181699,1785.332349,136.852752,10:30,1.62919,0.27267,5.46661,-25.13572,5.25016,-4.18288,1.74776,0.6691,59.84383,-3.338133,0.0775,0.396741,,,,,,,,,,,,4.91595,5.05933,0.01278,50,0.64964,-2.50029,-96.81051,9.31858,4.58245,17.62089,-27.45792,FLO_GAT_SB,MIS_STA_SB,FloridaSoftball,D1,SEC,20260404-FloridaSoftball-1,eefe4ad0-3047-11f1-bd34-f53e8c6c18a2,95.00506,,,4.8312,,,,,,,5ca24b1c-7fbe-4258-9b8f-036f84fc3315,2026-04-04,17:02:24.65,2026-04-04T13:02:24.6582784-04:00,2026-04-04T17:02:24.6582784Z,,V3 - Softball,,,,"Wesolowski, Ella",100000002258,Right,FLO_GAT_SB,1082cb82-999e-43de-aa7b-191691da3d32,37.52887,-94.51333,8.81044,1.63115,5.73898,-13.72896,-0.27423,-1.90289,2.29122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-04,13:02:40.96,1,2,"Oxley, Katelynn",100000001363,Right,FLO_GAT_SB,"Sells, Kiarra",100000002242,Right,MIS_STA_SB,Undefined,1,Top,0,0,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.07887,6.922212,1.339758,1886.006977,152.091334,11:00,1.64285,0.12681,5.61268,-22.81824,8.31182,-3.97406,4.10961,0.63691,58.7291,0.673414,0.288593,0.40157,,,,,,,,,,,,4.74504,7.2337,0.19431,50,-0.09673,-2.69935,-95.43755,14.72082,4.28447,17.56478,-25.64246,FLO_GAT_SB,MIS_STA_SB,FloridaSoftball,D1,SEC,20260404-FloridaSoftball-1,f8b8fc00-3047-11f1-bd34-f53e8c6c18a2,93.86267,,,5.34977,,,,,,,5ca24b1c-7fbe-4258-9b8f-036f84fc3315,2026-04-04,17:02:40.96,2026-04-04T13:02:40.9633280-04:00,2026-04-04T17:02:40.9633280Z,,V3 - Softball,,,,"Wesolowski, Ella",100000002258,Right,FLO_GAT_SB,35dd0109-2868-4102-88c3-18fb279688d6,37.3812,-93.08616,8.78239,1.64417,11.28807,-12.82123,-0.12866,-2.12579,2.14223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-04,13:02:57.79,1,3,"Oxley, Katelynn",100000001363,Right,FLO_GAT_SB,"Sells, Kiarra",100000002242,Right,MIS_STA_SB,Undefined,1,Top,0,1,1,Changeup,,InPlay,Undefined,GroundBall,Single,0,0,,53.10297,4.866948,-0.534675,1186.690961,119.762356,10:00,1.67361,-0.02415,5.88251,-38.97656,5.50532,-7.46906,1.4656,-0.97974,48.95075,-5.854866,-2.526816,0.480024,67.80714,1.347457,-33.368868,1858.545393,,,,38.82094,36.30324,-31.964047,0.395937,8.1054,5.04008,-0.03965,50,0.21611,-0.03923,-79.61382,11.28426,5.04942,13.018,-29.03423,FLO_GAT_SB,MIS_STA_SB,FloridaSoftball,D1,SEC,20260404-FloridaSoftball-1,02c4da70-3048-11f1-bd34-f53e8c6c18a2,78.52201,1.72666,,4.15222,,,,2.14727,1.64559,0.92874,5ca24b1c-7fbe-4258-9b8f-036f84fc3315,2026-04-04,17:02:57.79,2026-04-04T13:02:57.7942528-04:00,2026-04-04T17:02:57.7942528Z,,V3 - Softball,,,,"Wesolowski, Ella",100000002258,Right,FLO_GAT_SB,46892452-42dd-4200-9a40-9a5d9308af4f,37.11327,-77.478,6.509,1.67671,6.52072,-14.51711,0.02188,0.78921,2.52471,86.681454,2.15294,82.84109,-12.90659,,,,,,,1.64933,2.21271,-16.13278,,,,,,,0.93002,-54.72864,1.19027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-04,13:03:29.37,2,1,"Oxley, Katelynn",100000001363,Right,FLO_GAT_SB,"Stiles, Morgan",100000002249,Right,MIS_STA_SB,Undefined,1,Top,0,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.51226,4.290253,2.43269,1848.433231,148.394561,11:00,1.61525,0.08896,5.76032,-23.9095,7.09134,-3.88996,2.31263,1.2867,58.83092,-2.274813,1.399193,0.400736,,,,,,,,,,,,5.05866,6.96658,0.48185,50,0.43369,-4.51425,-94.89577,10.45369,4.5489,16.39982,-25.90948,FLO_GAT_SB,MIS_STA_SB,FloridaSoftball,D1,SEC,20260404-FloridaSoftball-1,15906840-3048-11f1-bd34-f53e8c6c18a2,94.05811,,,4.68135,,,,,,,5ca24b1c-7fbe-4258-9b8f-036f84fc3315,2026-04-04,17:03:29.37,2026-04-04T13:03:29.3721088-04:00,2026-04-04T17:03:29.3721088Z,,V3 - Softball,,,,"Wesolowski, Ella",100000002258,Right,FLO_GAT_SB,70572297-cb00-4710-aa44-72a66545b9bc,37.2352,-92.66351,8.19991,1.61658,6.92702,-12.95474,-0.09047,-3.89508,2.27445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-04,13:03:47.11,2,2,"Oxley, Katelynn",100000001363,Right,FLO_GAT_SB,"Stiles, Morgan",100000002249,Right,MIS_STA_SB,Undefined,1,Top,0,1,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.3613,2.808084,-3.53108,1866.804654,143.875263,10:45,1.68559,0.7842,5.61206,-25.1832,7.313,-4.73256,1.35472,-1.82986,57.88248,-4.071429,-4.780515,0.410287,,,,,,,,,,,,3.9926,7.62272,-1.52906,50,0.83989,5.19443,-93.28063,7.93895,3.45314,16.43853,-25.58124,FLO_GAT_SB,MIS_STA_SB,FloridaSoftball,D1,SEC,20260404-FloridaSoftball-1,202091e0-3048-11f1-bd34-f53e8c6c18a2,91.86847,,,4.47881,,,,,,,5ca24b1c-7fbe-4258-9b8f-036f84fc3315,2026-04-04,17:03:47.11,2026-04-04T13:03:47.1109632-04:00,2026-04-04T17:03:47.1109632Z,,V3 - Softball,,,,"Wesolowski, Ella",100000002258,Right,FLO_GAT_SB,3de9c538-ab13-4d57-8694-482a74d3ccb0,37.3831,-91.03004,8.21926,1.68706,4.43664,-12.79062,-0.78553,5.6672,1.72657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-04,13:04:05.68,2,3,"Oxley, Katelynn",100000001363,Right,FLO_GAT_SB,"Stiles, Morgan",100000002249,Right,MIS_STA_SB,Undefined,1,Top,0,2,0,Curveball,,InPlay,Undefined,FlyBall,Out,1,0,,64.64411,4.481019,-0.475377,1854.2375,150.530843,11:00,1.72643,0.63175,5.77111,-21.3171,8.60056,-4.43992,2.75665,-0.03538,59.8024,-1.397024,-1.656849,0.393673,65.02532,34.884195,4.190189,2067.295967,108.48445,50.19878,18.19657,188.11142,184.55336,12.717057,3.849011,4.80162,8.49067,-0.70278,50,0.52236,0.22461,-96.73949,10.63354,4.47132,17.5337,-24.26747,FLO_GAT_SB,MIS_STA_SB,FloridaSoftball,D1,SEC,20260404-FloridaSoftball-1,2b2e9e10-3048-11f1-bd34-f53e8c6c18a2,95.74564,50.23299,,4.84171,,,,2.0702,2.8343,0.01116,5ca24b1c-7fbe-4258-9b8f-036f84fc3315,2026-04-04,17:04:05.68,2026-04-04T13:04:05.6890880-04:00,2026-04-04T17:04:05.6890880Z,,V3 - Softball,,,,"Wesolowski, Ella",100000002258,Right,FLO_GAT_SB,044a94f2-4733-4f08-aa21-512cfc33fdf6,37.22555,-94.39578,8.76685,1.72694,7.38972,-12.13374,-0.63281,0.82228,2.23566,205.590801,2.07092,78.00403,-16.59026,3.91535,-0.62967,0.0328,0.00876,-0.00109,-1E-05,2.83446,54.53613,-16.73308,0.35969,0.36457,-0.24671,0.09009,-0.01639,0.00115,0.01093,5.72352,3.98684,-1.45403,0.32737,-0.03806,-0.00036,0.00046,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-04-04,13:04:37.74,3,1,"Oxley, Katelynn",100000001363,Right,FLO_GAT_SB,"Carder, Anna",100000004597,Left,MIS_STA_SB,Undefined,1,Top,1,0,0,Curveball,,InPlay,Undefined,LineDrive,Out,2,0,,65.09067,3.062951,-0.1424,1837.020302,152.747344,11:00,1.6969,0.23716,5.61141,-22.80253,6.91441,-3.16736,1.72155,-0.11619,60.28137,-3.186327,-0.982217,0.39235,66.82065,11.945077,-10.762846,993.917255,,,,120.67668,84.21889,-15.926193,1.472075,3.44579,7.01414,-0.24496,50,0.81588,-0.16007,-97.56091,8.41012,3.25864,18.03971,-25.54083,FLO_GAT_SB,MIS_STA_SB,FloridaSoftball,D1,SEC,20260404-FloridaSoftball-1,3e4a6ec0-3048-11f1-bd34-f53e8c6c18a2,96.06843,8.57745,,4.80929,,,,1.74258,1.75763,0.10768,5ca24b1c-7fbe-4258-9b8f-036f84fc3315,2026-04-04,17:04:37.74,2026-04-04T13:04:37.7461760-04:00,2026-04-04T17:04:37.7461760Z,,V3 - Softball,,,,"Wesolowski, Ella",100000002258,Right,FLO_GAT_SB,7bbdf27f-6ee6-49f7-a1b1-d63e9b7b666b,37.38494,-95.19972,9.01986,1.69788,5.06712,-12.77042,-0.238,0.26645,1.62932,115.972318,1.74258,94.19371,-14.25123,2.54883,-0.34453,-0.01793,0.00894,0.00627,-0.00225,1.75762,20.28557,-15.54639,0.83289,-0.28242,0.17271,-0.05103,0.0016,0.00182,0.10769,-17.90746,-4.70452,1.30363,-0.0498,-0.16797,0.06184,0.00085,-0.00322,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-04-04,13:06:59.59,1,1,"Faircloth, Alyssa",100000004595,Left,MIS_STA_SB,"Shumaker, Taylor",100000001365,Right,FLO_GAT_SB,Undefined,1,Bottom,0,0,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.06996,3.516672,0.620289,1536.147463,212.036683,1:00,1.65055,-0.69546,6.80846,-21.09442,7.87989,4.41276,2.02989,0.04876,58.72727,-2.499496,1.830059,0.387416,,,,,,,,,,,,-4.85012,8.38811,0.80636,50,0.55947,-0.43015,-96.48252,9.29742,-4.4126,19.87755,-24.54264,FLO_GAT_SB,MIS_STA_SB,FloridaSoftball,D1,SEC,20260404-FloridaSoftball-1,92df91e0-3048-11f1-bd34-f53e8c6c18a2,97.29184,,,5.34269,,,,,,,5ca24b1c-7fbe-4258-9b8f-036f84fc3315,2026-04-04,17:06:59.59,2026-04-04T13:06:59.5999744-04:00,2026-04-04T17:06:59.5999744Z,,V3 - Softball,,,,"Rivera, Des",100000004609,Right,MIS_STA_SB,3e1a14a4-83c3-41f7-9cf3-ef3fc9106a7d,36.18551,-93.59317,9.93877,1.65164,5.72996,-12.27132,0.69722,-1.07155,-2.2063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-04,13:07:16.48,1,2,"Faircloth, Alyssa",100000004595,Left,MIS_STA_SB,"Shumaker, Taylor",100000001365,Right,FLO_GAT_SB,Undefined,1,Bottom,0,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.09685,4.920303,2.664864,1561.545051,202.392363,12:45,1.6518,-0.73141,6.771,-21.59123,7.75847,2.8326,2.85267,1.12495,58.28392,-1.233988,3.438232,0.389918,,,,,,,,,,,,-2.16288,7.563,1.34851,50,0.22084,-4.10128,-96.38826,11.70409,-1.94755,20.95434,-25.36398,FLO_GAT_SB,MIS_STA_SB,FloridaSoftball,D1,SEC,20260404-FloridaSoftball-1,9cecf6f0-3048-11f1-bd34-f53e8c6c18a2,96.66757,,,5.81294,,,,,,,5ca24b1c-7fbe-4258-9b8f-036f84fc3315,2026-04-04,17:07:16.48,2026-04-04T13:07:16.4883456-04:00,2026-04-04T17:07:16.4883456Z,,V3 - Softball,,,,"Rivera, Des",100000004609,Right,MIS_STA_SB,0dae0a77-fa87-4777-8715-e16cd5c6ea45,36.22229,-93.34501,10.47717,1.65316,8.02042,-12.68199,0.73233,-4.38413,-0.97377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-04,13:07:45.11,1,3,"Faircloth, Alyssa",100000004595,Left,MIS_STA_SB,"Shumaker, Taylor",100000001365,Right,FLO_GAT_SB,Undefined,1,Bottom,0,1,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.55656,3.214543,2.456151,1821.253448,200.192773,12:45,1.6342,-0.43442,6.99236,-17.33088,11.88205,4.06154,2.13449,1.38779,58.19955,-1.797842,3.573479,0.389008,,,,,,,,,,,,-3.78685,13.2465,0.99698,50,0.63073,-3.52856,-95.75338,8.2645,-3.38295,19.98319,-20.34034,FLO_GAT_SB,MIS_STA_SB,FloridaSoftball,D1,SEC,20260404-FloridaSoftball-1,adfd4030-3048-11f1-bd34-f53e8c6c18a2,96.89366,,,5.35701,,,,,,,5ca24b1c-7fbe-4258-9b8f-036f84fc3315,2026-04-04,17:07:45.11,2026-04-04T13:07:45.1196416-04:00,2026-04-04T17:07:45.1196416Z,,V3 - Softball,,,,"Rivera, Des",100000004609,Right,MIS_STA_SB,7e6d7949-36c8-4d64-990a-7880c856a6b9,36.0016,-92.78601,9.99159,1.6337,5.2441,-10.17017,0.43572,-4.03091,-1.69148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
