PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-04,13:08:50.76,1,1,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Parisien, Hadley",100000004796,Left,OHI_STA_SB,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.67778,4.132882,1.481066,1314.779729,19.098585,6:45,1.96021,1.26143,5.70399,-37.99329,-6.78622,-2.65815,1.38754,1.96759,58.62327,-6.185561,0.774643,0.402067,,,,,,,,,,,,3.43461,-8.25926,-0.91504,50,0.73091,-2.78706,-95.58926,11.84356,3.08041,18.94189,-39.5816,MIN_GOL_SB,OHI_STA_SB,JaneSageCowlesStadium,D1,B10,20260404-JaneSageCowlesStadium-1,55c368f0-3051-11f1-add4-4b0bb517851a,93.74677,,,5.05452,,,,,,,f5a6b37e-672b-4ac0-897d-2b62c29520ae,2026-04-04,18:08:50.76,2026-04-04T13:08:50.7632640-05:00,2026-04-04T18:08:50.7632640Z,,V3 - Softball,,,,"Johnson, Cassie",100000007042,Right,MIN_GOL_SB,dbb512fc-c544-4551-8354-afc75a9fcd29,37.29344,-93.03727,9.47095,1.96733,6.51084,-19.7908,-1.26258,-2.37204,1.54021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-04,13:09:06.91,1,2,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Estrada, Kiki",100000004810,Left,OHI_STA_SB,Undefined,1,Top,0,1,0,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,55.32008,5.469964,1.079777,1958.727562,140.185868,10:45,2.00014,1.27366,5.4712,-30.71199,11.98969,-8.84115,2.89953,1.21754,49.94847,-3.009191,-1.250166,0.47032,,,,,,,,,,,,9.75457,11.45292,-0.99026,50,0.54137,-2.38305,-82.9251,11.43963,6.47615,15.886,-24.57032,MIN_GOL_SB,OHI_STA_SB,JaneSageCowlesStadium,D1,B10,20260404-JaneSageCowlesStadium-1,5f67d300-3051-11f1-add4-4b0bb517851a,80.14205,,,5.37162,,,,,,,f5a6b37e-672b-4ac0-897d-2b62c29520ae,2026-04-04,18:09:06.91,2026-04-04T13:09:06.9103616-05:00,2026-04-04T18:09:06.9103616Z,,V3 - Softball,,,,"Johnson, Cassie",100000007042,Right,MIN_GOL_SB,7095c5e2-b72b-4e5f-9d91-7c8f5eadf24e,37.51883,-80.49858,7.943,2.0021,7.6866,-12.28516,-1.27872,-1.39384,3.23807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-04,13:09:24.07,1,3,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Parisien, Hadley",100000004796,Left,OHI_STA_SB,Undefined,1,Top,0,1,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.69906,2.827093,-1.082204,1317.591575,20.188091,6:45,1.87956,1.193,5.71621,-34.33856,-3.46453,-1.5715,0.78953,0.3845,59.18065,-6.501699,-1.500369,0.399915,,,,,,,,,,,,1.3591,-4.24382,-1.42178,50,0.95667,1.61159,-95.58815,9.31065,1.23068,17.66267,-36.01686,MIN_GOL_SB,OHI_STA_SB,JaneSageCowlesStadium,D1,B10,20260404-JaneSageCowlesStadium-1,6989aa70-3051-11f1-add4-4b0bb517851a,94.25104,,,4.51842,,,,,,,f5a6b37e-672b-4ac0-897d-2b62c29520ae,2026-04-04,18:09:24.07,2026-04-04T13:09:24.0739840-05:00,2026-04-04T18:09:24.0739840Z,,V3 - Softball,,,,"Johnson, Cassie",100000007042,Right,MIN_GOL_SB,62fc10da-0259-48c9-a27d-855ebdd77966,37.2812,-93.20836,8.83134,1.88423,4.4579,-18.00843,-1.19347,1.77741,0.61534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-04,13:09:42.72,1,4,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Parisien, Hadley",100000004796,Left,OHI_STA_SB,Undefined,1,Top,0,2,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.55474,3.871545,-0.114541,1383.096341,20.517479,6:45,1.93732,1.21948,5.65075,-36.47573,-5.31248,-2.2937,1.3294,0.9565,58.94546,-6.013167,-0.723575,0.401784,,,,,,,,,,,,2.45075,-6.44559,-1.22917,50,0.78014,-0.08307,-95.26173,11.20667,2.20638,17.40075,-37.97694,MIN_GOL_SB,OHI_STA_SB,JaneSageCowlesStadium,D1,B10,20260404-JaneSageCowlesStadium-1,74b550c0-3051-11f1-add4-4b0bb517851a,93.81266,,,4.60928,,,,,,,f5a6b37e-672b-4ac0-897d-2b62c29520ae,2026-04-04,18:09:42.72,2026-04-04T13:09:42.7229184-05:00,2026-04-04T18:09:42.7229184Z,,V3 - Softball,,,,"Johnson, Cassie",100000007042,Right,MIN_GOL_SB,ccd51924-7a77-49e6-acd5-d6edfd0c380c,37.34672,-92.92171,8.70038,1.9438,6.0996,-18.98847,-1.2204,0.21364,1.10319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-04,13:09:59.61,1,5,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Parisien, Hadley",100000004796,Left,OHI_STA_SB,Undefined,1,Top,0,3,1,Changeup,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,56.15165,3.897141,0.88717,1909.508117,142.950076,10:45,1.95108,1.20226,5.45676,-29.23632,11.8382,-7.97091,1.97607,1.09745,51.1368,-4.157216,-1.215237,0.461273,,,,,,,,,,,,8.80426,12.00087,-0.96298,50,0.84987,-2.07819,-84.28661,9.14307,6.07977,15.72622,-23.88685,MIN_GOL_SB,OHI_STA_SB,JaneSageCowlesStadium,D1,B10,20260404-JaneSageCowlesStadium-1,7ed6b300-3051-11f1-add4-4b0bb517851a,81.71403,,,5.01485,,,,,,,f5a6b37e-672b-4ac0-897d-2b62c29520ae,2026-04-04,18:09:59.61,2026-04-04T13:09:59.6188160-05:00,2026-04-04T18:09:59.6188160Z,,V3 - Softball,,,,"Johnson, Cassie",100000007042,Right,MIN_GOL_SB,35eaa89b-48f3-461e-b7c2-068bbeaf6cec,37.53461,-81.92781,7.86311,1.95256,5.56024,-11.94343,-1.20631,-1.16628,3.03989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-04,13:10:18.22,1,6,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Parisien, Hadley",100000004796,Left,OHI_STA_SB,Undefined,1,Top,0,3,2,Changeup,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,56.52837,4.080636,0.742629,1972.881629,148.948352,11:00,1.99263,1.49357,5.47321,-27.28549,13.40875,-7.27945,2.2952,1.35501,51.20305,-3.478,-1.178104,0.459132,,,,,,,,,,,,8.00028,13.51788,-1.29086,50,0.86256,-1.80067,-84.90877,9.27732,5.5726,16.58194,-22.75816,MIN_GOL_SB,OHI_STA_SB,JaneSageCowlesStadium,D1,B10,20260404-JaneSageCowlesStadium-1,89e35fa0-3051-11f1-add4-4b0bb517851a,82.09494,,,5.32533,,,,,,,f5a6b37e-672b-4ac0-897d-2b62c29520ae,2026-04-04,18:10:18.22,2026-04-04T13:10:18.2270000-05:00,2026-04-04T18:10:18.2270000Z,,V3 - Softball,,,,"Johnson, Cassie",100000007042,Right,MIN_GOL_SB,76feff0d-a1f9-4d1b-afd4-bc14757c5be4,37.51705,-82.43492,8.29097,1.99337,5.88205,-11.37908,-1.49748,-0.96929,2.7863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.16632,2.234929,1.353728,0.881201,-2.85896,1.99671,-1.25865,-1.98673,4.71514,-2.77395,48.57961,2.3132,-33.78362,-1.9858,59.96358,-2.9321,4.73273,11.28632,-16.01432,-2.79228,-40.67165,6.33033,High,High,High,,,High,High,High
7,2026-04-04,13:10:41.73,2,1,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,1,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.57142,3.836404,1.43823,1369.174624,0.867764,6:00,1.97663,1.22014,5.70184,-35.45833,-5.45929,-0.09402,1.42868,2.11319,60.10069,-5.772543,1.413243,0.394208,,,,,,,,,,,,0.57307,-7.20918,-0.90046,50,0.80707,-2.4411,-96.72796,11.40321,0.53428,17.3377,-38.89502,MIN_GOL_SB,OHI_STA_SB,JaneSageCowlesStadium,D1,B10,20260404-JaneSageCowlesStadium-1,97cdd7d0-3051-11f1-add4-4b0bb517851a,95.6157,,,4.47073,,,,,,,f5a6b37e-672b-4ac0-897d-2b62c29520ae,2026-04-04,18:10:41.73,2026-04-04T13:10:41.7332224-05:00,2026-04-04T18:10:41.7332224Z,,V3 - Softball,,,,"Johnson, Cassie",100000007042,Right,MIN_GOL_SB,c08a6693-af7b-4fc5-aeaa-6ccaaed3ba37,37.29731,-94.42365,8.66885,1.97911,6.23379,-19.44751,-1.22018,-2.37009,0.26714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-04,13:11:00.74,2,2,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,1,1,0,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,55.78749,4.325481,0.129853,1949.970663,142.453223,10:45,2.01341,1.10278,5.44117,-28.36545,13.23292,-9.20808,2.38335,0.41735,50.87858,-3.494088,-2.296896,0.464205,,,,,,,,,,,,9.80138,13.3395,-1.02119,50,0.82354,-1.07578,-83.65027,9.63184,6.6879,15.16815,-23.07193,MIN_GOL_SB,OHI_STA_SB,JaneSageCowlesStadium,D1,B10,20260404-JaneSageCowlesStadium-1,a3569240-3051-11f1-add4-4b0bb517851a,81.19786,,,4.90891,,,,,,,f5a6b37e-672b-4ac0-897d-2b62c29520ae,2026-04-04,18:11:00.74,2026-04-04T13:11:00.7478272-05:00,2026-04-04T18:11:00.7478272Z,,V3 - Softball,,,,"Johnson, Cassie",100000007042,Right,MIN_GOL_SB,d3392ed8-c04a-4dc9-816f-14cd0025e073,37.55004,-81.36143,7.58408,2.01429,6.15033,-11.53596,-1.10738,-0.06659,3.34395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-04,13:11:18.36,2,3,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,1,1,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.74616,5.067837,0.278885,1414.573947,5.602625,6:15,1.94927,1.28167,5.57819,-36.22537,-6.01292,-0.66697,2.12354,1.40135,59.88832,-4.722023,0.102381,0.395608,,,,,,,,,,,,0.81284,-7.57607,-1.21602,50,0.54069,-0.55126,-96.84407,13.34322,0.75769,17.72905,-39.23614,MIN_GOL_SB,OHI_STA_SB,JaneSageCowlesStadium,D1,B10,20260404-JaneSageCowlesStadium-1,adb76e80-3051-11f1-add4-4b0bb517851a,95.27733,,,4.85784,,,,,,,f5a6b37e-672b-4ac0-897d-2b62c29520ae,2026-04-04,18:11:18.36,2026-04-04T13:11:18.3621632-05:00,2026-04-04T18:11:18.3621632Z,,V3 - Softball,,,,"Johnson, Cassie",100000007042,Right,MIN_GOL_SB,ea39251e-0679-46ce-ba20-daf970a67fb5,37.41943,-94.51291,8.86453,1.95598,8.18413,-19.61807,-1.28196,-0.45163,0.37884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-04,13:11:36.64,2,4,"Schwartz, Sydney",100000001408,Right,MIN_GOL_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,1,2,1,Fastball,,InPlay,Undefined,GroundBall,Single,0,0,,64.2125,4.405008,-0.676718,1365.248418,16.908163,6:30,1.91918,1.30192,5.64723,-33.19104,-2.81992,-1.07902,1.92175,0.78754,59.80612,-4.587583,-0.9629,0.396645,69.66921,-11.043621,-31.667568,,,,,11.02519,10.91208,-33.222662,0.100035,0.97878,-4.00213,-1.44331,50,0.65776,0.99836,-95.98931,11.88431,0.90385,16.2792,-35.8698,MIN_GOL_SB,OHI_STA_SB,JaneSageCowlesStadium,D1,B10,20260404-JaneSageCowlesStadium-1,b894a6b0-3051-11f1-add4-4b0bb517851a,95.02824,1.96323,,4.40638,,,,0.66175,1.96323,-0.75973,f5a6b37e-672b-4ac0-897d-2b62c29520ae,2026-04-04,18:11:36.64,2026-04-04T13:11:36.6490112-05:00,2026-04-04T18:11:36.6490112Z,,V3 - Softball,,,,"Johnson, Cassie",100000007042,Right,MIN_GOL_SB,5887d8e4-9342-458a-a6c0-235a8e037664,37.35061,-93.81953,8.1396,1.92315,7.10339,-17.9349,-1.30221,1.11883,0.45192,180,0.6581,85.58354,,,,,,,,1.96407,-19.62545,,,,,,,,-0.75748,-52.79058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
