PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-04,11:02:51.35,1,1,"Berzon, Sydney",100000000905,Right,OKL_SOO_SB,"Sleeman, Carly",100000003541,Right,UNI_KEN_SB,Undefined,1,Top,0,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.98386,5.666011,-2.599617,1197.977238,356.790682,6:00,2.05953,0.49788,4.11189,-44.27384,-11.51213,0.69673,2.09157,-1.14538,59.82252,-5.797495,-2.422805,0.41196,,,,,,,,,,,,-1.59272,-12.94761,-1.00556,50,0.70868,4.46393,-96.83774,14.2784,-1.47867,18.2664,-44.19452,OKL_SOO_SB,UNI_KEN_SB,OklahomaSoftball,D1,SEC,20260404-OklahomaSoftball-1,bd95cca0-303f-11f1-9c89-e76495c8afd8,91.49541,,,5.16133,,,,,,,95987af5-cd04-4539-8e8f-0ca4cd7442c3,2026-04-04,16:02:51.35,2026-04-04T11:02:51.3570304-05:00,2026-04-04T16:02:51.3570304Z,,V3 - Softball,,,,"Emerling, Isabela",100000006699,Right,OKL_SOO_SB,05aeacd2-6f42-4c7e-b002-d64958043f6c,38.88725,-94.71836,9.1332,2.06787,9.15069,-22.09726,-0.49758,4.29236,-0.73933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-04,11:03:09.42,1,2,"Berzon, Sydney",100000000905,Right,OKL_SOO_SB,"Sleeman, Carly",100000003541,Right,UNI_KEN_SB,Undefined,1,Top,0,1,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.38226,6.054105,-2.976923,1085.594269,357.935147,6:00,1.98898,0.44987,4.49892,-41.07939,-9.57351,0.37386,2.50415,-1.44751,60.55145,-4.674407,-2.881194,0.403987,,,,,,,,,,,,-1.31217,-11.22583,-1.04982,50,0.50756,5.09516,-97.22087,15.00999,-1.24142,16.88145,-42.79452,OKL_SOO_SB,UNI_KEN_SB,OklahomaSoftball,D1,SEC,20260404-OklahomaSoftball-1,c7dd7b90-303f-11f1-9c89-e76495c8afd8,93.30115,,,4.83081,,,,,,,95987af5-cd04-4539-8e8f-0ca4cd7442c3,2026-04-04,16:03:09.42,2026-04-04T11:03:09.4254080-05:00,2026-04-04T16:03:09.4254080Z,,V3 - Softball,,,,"Emerling, Isabela",100000006699,Right,OKL_SOO_SB,650492ac-2cf7-4617-9660-b0846b33eca5,38.50025,-95.20311,8.44072,1.99595,9.89497,-21.39726,-0.44969,4.94678,-0.62071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-04,11:03:29.11,1,3,"Berzon, Sydney",100000000905,Right,OKL_SOO_SB,"Sleeman, Carly",100000003541,Right,UNI_KEN_SB,Undefined,1,Top,0,2,0,Dropball,,InPlay,Undefined,GroundBall,Out,1,0,,63.15933,7.446093,0.055509,995.612167,6.703028,6:15,2.02371,0.51162,4.52002,-43.71514,-9.76804,-1.25457,3.2248,0.44298,58.06899,-3.987098,-0.266216,0.419346,62.52481,-0.030353,-14.46315,1193.519768,,,,37.24863,36.90138,-13.906724,0.400358,1.32134,-12.16666,-0.4935,50,0.2343,-0.2208,-93.86631,17.12601,1.15901,16.44204,-42.84613,OKL_SOO_SB,UNI_KEN_SB,OklahomaSoftball,D1,SEC,20260404-OklahomaSoftball-1,d3b98620-303f-11f1-9c89-e76495c8afd8,89.8838,3.32494,,5.09034,,,,2.21333,3.32494,-0.44954,95987af5-cd04-4539-8e8f-0ca4cd7442c3,2026-04-04,16:03:29.11,2026-04-04T11:03:29.1126784-05:00,2026-04-04T16:03:29.1126784Z,,V3 - Softball,,,,"Emerling, Isabela",100000006699,Right,OKL_SOO_SB,4e8c0925-b6c7-4395-a68c-a86b2a461991,38.47924,-91.82611,8.22102,2.02952,11.80947,-21.42306,-0.51198,-0.07699,0.5795,342.655242,2.21516,88.73545,-9.89471,,,,,,,3.3315,-0.26715,-20.15835,,,,,,,-0.45102,-22.85391,4.05372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-04,11:03:58.53,2,1,"Berzon, Sydney",100000000905,Right,OKL_SOO_SB,"Blum, Allie",1000000000029,Right,UNI_KEN_SB,Undefined,1,Top,1,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.52654,6.15574,-1.163242,1143.640596,7.994835,6:15,2.05168,0.51457,4.46998,-42.37361,-9.99134,-1.52008,2.52417,-0.3657,59.69147,-4.916204,-1.552963,0.409567,,,,,,,,,,,,1.19185,-11.71906,-0.7395,50,0.54786,1.79361,-96.07541,15.11383,1.0988,16.78314,-42.97795,OKL_SOO_SB,UNI_KEN_SB,OklahomaSoftball,D1,SEC,20260404-OklahomaSoftball-1,e5b23390-303f-11f1-9c89-e76495c8afd8,92.02998,,,4.83507,,,,,,,95987af5-cd04-4539-8e8f-0ca4cd7442c3,2026-04-04,16:03:58.53,2026-04-04T11:03:58.5394688-05:00,2026-04-04T16:03:58.5394688Z,,V3 - Softball,,,,"Emerling, Isabela",100000006699,Right,OKL_SOO_SB,78cee896-e287-449e-a6ec-354821de08f1,38.52931,-94.05029,8.39157,2.05868,9.92792,-21.48898,-0.51508,1.92619,0.5494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-04,11:04:14.60,2,2,"Berzon, Sydney",100000000905,Right,OKL_SOO_SB,"Blum, Allie",1000000000029,Right,UNI_KEN_SB,Undefined,1,Top,1,0,1,Changeup,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,57.21727,4.602374,0.233758,923.886097,22.820161,6:45,1.97874,0.23586,4.96313,-49.3181,-9.15666,-4.31559,0.81684,0.02563,53.0572,-8.486171,-0.890893,0.456117,50.06088,-4.611432,-50.880891,,,,,18.13407,16.1849,-40.326999,0.206269,4.69095,-10.93012,-0.15971,50,0.6578,-0.78676,-85.70367,12.2207,3.39952,14.67445,-40.0951,OKL_SOO_SB,UNI_KEN_SB,OklahomaSoftball,D1,SEC,20260404-OklahomaSoftball-1,eeb3f500-303f-11f1-9c89-e76495c8afd8,82.6377,1.22113,,4.16007,,,,4.2728,1.22113,0.01023,95987af5-cd04-4539-8e8f-0ca4cd7442c3,2026-04-04,16:04:14.60,2026-04-04T11:04:14.6023424-05:00,2026-04-04T16:04:14.6023424Z,,V3 - Softball,,,,"Emerling, Isabela",100000006699,Right,OKL_SOO_SB,910f751f-5557-40f5-8191-fa7fe2882f00,38.03638,-83.63014,7.33722,1.98433,6.55517,-20.04755,-0.23695,-0.3064,1.69976,180,4.26837,46.30824,,,,,,,,1.22169,-5.92006,,,,,,,,0.01567,-56.94347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
6,2026-04-04,11:04:37.62,2,3,"Berzon, Sydney",100000000905,Right,OKL_SOO_SB,"Blum, Allie",1000000000029,Right,UNI_KEN_SB,Undefined,1,Top,1,0,2,Dropball,,InPlay,Undefined,GroundBall,Out,1,0,,65.60645,4.720761,-2.170432,1203.989396,7.048591,6:15,2.01045,0.64399,4.43516,-39.5027,-8.80221,-1.16232,1.78845,-0.86076,62.02651,-5.550585,-2.468303,0.39879,57.93457,-0.996959,42.044879,2205.907837,,,,25.62565,24.98617,41.581616,0.291568,0.68992,-10.02241,-1.07039,50,0.8,3.56132,-97.42737,12.74419,0.67173,13.45019,-41.93202,OKL_SOO_SB,UNI_KEN_SB,OklahomaSoftball,D1,SEC,20260404-OklahomaSoftball-1,fc9ee260-303f-11f1-9c89-e76495c8afd8,94.51707,1.84094,,3.57994,,,,1.97878,1.84094,0.76089,95987af5-cd04-4539-8e8f-0ca4cd7442c3,2026-04-04,16:04:37.62,2026-04-04T11:04:37.6245760-05:00,2026-04-04T16:04:37.6245760Z,,V3 - Softball,,,,"Emerling, Isabela",100000006699,Right,OKL_SOO_SB,97138a5a-0215-419a-995b-8be645b01770,38.56512,-95.83574,6.7251,2.01449,7.78217,-20.96601,-0.64426,3.64081,0.33587,,1.98198,62.94481,-13.75632,,,,,,,1.84304,-1.57446,-16.30375,,,,,,,0.76085,56.8992,-4.03949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-04-04,11:05:10.56,3,1,"Berzon, Sydney",100000000905,Right,OKL_SOO_SB,"Clark, Madyson",1000000000040,Right,UNI_KEN_SB,Undefined,1,Top,2,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.37557,3.970417,1.105274,1187.933855,3.452732,6:00,1.93238,0.54312,4.28479,-42.65829,-9.79296,-0.64508,0.96682,1.20896,59.57095,-7.145215,0.940238,0.412611,,,,,,,,,,,,1.03878,-10.83276,-0.32219,50,0.89454,-1.92224,-96.28464,11.30938,0.95284,18.14194,-42.11046,OKL_SOO_SB,UNI_KEN_SB,OklahomaSoftball,D1,SEC,20260404-OklahomaSoftball-1,1035d680-3040-11f1-9c89-e76495c8afd8,91.35108,,,4.80461,,,,,,,95987af5-cd04-4539-8e8f-0ca4cd7442c3,2026-04-04,16:05:10.56,2026-04-04T11:05:10.5659392-05:00,2026-04-04T16:05:10.5659392Z,,V3 - Softball,,,,"Emerling, Isabela",100000006699,Right,OKL_SOO_SB,9c44c9b3-d69b-470c-a542-799c859c46a0,38.71403,-94.13412,9.07097,1.93928,6.31767,-21.05523,-0.54335,-1.80929,0.47642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-04,11:05:28.09,3,2,"Berzon, Sydney",100000000905,Right,OKL_SOO_SB,"Clark, Madyson",1000000000040,Right,UNI_KEN_SB,Undefined,1,Top,2,1,0,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,57.74726,3.780358,-0.707916,1990.857956,183.574618,12:00,2.02211,0.57908,4.72377,-27.41907,12.35827,0.70724,2.17289,0.18258,53.392,-3.581539,-0.525061,0.45393,49.22923,7.512503,-60.46983,2774.831471,,,,43.02747,42.14237,-59.00658,0.625423,-0.98055,12.26241,-0.7282,50,1.03869,1.13654,-86.29868,8.74552,-0.72589,14.06594,-23.09631,OKL_SOO_SB,UNI_KEN_SB,OklahomaSoftball,D1,SEC,20260404-OklahomaSoftball-1,1a237e90-3040-11f1-9c89-e76495c8afd8,83.03574,3.25623,,4.35526,,,,3.57101,2.23218,-0.08125,95987af5-cd04-4539-8e8f-0ca4cd7442c3,2026-04-04,16:05:28.09,2026-04-04T11:05:28.0960000-05:00,2026-04-04T16:05:28.0960000Z,,V3 - Softball,,,,"Emerling, Isabela",100000006699,Right,OKL_SOO_SB,fd675bbf-8c4c-480e-86d9-bb754ee012a6,38.27178,-84.36543,7.03297,2.02255,5.57112,-11.54816,-0.57885,1.03677,-0.36294,,3.57101,35.28195,-9.69133,1.45094,-0.3134,0.03373,-0.00141,0.00155,-0.00028,2.23218,9.43997,-22.31593,2.71371,-0.52932,0.11215,-0.0152,0.00293,-0.00051,-0.08125,-62.28409,5.20583,0.57449,-0.22081,0.09177,-0.01702,0.00233,-0.00037,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-04,11:05:51.20,3,3,"Berzon, Sydney",100000000905,Right,OKL_SOO_SB,"Clark, Madyson",1000000000040,Right,UNI_KEN_SB,Undefined,1,Top,2,1,1,Dropball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,64.06463,5.698147,1.030946,2115.630274,5.141759,6:15,1.89237,0.5163,4.19682,-41.14148,-7.7391,-0.77677,2.19497,1.12435,59.1113,-5.000956,0.833124,0.415968,,,,,,,,,,,,1.12095,-9.07997,-0.31121,50,0.53547,-1.79259,-95.44824,13.9002,1.01611,17.07365,-40.40489,OKL_SOO_SB,UNI_KEN_SB,OklahomaSoftball,D1,SEC,20260404-OklahomaSoftball-1,27e75bf0-3040-11f1-9c89-e76495c8afd8,90.61374,,,4.95333,,,,,,,95987af5-cd04-4539-8e8f-0ca4cd7442c3,2026-04-04,16:05:51.20,2026-04-04T11:05:51.2041984-05:00,2026-04-04T16:05:51.2041984Z,,V3 - Softball,,,,"Emerling, Isabela",100000006699,Right,OKL_SOO_SB,0a1ec8d4-1e81-4928-9791-994d929df283,38.80127,-93.42355,8.53682,1.89974,9.10877,-20.20244,-0.51664,-1.6721,0.50806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-04,11:06:07.65,3,4,"Berzon, Sydney",100000000905,Right,OKL_SOO_SB,"Clark, Madyson",1000000000040,Right,UNI_KEN_SB,Undefined,1,Top,2,1,2,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.27973,2.456303,0.641459,1294.788927,4.209463,6:15,1.85778,0.54345,4.34346,-43.35569,-11.81178,-0.92685,-0.15762,0.88316,61.13048,-8.813119,0.403377,0.404231,,,,,,,,,,,,1.16244,-12.59611,-0.41136,50,1.10075,-1.19278,-97.69723,9.09222,1.10749,17.44062,-44.17458,OKL_SOO_SB,UNI_KEN_SB,OklahomaSoftball,D1,SEC,20260404-OklahomaSoftball-1,31d1a8a0-3040-11f1-9c89-e76495c8afd8,93.24489,,,4.14925,,,,,,,95987af5-cd04-4539-8e8f-0ca4cd7442c3,2026-04-04,16:06:07.65,2026-04-04T11:06:07.6592128-05:00,2026-04-04T16:06:07.6592128Z,,V3 - Softball,,,,"Emerling, Isabela",100000006699,Right,OKL_SOO_SB,00b3a788-5ea1-4b4e-b6de-50484afc4618,38.65662,-95.65081,8.72031,1.86351,3.90893,-22.08729,-0.54369,-1.06283,0.55375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
