PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-04,18:02:12.34,1,1,"Mardjetko, Sage",1000000000111,Right,UNI_TEN_SB,"Lilio, Quincee",100000001446,Left,SOU_CAR_SB,Undefined,1,Top,0,0,0,Riseball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,64.59427,4.642033,0.904403,1961.942147,156.906457,11:15,1.3754,-0.0041,5.76012,-21.06001,8.98245,-3.505,2.52948,0.26932,59.62932,-1.169507,-0.027934,0.394493,,,,,,,,,,,,4.13957,8.86812,0.23063,50,0.1389,-1.96068,-96.59187,10.84939,3.84192,17.52061,-23.94358,UNI_TEN_SB,SOU_CAR_SB,SPLstadium,D1,SEC,20260404-SPLstadium-1,ef49b9a0-3071-11f1-bab9-edfdc0f5670f,95.54654,,,4.96496,,,,,,,ce99c0e1-861b-4ed5-95e1-066e76e8754c,2026-04-04,22:02:12.34,2026-04-04T18:02:12.3484160-04:00,2026-04-04T22:02:12.3484160Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,41cca521-8480-4dad-a269-dfa2a68cb4c6,37.23452,-94.24793,8.76031,1.37609,7.64617,-11.97179,0.00271,-1.4467,1.92096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-04,18:02:27.49,1,2,"Mardjetko, Sage",1000000000111,Right,UNI_TEN_SB,"Lilio, Quincee",100000001446,Left,SOU_CAR_SB,Undefined,1,Top,0,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.18908,2.420901,1.082035,1852.590303,138.774266,10:45,1.5424,1.12309,5.55633,-21.16655,8.39926,-6.72335,1.30194,1.24327,60.66203,-3.373203,-0.698153,0.391351,,,,,,,,,,,,7.67748,8.90583,-0.83796,50,0.81927,-2.68378,-97.58673,7.10132,7.31807,17.01215,-23.68515,UNI_TEN_SB,SOU_CAR_SB,SPLstadium,D1,SEC,20260404-SPLstadium-1,f8527ff0-3071-11f1-bab9-edfdc0f5670f,96.3137,,,4.52705,,,,,,,ce99c0e1-861b-4ed5-95e1-066e76e8754c,2026-04-04,22:02:27.49,2026-04-04T18:02:27.4973184-04:00,2026-04-04T22:02:27.4973184Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,d4919c30-9c5c-4a19-9a65-67e99e5dd87a,37.43945,-95.37193,8.50608,1.54306,4.01777,-11.84258,-1.12534,-1.73104,3.65904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-04,18:02:42.27,1,3,"Mardjetko, Sage",1000000000111,Right,UNI_TEN_SB,"Lilio, Quincee",100000001446,Left,SOU_CAR_SB,Undefined,1,Top,0,1,1,Dropball,,InPlay,Undefined,GroundBall,Out,1,0,,68.17124,5.368791,0.193382,1417.244253,18.892712,6:45,1.47237,0.27772,5.66508,-36.0753,-8.95871,-3.3065,1.84165,0.12341,63.046,-4.380211,-0.683658,0.374791,57.54962,-28.555387,40.040244,,,,,5.21409,3.993,22.103355,0.044923,3.7102,-11.27615,-0.21048,50,-0.02155,-0.78344,-101.97441,14.67835,3.83541,19.6256,-43.83078,UNI_TEN_SB,SOU_CAR_SB,SPLstadium,D1,SEC,20260404-SPLstadium-1,01158ab0-3072-11f1-bab9-edfdc0f5670f,100.56928,1.81963,,5.12524,,,,2.27104,1.81963,-0.18908,ce99c0e1-861b-4ed5-95e1-066e76e8754c,2026-04-04,22:02:42.27,2026-04-04T18:02:42.2703616-04:00,2026-04-04T22:02:42.2703616Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,9f5bc851-0717-4932-bbb1-e9f27699750a,37.33388,-99.50689,9.8128,1.47752,9.1675,-21.91539,-0.27867,-0.30121,1.91771,180,2.26943,56.98294,,,,,,,,1.82077,-40.50532,,,,,,,,-0.19044,47.88261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2026-04-04,18:03:06.88,2,1,"Mardjetko, Sage",1000000000111,Right,UNI_TEN_SB,"Shelton, Karley",100000001443,Left,SOU_CAR_SB,Undefined,1,Top,1,0,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.17788,3.460962,1.952825,1867.689989,144.685275,10:45,1.31137,0.07219,5.92935,-21.56615,8.74906,-5.59248,1.67175,0.82182,58.90446,-2.536733,0.458227,0.39628,,,,,,,,,,,,6.87107,8.99839,0.40898,50,0.3201,-3.97856,-96.30371,8.91897,6.26564,18.99691,-23.96853,UNI_TEN_SB,SOU_CAR_SB,SPLstadium,D1,SEC,20260404-SPLstadium-1,0fd15ca0-3072-11f1-bab9-edfdc0f5670f,95.11579,,,5.27342,,,,,,,ce99c0e1-861b-4ed5-95e1-066e76e8754c,2026-04-04,22:03:06.88,2026-04-04T18:03:06.8869632-04:00,2026-04-04T22:03:06.8869632Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,b46e9f09-2d97-4cf6-9e6a-783c423f1447,37.0648,-93.71738,9.49846,1.31224,5.65578,-11.98426,-0.07461,-3.12553,3.13282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-04,18:03:24.38,2,2,"Mardjetko, Sage",1000000000111,Right,UNI_TEN_SB,"Shelton, Karley",100000001443,Left,SOU_CAR_SB,Undefined,1,Top,1,0,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,68.83562,3.917729,2.95129,1428.307785,20.679322,6:45,1.42581,0.01309,5.46198,-37.66915,-10.52886,-4.27323,0.76374,1.51924,63.24586,-6.213917,1.824534,0.374955,,,,,,,,,,,,5.6991,-12.25465,0.65674,50,0.28527,-5.8548,-103.2716,12.13844,5.95432,22.41175,-44.9775,UNI_TEN_SB,SOU_CAR_SB,SPLstadium,D1,SEC,20260404-SPLstadium-1,1a36ccc0-3072-11f1-bab9-edfdc0f5670f,100.52536,,,5.58976,,,,,,,ce99c0e1-861b-4ed5-95e1-066e76e8754c,2026-04-04,22:03:24.38,2026-04-04T18:03:24.3836928-04:00,2026-04-04T22:03:24.3836928Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,76cede51-9f6b-46a3-96d4-ecd750ea7abb,37.53629,-100.53038,11.20587,1.4335,6.63715,-22.48875,-0.01484,-5.12651,2.97716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-04,18:03:39.75,2,3,"Mardjetko, Sage",1000000000111,Right,UNI_TEN_SB,"Shelton, Karley",100000001443,Left,SOU_CAR_SB,Undefined,1,Top,1,1,1,Offspeed,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,45.49537,9.885038,-0.568126,1145.220739,28.406547,7:00,1.59884,0.16446,6.33106,-67.95456,-7.75819,-5.09922,2.07929,-0.61004,41.77487,-8.795125,-1.937148,0.558414,,,,,,,,,,,,5.49264,-11.10079,-0.25796,50,-1.37466,0.20959,-67.60253,18.64023,2.46909,9.33406,-37.16417,UNI_TEN_SB,SOU_CAR_SB,SPLstadium,D1,SEC,20260404-SPLstadium-1,237f5b30-3072-11f1-bab9-edfdc0f5670f,67.49905,,,3.7205,,,,,,,ce99c0e1-861b-4ed5-95e1-066e76e8754c,2026-04-04,22:03:39.75,2026-04-04T18:03:39.7574144-04:00,2026-04-04T22:03:39.7574144Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,b110ce5d-58c3-43d2-a248-3b6b074c886c,36.66919,-65.73614,4.66703,1.60959,11.2091,-18.58209,-0.16669,0.7033,1.23455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-04,18:03:55.39,2,4,"Mardjetko, Sage",1000000000111,Right,UNI_TEN_SB,"Shelton, Karley",100000001443,Left,SOU_CAR_SB,Undefined,1,Top,1,1,2,Riseball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,65.10146,5.580822,1.16222,1775.618674,171.518301,11:45,1.3456,0.10077,5.84325,-18.16769,11.89965,-1.63784,3.32462,0.68936,58.95289,0.485646,0.725694,0.394656,,,,,,,,,,,,2.25378,11.3489,0.17068,50,-0.08967,-2.17785,-97.63646,12.19116,2.08297,21.45792,-21.68532,UNI_TEN_SB,SOU_CAR_SB,SPLstadium,D1,SEC,20260404-SPLstadium-1,2cb943a0-3072-11f1-bab9-edfdc0f5670f,95.50706,,,6.14857,,,,,,,ce99c0e1-861b-4ed5-95e1-066e76e8754c,2026-04-04,22:03:55.39,2026-04-04T18:03:55.3930000-04:00,2026-04-04T22:03:55.3930000Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,11fa12a9-4e68-48d6-90f1-30b7a5914ec2,37.14916,-94.77011,10.72896,1.34535,9.29444,-10.84266,-0.10165,-1.89961,1.04148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.81633,2.393821,1.650022,0.743799,-1.05374,3.33671,-0.72,1.79357,5.2152,-4.21333,47.30139,1.16921,-35.05384,1.79416,63.94348,-3.71467,5.2312,6.2525,-15.8192,-4.23345,-47.86885,8.73241,High,High,High,,,High,High,Medium
8,2026-04-04,18:04:18.06,3,1,"Mardjetko, Sage",1000000000111,Right,UNI_TEN_SB,"Rodi, Arianna",100000001423,Right,SOU_CAR_SB,Undefined,1,Top,2,0,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.03015,4.177214,1.619696,1840.653815,168.253186,11:30,1.31553,0.03425,5.95151,-18.07643,11.72973,-2.24941,2.4126,0.85435,59.06842,-0.910506,1.018228,0.392938,,,,,,,,,,,,3.08555,11.83355,0.34654,50,0.18586,-3.03108,-97.6731,9.81437,2.8601,21.17489,-21.20517,UNI_TEN_SB,SOU_CAR_SB,SPLstadium,D1,SEC,20260404-SPLstadium-1,3a3d31d0-3072-11f1-bab9-edfdc0f5670f,95.92457,,,5.96174,,,,,,,ce99c0e1-861b-4ed5-95e1-066e76e8754c,2026-04-04,22:04:18.06,2026-04-04T18:04:18.0663296-04:00,2026-04-04T22:04:18.0663296Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,d6a0f91e-66cd-46c5-8d48-46cf7ed985bd,37.03959,-94.82175,10.58744,1.31519,6.95894,-10.60259,-0.03569,-2.64594,1.43005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-04,18:04:32.56,3,2,"Mardjetko, Sage",1000000000111,Right,UNI_TEN_SB,"Rodi, Arianna",100000001423,Right,SOU_CAR_SB,Undefined,1,Top,2,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.20683,5.276773,-1.763542,1665.888929,149.369571,11:00,1.54146,1.1249,5.96815,-19.98757,9.92028,-5.30461,3.16675,-0.41372,58.82363,-0.337066,-3.180681,0.393608,,,,,,,,,,,,5.00244,9.2715,-1.49005,50,0.14772,2.38472,-97.96496,11.95193,4.61902,22.64427,-23.61318,UNI_TEN_SB,SOU_CAR_SB,SPLstadium,D1,SEC,20260404-SPLstadium-1,42e0cdb0-3072-11f1-bab9-edfdc0f5670f,95.76134,,,6.3832,,,,,,,ce99c0e1-861b-4ed5-95e1-066e76e8754c,2026-04-04,22:04:32.56,2026-04-04T18:04:32.5638656-04:00,2026-04-04T22:04:32.5638656Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,2eeec8b8-eb9d-42de-95ac-43a3838223be,37.02309,-94.91801,11.32214,1.54217,8.7746,-11.80659,-1.12736,3.00624,2.30951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-04,18:04:48.25,3,3,"Mardjetko, Sage",1000000000111,Right,UNI_TEN_SB,"Rodi, Arianna",100000001423,Right,SOU_CAR_SB,Undefined,1,Top,2,1,1,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.5861,2.67733,-0.673307,1759.997537,137.252954,10:30,1.57924,1.21398,6.03469,-21.10092,8.77107,-7.28071,1.48328,0.18948,59.0703,-3.225342,-2.626153,0.393372,,,,,,,,,,,,7.82768,9.27552,-1.31288,50,0.76235,0.2177,-97.25998,7.61732,7.20593,20.78059,-23.63531,UNI_TEN_SB,SOU_CAR_SB,SPLstadium,D1,SEC,20260404-SPLstadium-1,4c356a10-3072-11f1-bab9-edfdc0f5670f,95.81882,,,5.5158,,,,,,,ce99c0e1-861b-4ed5-95e1-066e76e8754c,2026-04-04,22:04:48.25,2026-04-04T18:04:48.2584576-04:00,2026-04-04T22:04:48.2584576Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,390acdfa-6fa7-49dd-806a-10ddaa2c6dc4,36.95978,-94.43271,10.3903,1.57996,4.40165,-11.81765,-1.21657,1.19809,3.60296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
